Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-100.txt', log_freq=1, loss_type='BPR', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '0.49030153', 'rec_cur_loss': '0.30993527', 'total training time': '2.8633', 'max mem': '285'}
{'epoch': 1, 'rec_avg_loss': '0.13044456', 'rec_cur_loss': '0.08304587', 'total training time': '5.8816', 'max mem': '285'}
{'epoch': 2, 'rec_avg_loss': '0.04736036', 'rec_cur_loss': '0.03565193', 'total training time': '8.9384', 'max mem': '285'}
{'epoch': 3, 'rec_avg_loss': '0.02251439', 'rec_cur_loss': '0.02139208', 'total training time': '12.1483', 'max mem': '285'}
{'epoch': 4, 'rec_avg_loss': '0.01275638', 'rec_cur_loss': '0.01169846', 'total training time': '14.9911', 'max mem': '285'}
{'epoch': 5, 'rec_avg_loss': '0.00805730', 'rec_cur_loss': '0.00706096', 'total training time': '18.1129', 'max mem': '285'}
{'epoch': 6, 'rec_avg_loss': '0.00565612', 'rec_cur_loss': '0.00592062', 'total training time': '21.1395', 'max mem': '285'}
{'epoch': 7, 'rec_avg_loss': '0.00412354', 'rec_cur_loss': '0.00472913', 'total training time': '24.4796', 'max mem': '285'}
{'epoch': 8, 'rec_avg_loss': '0.00320849', 'rec_cur_loss': '0.00221276', 'total training time': '27.4759', 'max mem': '285'}
{'epoch': 9, 'rec_avg_loss': '0.00247645', 'rec_cur_loss': '0.00244523', 'total training time': '30.6027', 'max mem': '285'}
{'epoch': 10, 'rec_avg_loss': '0.00197791', 'rec_cur_loss': '0.00121326', 'total training time': '33.6041', 'max mem': '285'}
