Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-BPR-max-10.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-BPR-max-10.txt', log_freq=1, loss_type='BPR-max', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=10, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '4.84034303', 'rec_cur_loss': '4.82043219', 'total training time': '3.0596', 'max mem': '285'}
{'epoch': 1, 'rec_avg_loss': '4.61632133', 'rec_cur_loss': '4.54463959', 'total training time': '6.1247', 'max mem': '285'}
{'epoch': 2, 'rec_avg_loss': '4.40068681', 'rec_cur_loss': '4.38727283', 'total training time': '9.2149', 'max mem': '285'}
{'epoch': 3, 'rec_avg_loss': '4.28652002', 'rec_cur_loss': '4.26488686', 'total training time': '12.1014', 'max mem': '285'}
{'epoch': 4, 'rec_avg_loss': '4.23333031', 'rec_cur_loss': '4.23048782', 'total training time': '15.1945', 'max mem': '285'}
{'epoch': 5, 'rec_avg_loss': '4.20865149', 'rec_cur_loss': '4.20276690', 'total training time': '18.0258', 'max mem': '285'}
{'epoch': 6, 'rec_avg_loss': '4.19601931', 'rec_cur_loss': '4.19163465', 'total training time': '21.1563', 'max mem': '285'}
{'epoch': 7, 'rec_avg_loss': '4.18872392', 'rec_cur_loss': '4.19042587', 'total training time': '24.0266', 'max mem': '285'}
{'epoch': 8, 'rec_avg_loss': '4.18375298', 'rec_cur_loss': '4.18143892', 'total training time': '27.0984', 'max mem': '285'}
{'epoch': 9, 'rec_avg_loss': '4.18009339', 'rec_cur_loss': '4.18250275', 'total training time': '30.0063', 'max mem': '285'}
{'epoch': 10, 'rec_avg_loss': '4.17726768', 'rec_cur_loss': '4.17512417', 'total training time': '33.1500', 'max mem': '285'}
{'epoch': 11, 'rec_avg_loss': '4.17503828', 'rec_cur_loss': '4.17345381', 'total training time': '36.1731', 'max mem': '285'}
{'epoch': 12, 'rec_avg_loss': '4.17318380', 'rec_cur_loss': '4.17289448', 'total training time': '39.2733', 'max mem': '285'}
{'epoch': 13, 'rec_avg_loss': '4.17155874', 'rec_cur_loss': '4.17121363', 'total training time': '42.5040', 'max mem': '285'}
{'epoch': 14, 'rec_avg_loss': '4.17023606', 'rec_cur_loss': '4.16914511', 'total training time': '45.6240', 'max mem': '285'}
{'epoch': 15, 'rec_avg_loss': '4.16905349', 'rec_cur_loss': '4.16894341', 'total training time': '48.6591', 'max mem': '285'}
{'epoch': 16, 'rec_avg_loss': '4.16799821', 'rec_cur_loss': '4.16797781', 'total training time': '51.7948', 'max mem': '285'}
{'epoch': 17, 'rec_avg_loss': '4.16708136', 'rec_cur_loss': '4.16681337', 'total training time': '54.9358', 'max mem': '285'}
{'epoch': 18, 'rec_avg_loss': '4.16626943', 'rec_cur_loss': '4.16555786', 'total training time': '57.7890', 'max mem': '285'}
{'epoch': 19, 'rec_avg_loss': '4.16548054', 'rec_cur_loss': '4.16467237', 'total training time': '60.8908', 'max mem': '285'}
{'epoch': 20, 'rec_avg_loss': '4.16480530', 'rec_cur_loss': '4.16466808', 'total training time': '63.8182', 'max mem': '285'}
{'epoch': 21, 'rec_avg_loss': '4.16417862', 'rec_cur_loss': '4.16361809', 'total training time': '67.0413', 'max mem': '285'}
{'epoch': 22, 'rec_avg_loss': '4.16360668', 'rec_cur_loss': '4.16319418', 'total training time': '69.8661', 'max mem': '285'}
{'epoch': 23, 'rec_avg_loss': '4.16309557', 'rec_cur_loss': '4.16309881', 'total training time': '73.1208', 'max mem': '285'}
{'epoch': 24, 'rec_avg_loss': '4.16266479', 'rec_cur_loss': '4.16242409', 'total training time': '76.1352', 'max mem': '285'}
{'epoch': 25, 'rec_avg_loss': '4.16225259', 'rec_cur_loss': '4.16198683', 'total training time': '79.2641', 'max mem': '285'}
{'epoch': 26, 'rec_avg_loss': '4.16186867', 'rec_cur_loss': '4.16155434', 'total training time': '82.3824', 'max mem': '285'}
{'epoch': 27, 'rec_avg_loss': '4.16152931', 'rec_cur_loss': '4.16137314', 'total training time': '85.5372', 'max mem': '285'}
{'epoch': 28, 'rec_avg_loss': '4.16121037', 'rec_cur_loss': '4.16106653', 'total training time': '88.4964', 'max mem': '285'}
{'epoch': 29, 'rec_avg_loss': '4.16094078', 'rec_cur_loss': '4.16082621', 'total training time': '91.5671', 'max mem': '285'}
{'epoch': 30, 'rec_avg_loss': '4.16069138', 'rec_cur_loss': '4.16053057', 'total training time': '94.4676', 'max mem': '285'}
{'epoch': 31, 'rec_avg_loss': '4.16047875', 'rec_cur_loss': '4.16042328', 'total training time': '97.4913', 'max mem': '285'}
{'epoch': 32, 'rec_avg_loss': '4.16028673', 'rec_cur_loss': '4.16021156', 'total training time': '100.5104', 'max mem': '285'}
{'epoch': 33, 'rec_avg_loss': '4.16011411', 'rec_cur_loss': '4.16001606', 'total training time': '103.2739', 'max mem': '285'}
{'epoch': 34, 'rec_avg_loss': '4.15997344', 'rec_cur_loss': '4.15995026', 'total training time': '106.6288', 'max mem': '285'}
{'epoch': 35, 'rec_avg_loss': '4.15984935', 'rec_cur_loss': '4.15992165', 'total training time': '109.5943', 'max mem': '285'}
{'epoch': 36, 'rec_avg_loss': '4.15973762', 'rec_cur_loss': '4.15971327', 'total training time': '112.4326', 'max mem': '285'}
