Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-CCE-0.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-CCE-0.txt', log_freq=1, loss_type='CCE', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=0, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '9.08213239', 'rec_cur_loss': '9.04171848', 'total training time': '1.2883', 'max mem': '554'}
{'epoch': 1, 'rec_avg_loss': '8.64400608', 'rec_cur_loss': '8.37209892', 'total training time': '2.6163', 'max mem': '559'}
{'epoch': 2, 'rec_avg_loss': '8.33210716', 'rec_cur_loss': '8.17872524', 'total training time': '3.9080', 'max mem': '559'}
{'epoch': 3, 'rec_avg_loss': '8.01489678', 'rec_cur_loss': '7.62778091', 'total training time': '5.2394', 'max mem': '559'}
{'epoch': 4, 'rec_avg_loss': '7.76133548', 'rec_cur_loss': '8.01972198', 'total training time': '6.5381', 'max mem': '559'}
{'epoch': 5, 'rec_avg_loss': '7.55868659', 'rec_cur_loss': '7.55307722', 'total training time': '7.8676', 'max mem': '559'}
{'epoch': 6, 'rec_avg_loss': '7.40234503', 'rec_cur_loss': '7.69917870', 'total training time': '9.1652', 'max mem': '567'}
{'epoch': 7, 'rec_avg_loss': '7.25591829', 'rec_cur_loss': '7.50272274', 'total training time': '10.4943', 'max mem': '570'}
{'epoch': 8, 'rec_avg_loss': '7.13991004', 'rec_cur_loss': '7.38184261', 'total training time': '11.8250', 'max mem': '570'}
{'epoch': 9, 'rec_avg_loss': '7.02462208', 'rec_cur_loss': '6.86474085', 'total training time': '13.1202', 'max mem': '570'}
{'epoch': 10, 'rec_avg_loss': '6.92322757', 'rec_cur_loss': '6.59196138', 'total training time': '14.4165', 'max mem': '570'}
{'epoch': 11, 'rec_avg_loss': '6.84380149', 'rec_cur_loss': '6.90337229', 'total training time': '15.7389', 'max mem': '570'}
{'epoch': 12, 'rec_avg_loss': '6.76241396', 'rec_cur_loss': '7.07524824', 'total training time': '17.0651', 'max mem': '576'}
{'epoch': 13, 'rec_avg_loss': '6.69242543', 'rec_cur_loss': '6.44043684', 'total training time': '18.3587', 'max mem': '576'}
{'epoch': 14, 'rec_avg_loss': '6.63658568', 'rec_cur_loss': '6.59247828', 'total training time': '19.6527', 'max mem': '576'}
{'epoch': 15, 'rec_avg_loss': '6.58474208', 'rec_cur_loss': '6.87923288', 'total training time': '20.9741', 'max mem': '576'}
{'epoch': 16, 'rec_avg_loss': '6.53736019', 'rec_cur_loss': '6.52299261', 'total training time': '22.2751', 'max mem': '576'}
{'epoch': 17, 'rec_avg_loss': '6.49075693', 'rec_cur_loss': '6.10345125', 'total training time': '23.5632', 'max mem': '576'}
{'epoch': 18, 'rec_avg_loss': '6.45919709', 'rec_cur_loss': '6.18999195', 'total training time': '24.8868', 'max mem': '576'}
{'epoch': 19, 'rec_avg_loss': '6.43372195', 'rec_cur_loss': '6.47291899', 'total training time': '26.1532', 'max mem': '587'}
{'epoch': 20, 'rec_avg_loss': '6.40661138', 'rec_cur_loss': '6.36461449', 'total training time': '27.4527', 'max mem': '587'}
{'epoch': 21, 'rec_avg_loss': '6.37781098', 'rec_cur_loss': '6.54618835', 'total training time': '28.7202', 'max mem': '587'}
{'epoch': 22, 'rec_avg_loss': '6.35789513', 'rec_cur_loss': '5.96288252', 'total training time': '30.0363', 'max mem': '587'}
{'epoch': 23, 'rec_avg_loss': '6.33645567', 'rec_cur_loss': '5.99274206', 'total training time': '31.3415', 'max mem': '587'}
{'epoch': 24, 'rec_avg_loss': '6.32375415', 'rec_cur_loss': '6.26522160', 'total training time': '32.5984', 'max mem': '587'}
{'epoch': 25, 'rec_avg_loss': '6.30929155', 'rec_cur_loss': '6.42359400', 'total training time': '33.8412', 'max mem': '587'}
{'epoch': 26, 'rec_avg_loss': '6.29523900', 'rec_cur_loss': '6.36276770', 'total training time': '35.1449', 'max mem': '587'}
{'epoch': 27, 'rec_avg_loss': '6.27213956', 'rec_cur_loss': '6.49864674', 'total training time': '36.4664', 'max mem': '587'}
{'epoch': 28, 'rec_avg_loss': '6.26274485', 'rec_cur_loss': '6.41888762', 'total training time': '37.7601', 'max mem': '587'}
