Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-CE-0.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-CE-0.txt', log_freq=1, loss_type='CE', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=0, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '9.20065551', 'rec_cur_loss': '9.23537827', 'total training time': '1.2565', 'max mem': '286'}
{'epoch': 1, 'rec_avg_loss': '8.71685757', 'rec_cur_loss': '8.53353119', 'total training time': '2.4442', 'max mem': '286'}
{'epoch': 2, 'rec_avg_loss': '8.49865243', 'rec_cur_loss': '8.56410122', 'total training time': '3.6767', 'max mem': '286'}
{'epoch': 3, 'rec_avg_loss': '8.22753021', 'rec_cur_loss': '8.32545280', 'total training time': '4.8735', 'max mem': '286'}
{'epoch': 4, 'rec_avg_loss': '7.92128890', 'rec_cur_loss': '8.04179478', 'total training time': '6.1082', 'max mem': '286'}
{'epoch': 5, 'rec_avg_loss': '7.58759321', 'rec_cur_loss': '7.70398474', 'total training time': '7.3222', 'max mem': '286'}
{'epoch': 6, 'rec_avg_loss': '7.23782007', 'rec_cur_loss': '7.31966209', 'total training time': '8.5147', 'max mem': '286'}
{'epoch': 7, 'rec_avg_loss': '6.88560908', 'rec_cur_loss': '7.03772831', 'total training time': '9.7261', 'max mem': '286'}
{'epoch': 8, 'rec_avg_loss': '6.52162659', 'rec_cur_loss': '6.54608488', 'total training time': '10.9640', 'max mem': '286'}
{'epoch': 9, 'rec_avg_loss': '6.16446834', 'rec_cur_loss': '6.15644407', 'total training time': '12.1919', 'max mem': '286'}
{'epoch': 10, 'rec_avg_loss': '5.82628117', 'rec_cur_loss': '5.97958088', 'total training time': '13.4478', 'max mem': '286'}
{'epoch': 11, 'rec_avg_loss': '5.52683616', 'rec_cur_loss': '5.41214657', 'total training time': '14.6286', 'max mem': '286'}
{'epoch': 12, 'rec_avg_loss': '5.25757376', 'rec_cur_loss': '5.42518520', 'total training time': '15.8608', 'max mem': '286'}
{'epoch': 13, 'rec_avg_loss': '5.01675947', 'rec_cur_loss': '5.16907406', 'total training time': '17.0456', 'max mem': '286'}
