Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-100.txt', log_freq=1, loss_type='TOP1', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '0.50555938', 'rec_cur_loss': '0.46566194', 'total training time': '2.7898', 'max mem': '285'}
{'epoch': 1, 'rec_avg_loss': '0.39994525', 'rec_cur_loss': '0.39101541', 'total training time': '6.0506', 'max mem': '285'}
{'epoch': 2, 'rec_avg_loss': '0.33277237', 'rec_cur_loss': '0.34717816', 'total training time': '9.2208', 'max mem': '285'}
{'epoch': 3, 'rec_avg_loss': '0.30637258', 'rec_cur_loss': '0.30888331', 'total training time': '12.1856', 'max mem': '285'}
{'epoch': 4, 'rec_avg_loss': '0.29492195', 'rec_cur_loss': '0.30920807', 'total training time': '15.3991', 'max mem': '285'}
{'epoch': 5, 'rec_avg_loss': '0.28795009', 'rec_cur_loss': '0.30630016', 'total training time': '18.3141', 'max mem': '285'}
{'epoch': 6, 'rec_avg_loss': '0.28233484', 'rec_cur_loss': '0.33231246', 'total training time': '21.3904', 'max mem': '285'}
{'epoch': 7, 'rec_avg_loss': '0.27926153', 'rec_cur_loss': '0.28044072', 'total training time': '24.4946', 'max mem': '285'}
{'epoch': 8, 'rec_avg_loss': '0.27657800', 'rec_cur_loss': '0.31106269', 'total training time': '27.3979', 'max mem': '285'}
{'epoch': 9, 'rec_avg_loss': '0.27349699', 'rec_cur_loss': '0.25892565', 'total training time': '30.7522', 'max mem': '285'}
{'epoch': 10, 'rec_avg_loss': '0.27235121', 'rec_cur_loss': '0.30939141', 'total training time': '33.6750', 'max mem': '285'}
{'epoch': 11, 'rec_avg_loss': '0.27168649', 'rec_cur_loss': '0.29078448', 'total training time': '36.6844', 'max mem': '285'}
{'epoch': 12, 'rec_avg_loss': '0.26904234', 'rec_cur_loss': '0.29097265', 'total training time': '40.0113', 'max mem': '285'}
{'epoch': 13, 'rec_avg_loss': '0.26816693', 'rec_cur_loss': '0.25203195', 'total training time': '42.8073', 'max mem': '285'}
{'epoch': 14, 'rec_avg_loss': '0.26599174', 'rec_cur_loss': '0.24727911', 'total training time': '46.1911', 'max mem': '285'}
{'epoch': 15, 'rec_avg_loss': '0.26680862', 'rec_cur_loss': '0.27574858', 'total training time': '49.1160', 'max mem': '285'}
{'epoch': 16, 'rec_avg_loss': '0.26545778', 'rec_cur_loss': '0.30746824', 'total training time': '52.3089', 'max mem': '285'}
{'epoch': 17, 'rec_avg_loss': '0.26397511', 'rec_cur_loss': '0.24349660', 'total training time': '55.2610', 'max mem': '285'}
{'epoch': 18, 'rec_avg_loss': '0.26398532', 'rec_cur_loss': '0.24433142', 'total training time': '58.4837', 'max mem': '285'}
{'epoch': 19, 'rec_avg_loss': '0.26464625', 'rec_cur_loss': '0.27710572', 'total training time': '61.3511', 'max mem': '285'}
{'epoch': 20, 'rec_avg_loss': '0.26450589', 'rec_cur_loss': '0.25061184', 'total training time': '64.3542', 'max mem': '285'}
{'epoch': 21, 'rec_avg_loss': '0.26271985', 'rec_cur_loss': '0.27169076', 'total training time': '67.4390', 'max mem': '285'}
{'epoch': 22, 'rec_avg_loss': '0.26262060', 'rec_cur_loss': '0.22491995', 'total training time': '70.5914', 'max mem': '285'}
{'epoch': 23, 'rec_avg_loss': '0.26205261', 'rec_cur_loss': '0.27311623', 'total training time': '73.7757', 'max mem': '285'}
{'epoch': 24, 'rec_avg_loss': '0.26057049', 'rec_cur_loss': '0.29935741', 'total training time': '76.7538', 'max mem': '285'}
{'epoch': 25, 'rec_avg_loss': '0.26091107', 'rec_cur_loss': '0.25566471', 'total training time': '79.6637', 'max mem': '285'}
{'epoch': 26, 'rec_avg_loss': '0.26050141', 'rec_cur_loss': '0.27333158', 'total training time': '82.7640', 'max mem': '285'}
{'epoch': 27, 'rec_avg_loss': '0.26366616', 'rec_cur_loss': '0.27291602', 'total training time': '86.0229', 'max mem': '285'}
{'epoch': 28, 'rec_avg_loss': '0.26052988', 'rec_cur_loss': '0.26603529', 'total training time': '88.9271', 'max mem': '285'}
