Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-max-10.txt', log_freq=1, loss_type='TOP1-max', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=10, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '0.00762044', 'rec_cur_loss': '0.00716226', 'total training time': '2.9618', 'max mem': '285'}
{'epoch': 1, 'rec_avg_loss': '0.00524519', 'rec_cur_loss': '0.00443966', 'total training time': '6.2975', 'max mem': '285'}
{'epoch': 2, 'rec_avg_loss': '0.00313599', 'rec_cur_loss': '0.00293425', 'total training time': '9.2592', 'max mem': '285'}
{'epoch': 3, 'rec_avg_loss': '0.00221046', 'rec_cur_loss': '0.00227428', 'total training time': '12.0581', 'max mem': '285'}
{'epoch': 4, 'rec_avg_loss': '0.00181599', 'rec_cur_loss': '0.00218044', 'total training time': '15.1655', 'max mem': '285'}
{'epoch': 5, 'rec_avg_loss': '0.00163693', 'rec_cur_loss': '0.00161811', 'total training time': '18.1394', 'max mem': '285'}
{'epoch': 6, 'rec_avg_loss': '0.00155658', 'rec_cur_loss': '0.00150681', 'total training time': '21.3797', 'max mem': '285'}
{'epoch': 7, 'rec_avg_loss': '0.00149531', 'rec_cur_loss': '0.00164323', 'total training time': '24.3030', 'max mem': '285'}
{'epoch': 8, 'rec_avg_loss': '0.00148422', 'rec_cur_loss': '0.00157858', 'total training time': '27.5393', 'max mem': '285'}
{'epoch': 9, 'rec_avg_loss': '0.00145792', 'rec_cur_loss': '0.00140030', 'total training time': '30.4394', 'max mem': '285'}
{'epoch': 10, 'rec_avg_loss': '0.00144104', 'rec_cur_loss': '0.00179511', 'total training time': '33.6035', 'max mem': '285'}
{'epoch': 11, 'rec_avg_loss': '0.00142163', 'rec_cur_loss': '0.00155322', 'total training time': '36.5211', 'max mem': '285'}
{'epoch': 12, 'rec_avg_loss': '0.00141410', 'rec_cur_loss': '0.00145915', 'total training time': '39.7098', 'max mem': '285'}
{'epoch': 13, 'rec_avg_loss': '0.00140772', 'rec_cur_loss': '0.00155002', 'total training time': '42.5806', 'max mem': '285'}
{'epoch': 14, 'rec_avg_loss': '0.00140115', 'rec_cur_loss': '0.00152557', 'total training time': '45.8908', 'max mem': '285'}
{'epoch': 15, 'rec_avg_loss': '0.00137527', 'rec_cur_loss': '0.00154591', 'total training time': '48.8658', 'max mem': '285'}
{'epoch': 16, 'rec_avg_loss': '0.00138178', 'rec_cur_loss': '0.00147845', 'total training time': '51.8593', 'max mem': '285'}
{'epoch': 17, 'rec_avg_loss': '0.00138245', 'rec_cur_loss': '0.00164305', 'total training time': '54.8265', 'max mem': '285'}
{'epoch': 18, 'rec_avg_loss': '0.00137384', 'rec_cur_loss': '0.00149739', 'total training time': '57.6724', 'max mem': '285'}
{'epoch': 19, 'rec_avg_loss': '0.00137778', 'rec_cur_loss': '0.00158837', 'total training time': '60.8188', 'max mem': '285'}
