Namespace(adam_beta1=0.9, adam_beta2=0.999, aggregation='mean', attention_probs_dropout_prob=0.5, attribute_size=638, batch_size=256, checkpoint_path='output/introduction/Finetune_sample-Beauty-0-TOP1-max-100.pt', ckp=0, cuda_condition=True, data_dir='./data/', data_file='./data/Beauty.txt', data_name='Beauty', do_eval=False, epochs=200, gpu_id='1', hidden_act='gelu', hidden_dropout_prob=0.5, hidden_size=64, initializer_range=0.02, isfull=0, item2attribute=None, item_size=12103, log_file='output/introduction/Finetune_sample-Beauty-0-TOP1-max-100.txt', log_freq=1, loss_type='TOP1-max', lr=0.001, mask_id=12102, mask_prod=0.2, max_seq_length=50, model_name='Finetune_sample', no_cuda=False, num_attention_heads=2, num_hidden_layers=2, output_dir='output/introduction/', rank_act='softmax', sample_file='./data/Beauty_sample.txt', sample_num=100, seed=42, train_matrix=<22363x12103 sparse matrix of type '<class 'numpy.int64'>'
	with 176139 stored elements in Compressed Sparse Row format>, weight_decay=0.0)
{'epoch': 0, 'rec_avg_loss': '0.00795908', 'rec_cur_loss': '0.00744464', 'total training time': '3.0500', 'max mem': '285'}
{'epoch': 1, 'rec_avg_loss': '0.00636075', 'rec_cur_loss': '0.00608838', 'total training time': '5.9091', 'max mem': '285'}
{'epoch': 2, 'rec_avg_loss': '0.00531438', 'rec_cur_loss': '0.00584514', 'total training time': '9.0564', 'max mem': '285'}
{'epoch': 3, 'rec_avg_loss': '0.00486120', 'rec_cur_loss': '0.00499791', 'total training time': '11.9829', 'max mem': '285'}
{'epoch': 4, 'rec_avg_loss': '0.00465622', 'rec_cur_loss': '0.00472955', 'total training time': '15.2565', 'max mem': '285'}
{'epoch': 5, 'rec_avg_loss': '0.00453397', 'rec_cur_loss': '0.00551142', 'total training time': '18.0625', 'max mem': '285'}
{'epoch': 6, 'rec_avg_loss': '0.00443643', 'rec_cur_loss': '0.00479020', 'total training time': '20.9723', 'max mem': '285'}
{'epoch': 7, 'rec_avg_loss': '0.00437717', 'rec_cur_loss': '0.00439951', 'total training time': '24.0313', 'max mem': '285'}
{'epoch': 8, 'rec_avg_loss': '0.00433173', 'rec_cur_loss': '0.00501315', 'total training time': '26.9969', 'max mem': '285'}
{'epoch': 9, 'rec_avg_loss': '0.00431229', 'rec_cur_loss': '0.00503147', 'total training time': '30.0743', 'max mem': '285'}
{'epoch': 10, 'rec_avg_loss': '0.00426236', 'rec_cur_loss': '0.00436610', 'total training time': '33.1101', 'max mem': '285'}
{'epoch': 11, 'rec_avg_loss': '0.00427086', 'rec_cur_loss': '0.00493009', 'total training time': '36.2422', 'max mem': '285'}
{'epoch': 12, 'rec_avg_loss': '0.00424723', 'rec_cur_loss': '0.00491477', 'total training time': '39.1365', 'max mem': '285'}
{'epoch': 13, 'rec_avg_loss': '0.00423127', 'rec_cur_loss': '0.00436430', 'total training time': '42.2554', 'max mem': '285'}
{'epoch': 14, 'rec_avg_loss': '0.00422199', 'rec_cur_loss': '0.00453103', 'total training time': '45.2656', 'max mem': '285'}
{'epoch': 15, 'rec_avg_loss': '0.00421812', 'rec_cur_loss': '0.00408127', 'total training time': '48.5597', 'max mem': '285'}
{'epoch': 16, 'rec_avg_loss': '0.00418492', 'rec_cur_loss': '0.00429435', 'total training time': '51.6470', 'max mem': '285'}
{'epoch': 17, 'rec_avg_loss': '0.00418723', 'rec_cur_loss': '0.00436631', 'total training time': '54.8374', 'max mem': '285'}
{'epoch': 18, 'rec_avg_loss': '0.00416510', 'rec_cur_loss': '0.00372941', 'total training time': '57.8567', 'max mem': '285'}
{'epoch': 19, 'rec_avg_loss': '0.00414584', 'rec_cur_loss': '0.00406782', 'total training time': '60.9847', 'max mem': '285'}
{'epoch': 20, 'rec_avg_loss': '0.00414776', 'rec_cur_loss': '0.00470444', 'total training time': '64.1449', 'max mem': '285'}
{'epoch': 21, 'rec_avg_loss': '0.00413996', 'rec_cur_loss': '0.00383267', 'total training time': '67.3038', 'max mem': '285'}
{'epoch': 22, 'rec_avg_loss': '0.00415927', 'rec_cur_loss': '0.00407244', 'total training time': '70.2056', 'max mem': '285'}
{'epoch': 23, 'rec_avg_loss': '0.00411439', 'rec_cur_loss': '0.00446413', 'total training time': '73.3549', 'max mem': '285'}
{'epoch': 24, 'rec_avg_loss': '0.00412349', 'rec_cur_loss': '0.00450885', 'total training time': '76.3876', 'max mem': '285'}
{'epoch': 25, 'rec_avg_loss': '0.00411923', 'rec_cur_loss': '0.00472214', 'total training time': '79.3561', 'max mem': '285'}
{'epoch': 26, 'rec_avg_loss': '0.00407435', 'rec_cur_loss': '0.00480501', 'total training time': '82.2785', 'max mem': '285'}
{'epoch': 27, 'rec_avg_loss': '0.00412683', 'rec_cur_loss': '0.00426676', 'total training time': '85.2244', 'max mem': '285'}
{'epoch': 28, 'rec_avg_loss': '0.00409883', 'rec_cur_loss': '0.00363904', 'total training time': '88.4812', 'max mem': '285'}
{'epoch': 29, 'rec_avg_loss': '0.00407051', 'rec_cur_loss': '0.00440937', 'total training time': '91.6229', 'max mem': '285'}
{'epoch': 30, 'rec_avg_loss': '0.00409169', 'rec_cur_loss': '0.00407729', 'total training time': '94.6092', 'max mem': '285'}
{'epoch': 31, 'rec_avg_loss': '0.00408745', 'rec_cur_loss': '0.00468083', 'total training time': '97.4427', 'max mem': '285'}
{'epoch': 32, 'rec_avg_loss': '0.00410315', 'rec_cur_loss': '0.00394000', 'total training time': '100.6165', 'max mem': '285'}
{'epoch': 33, 'rec_avg_loss': '0.00408193', 'rec_cur_loss': '0.00465042', 'total training time': '103.5136', 'max mem': '285'}
{'epoch': 34, 'rec_avg_loss': '0.00406496', 'rec_cur_loss': '0.00417190', 'total training time': '106.7352', 'max mem': '285'}
{'epoch': 35, 'rec_avg_loss': '0.00405804', 'rec_cur_loss': '0.00361491', 'total training time': '109.5845', 'max mem': '285'}
{'epoch': 36, 'rec_avg_loss': '0.00405856', 'rec_cur_loss': '0.00384921', 'total training time': '112.7263', 'max mem': '285'}
{'epoch': 37, 'rec_avg_loss': '0.00402868', 'rec_cur_loss': '0.00419228', 'total training time': '115.6891', 'max mem': '285'}
{'epoch': 38, 'rec_avg_loss': '0.00403367', 'rec_cur_loss': '0.00423218', 'total training time': '118.8536', 'max mem': '285'}
{'epoch': 39, 'rec_avg_loss': '0.00404988', 'rec_cur_loss': '0.00446469', 'total training time': '121.7429', 'max mem': '285'}
{'epoch': 40, 'rec_avg_loss': '0.00402905', 'rec_cur_loss': '0.00347433', 'total training time': '124.6815', 'max mem': '285'}
{'epoch': 41, 'rec_avg_loss': '0.00402385', 'rec_cur_loss': '0.00415445', 'total training time': '127.7078', 'max mem': '285'}
{'epoch': 42, 'rec_avg_loss': '0.00401985', 'rec_cur_loss': '0.00423803', 'total training time': '130.6084', 'max mem': '285'}
{'epoch': 43, 'rec_avg_loss': '0.00401913', 'rec_cur_loss': '0.00438008', 'total training time': '133.7251', 'max mem': '285'}
{'epoch': 44, 'rec_avg_loss': '0.00400703', 'rec_cur_loss': '0.00442510', 'total training time': '136.8403', 'max mem': '285'}
{'epoch': 45, 'rec_avg_loss': '0.00399404', 'rec_cur_loss': '0.00432103', 'total training time': '139.7855', 'max mem': '285'}
{'epoch': 46, 'rec_avg_loss': '0.00401442', 'rec_cur_loss': '0.00391633', 'total training time': '143.1671', 'max mem': '285'}
{'epoch': 47, 'rec_avg_loss': '0.00399067', 'rec_cur_loss': '0.00399732', 'total training time': '146.0814', 'max mem': '285'}
{'epoch': 48, 'rec_avg_loss': '0.00400960', 'rec_cur_loss': '0.00435614', 'total training time': '148.9555', 'max mem': '285'}
{'epoch': 49, 'rec_avg_loss': '0.00397465', 'rec_cur_loss': '0.00398922', 'total training time': '152.1093', 'max mem': '285'}
{'epoch': 50, 'rec_avg_loss': '0.00398308', 'rec_cur_loss': '0.00411342', 'total training time': '155.0809', 'max mem': '285'}
{'epoch': 51, 'rec_avg_loss': '0.00399304', 'rec_cur_loss': '0.00411421', 'total training time': '158.0512', 'max mem': '285'}
{'epoch': 52, 'rec_avg_loss': '0.00399692', 'rec_cur_loss': '0.00404212', 'total training time': '161.0484', 'max mem': '285'}
{'epoch': 53, 'rec_avg_loss': '0.00397226', 'rec_cur_loss': '0.00411012', 'total training time': '164.0513', 'max mem': '285'}
