{'Epoch': 0, 'HIT@5': '0.0066', 'NDCG@5': '0.0044', 'HIT@10': '0.0172', 'NDCG@10': '0.0078', 'HIT@20': '0.0274', 'NDCG@20': '0.0104'}
{'Epoch': 1, 'HIT@5': '0.0124', 'NDCG@5': '0.0077', 'HIT@10': '0.0190', 'NDCG@10': '0.0099', 'HIT@20': '0.0294', 'NDCG@20': '0.0124'}
{'Epoch': 2, 'HIT@5': '0.0154', 'NDCG@5': '0.0095', 'HIT@10': '0.0241', 'NDCG@10': '0.0122', 'HIT@20': '0.0381', 'NDCG@20': '0.0157'}
{'Epoch': 3, 'HIT@5': '0.0145', 'NDCG@5': '0.0091', 'HIT@10': '0.0259', 'NDCG@10': '0.0127', 'HIT@20': '0.0394', 'NDCG@20': '0.0161'}
{'Epoch': 4, 'HIT@5': '0.0180', 'NDCG@5': '0.0117', 'HIT@10': '0.0298', 'NDCG@10': '0.0154', 'HIT@20': '0.0454', 'NDCG@20': '0.0193'}
{'Epoch': 5, 'HIT@5': '0.0195', 'NDCG@5': '0.0126', 'HIT@10': '0.0318', 'NDCG@10': '0.0166', 'HIT@20': '0.0519', 'NDCG@20': '0.0216'}
{'Epoch': 6, 'HIT@5': '0.0277', 'NDCG@5': '0.0180', 'HIT@10': '0.0428', 'NDCG@10': '0.0229', 'HIT@20': '0.0641', 'NDCG@20': '0.0282'}
{'Epoch': 7, 'HIT@5': '0.0308', 'NDCG@5': '0.0198', 'HIT@10': '0.0473', 'NDCG@10': '0.0251', 'HIT@20': '0.0745', 'NDCG@20': '0.0319'}
{'Epoch': 8, 'HIT@5': '0.0349', 'NDCG@5': '0.0218', 'HIT@10': '0.0529', 'NDCG@10': '0.0276', 'HIT@20': '0.0817', 'NDCG@20': '0.0349'}
{'Epoch': 9, 'HIT@5': '0.0351', 'NDCG@5': '0.0231', 'HIT@10': '0.0562', 'NDCG@10': '0.0298', 'HIT@20': '0.0835', 'NDCG@20': '0.0367'}
{'Epoch': 10, 'HIT@5': '0.0389', 'NDCG@5': '0.0253', 'HIT@10': '0.0611', 'NDCG@10': '0.0324', 'HIT@20': '0.0920', 'NDCG@20': '0.0402'}
{'Epoch': 11, 'HIT@5': '0.0402', 'NDCG@5': '0.0262', 'HIT@10': '0.0626', 'NDCG@10': '0.0334', 'HIT@20': '0.0921', 'NDCG@20': '0.0408'}
{'Epoch': 12, 'HIT@5': '0.0406', 'NDCG@5': '0.0262', 'HIT@10': '0.0649', 'NDCG@10': '0.0341', 'HIT@20': '0.0990', 'NDCG@20': '0.0426'}
{'Epoch': 13, 'HIT@5': '0.0429', 'NDCG@5': '0.0281', 'HIT@10': '0.0673', 'NDCG@10': '0.0360', 'HIT@20': '0.1001', 'NDCG@20': '0.0442'}
{'Epoch': 14, 'HIT@5': '0.0445', 'NDCG@5': '0.0289', 'HIT@10': '0.0704', 'NDCG@10': '0.0372', 'HIT@20': '0.1037', 'NDCG@20': '0.0456'}
{'Epoch': 15, 'HIT@5': '0.0461', 'NDCG@5': '0.0303', 'HIT@10': '0.0713', 'NDCG@10': '0.0384', 'HIT@20': '0.1048', 'NDCG@20': '0.0469'}
{'Epoch': 16, 'HIT@5': '0.0473', 'NDCG@5': '0.0305', 'HIT@10': '0.0707', 'NDCG@10': '0.0380', 'HIT@20': '0.1075', 'NDCG@20': '0.0473'}
{'Epoch': 17, 'HIT@5': '0.0457', 'NDCG@5': '0.0300', 'HIT@10': '0.0708', 'NDCG@10': '0.0381', 'HIT@20': '0.1060', 'NDCG@20': '0.0469'}
{'Epoch': 18, 'HIT@5': '0.0491', 'NDCG@5': '0.0319', 'HIT@10': '0.0757', 'NDCG@10': '0.0405', 'HIT@20': '0.1099', 'NDCG@20': '0.0491'}
{'Epoch': 19, 'HIT@5': '0.0489', 'NDCG@5': '0.0322', 'HIT@10': '0.0745', 'NDCG@10': '0.0404', 'HIT@20': '0.1101', 'NDCG@20': '0.0494'}
{'Epoch': 20, 'HIT@5': '0.0509', 'NDCG@5': '0.0336', 'HIT@10': '0.0783', 'NDCG@10': '0.0425', 'HIT@20': '0.1136', 'NDCG@20': '0.0514'}
{'Epoch': 21, 'HIT@5': '0.0527', 'NDCG@5': '0.0345', 'HIT@10': '0.0783', 'NDCG@10': '0.0427', 'HIT@20': '0.1122', 'NDCG@20': '0.0512'}
{'Epoch': 22, 'HIT@5': '0.0527', 'NDCG@5': '0.0346', 'HIT@10': '0.0795', 'NDCG@10': '0.0432', 'HIT@20': '0.1140', 'NDCG@20': '0.0519'}
