{'Epoch': 0, 'HIT@5': '0.0105', 'NDCG@5': '0.0064', 'HIT@10': '0.0214', 'NDCG@10': '0.0099', 'HIT@20': '0.0326', 'NDCG@20': '0.0127'}
{'Epoch': 1, 'HIT@5': '0.0130', 'NDCG@5': '0.0077', 'HIT@10': '0.0207', 'NDCG@10': '0.0101', 'HIT@20': '0.0334', 'NDCG@20': '0.0133'}
{'Epoch': 2, 'HIT@5': '0.0144', 'NDCG@5': '0.0087', 'HIT@10': '0.0236', 'NDCG@10': '0.0116', 'HIT@20': '0.0348', 'NDCG@20': '0.0144'}
{'Epoch': 3, 'HIT@5': '0.0166', 'NDCG@5': '0.0099', 'HIT@10': '0.0261', 'NDCG@10': '0.0130', 'HIT@20': '0.0397', 'NDCG@20': '0.0164'}
{'Epoch': 4, 'HIT@5': '0.0184', 'NDCG@5': '0.0118', 'HIT@10': '0.0281', 'NDCG@10': '0.0149', 'HIT@20': '0.0446', 'NDCG@20': '0.0190'}
{'Epoch': 5, 'HIT@5': '0.0178', 'NDCG@5': '0.0110', 'HIT@10': '0.0275', 'NDCG@10': '0.0140', 'HIT@20': '0.0452', 'NDCG@20': '0.0184'}
{'Epoch': 6, 'HIT@5': '0.0193', 'NDCG@5': '0.0124', 'HIT@10': '0.0302', 'NDCG@10': '0.0159', 'HIT@20': '0.0482', 'NDCG@20': '0.0204'}
{'Epoch': 7, 'HIT@5': '0.0207', 'NDCG@5': '0.0129', 'HIT@10': '0.0334', 'NDCG@10': '0.0170', 'HIT@20': '0.0508', 'NDCG@20': '0.0213'}
{'Epoch': 8, 'HIT@5': '0.0223', 'NDCG@5': '0.0139', 'HIT@10': '0.0347', 'NDCG@10': '0.0178', 'HIT@20': '0.0523', 'NDCG@20': '0.0223'}
{'Epoch': 9, 'HIT@5': '0.0230', 'NDCG@5': '0.0148', 'HIT@10': '0.0359', 'NDCG@10': '0.0190', 'HIT@20': '0.0529', 'NDCG@20': '0.0232'}
{'Epoch': 10, 'HIT@5': '0.0217', 'NDCG@5': '0.0141', 'HIT@10': '0.0356', 'NDCG@10': '0.0185', 'HIT@20': '0.0558', 'NDCG@20': '0.0236'}
{'Epoch': 11, 'HIT@5': '0.0227', 'NDCG@5': '0.0147', 'HIT@10': '0.0365', 'NDCG@10': '0.0191', 'HIT@20': '0.0568', 'NDCG@20': '0.0243'}
{'Epoch': 12, 'HIT@5': '0.0231', 'NDCG@5': '0.0147', 'HIT@10': '0.0367', 'NDCG@10': '0.0191', 'HIT@20': '0.0575', 'NDCG@20': '0.0243'}
{'Epoch': 13, 'HIT@5': '0.0252', 'NDCG@5': '0.0159', 'HIT@10': '0.0398', 'NDCG@10': '0.0206', 'HIT@20': '0.0595', 'NDCG@20': '0.0256'}
{'Epoch': 14, 'HIT@5': '0.0241', 'NDCG@5': '0.0154', 'HIT@10': '0.0382', 'NDCG@10': '0.0200', 'HIT@20': '0.0599', 'NDCG@20': '0.0254'}
{'Epoch': 15, 'HIT@5': '0.0254', 'NDCG@5': '0.0169', 'HIT@10': '0.0395', 'NDCG@10': '0.0214', 'HIT@20': '0.0591', 'NDCG@20': '0.0263'}
{'Epoch': 16, 'HIT@5': '0.0271', 'NDCG@5': '0.0172', 'HIT@10': '0.0411', 'NDCG@10': '0.0217', 'HIT@20': '0.0616', 'NDCG@20': '0.0268'}
{'Epoch': 17, 'HIT@5': '0.0267', 'NDCG@5': '0.0165', 'HIT@10': '0.0403', 'NDCG@10': '0.0209', 'HIT@20': '0.0614', 'NDCG@20': '0.0262'}
{'Epoch': 18, 'HIT@5': '0.0247', 'NDCG@5': '0.0159', 'HIT@10': '0.0384', 'NDCG@10': '0.0203', 'HIT@20': '0.0591', 'NDCG@20': '0.0255'}
{'Epoch': 19, 'HIT@5': '0.0244', 'NDCG@5': '0.0160', 'HIT@10': '0.0392', 'NDCG@10': '0.0207', 'HIT@20': '0.0591', 'NDCG@20': '0.0257'}
{'Epoch': 20, 'HIT@5': '0.0258', 'NDCG@5': '0.0166', 'HIT@10': '0.0390', 'NDCG@10': '0.0208', 'HIT@20': '0.0600', 'NDCG@20': '0.0261'}
{'Epoch': 21, 'HIT@5': '0.0245', 'NDCG@5': '0.0162', 'HIT@10': '0.0385', 'NDCG@10': '0.0207', 'HIT@20': '0.0563', 'NDCG@20': '0.0251'}
{'Epoch': 22, 'HIT@5': '0.0259', 'NDCG@5': '0.0169', 'HIT@10': '0.0401', 'NDCG@10': '0.0214', 'HIT@20': '0.0598', 'NDCG@20': '0.0264'}
{'Epoch': 23, 'HIT@5': '0.0238', 'NDCG@5': '0.0155', 'HIT@10': '0.0384', 'NDCG@10': '0.0202', 'HIT@20': '0.0581', 'NDCG@20': '0.0251'}
{'Epoch': 24, 'HIT@5': '0.0250', 'NDCG@5': '0.0165', 'HIT@10': '0.0377', 'NDCG@10': '0.0206', 'HIT@20': '0.0583', 'NDCG@20': '0.0258'}
{'Epoch': 25, 'HIT@5': '0.0250', 'NDCG@5': '0.0164', 'HIT@10': '0.0387', 'NDCG@10': '0.0208', 'HIT@20': '0.0565', 'NDCG@20': '0.0252'}
{'Epoch': 26, 'HIT@5': '0.0234', 'NDCG@5': '0.0152', 'HIT@10': '0.0380', 'NDCG@10': '0.0199', 'HIT@20': '0.0574', 'NDCG@20': '0.0247'}
{'Epoch': 26, 'HIT@5': '0.0224', 'NDCG@5': '0.0147', 'HIT@10': '0.0344', 'NDCG@10': '0.0185', 'HIT@20': '0.0514', 'NDCG@20': '0.0228'}
GRU4Rec-Beauty-0-CE
{'Epoch': 26, 'HIT@5': '0.0224', 'NDCG@5': '0.0147', 'HIT@10': '0.0344', 'NDCG@10': '0.0185', 'HIT@20': '0.0514', 'NDCG@20': '0.0228'}
