{'Epoch': 0, 'HIT@5': '0.0258', 'NDCG@5': '0.0165', 'HIT@10': '0.0427', 'NDCG@10': '0.0219', 'HIT@20': '0.0722', 'NDCG@20': '0.0293'}
{'Epoch': 1, 'HIT@5': '0.0288', 'NDCG@5': '0.0180', 'HIT@10': '0.0484', 'NDCG@10': '0.0243', 'HIT@20': '0.0804', 'NDCG@20': '0.0324'}
{'Epoch': 2, 'HIT@5': '0.0325', 'NDCG@5': '0.0199', 'HIT@10': '0.0537', 'NDCG@10': '0.0268', 'HIT@20': '0.0872', 'NDCG@20': '0.0352'}
{'Epoch': 3, 'HIT@5': '0.0326', 'NDCG@5': '0.0200', 'HIT@10': '0.0551', 'NDCG@10': '0.0272', 'HIT@20': '0.0898', 'NDCG@20': '0.0359'}
{'Epoch': 4, 'HIT@5': '0.0332', 'NDCG@5': '0.0200', 'HIT@10': '0.0556', 'NDCG@10': '0.0271', 'HIT@20': '0.0923', 'NDCG@20': '0.0364'}
{'Epoch': 5, 'HIT@5': '0.0336', 'NDCG@5': '0.0205', 'HIT@10': '0.0572', 'NDCG@10': '0.0280', 'HIT@20': '0.0939', 'NDCG@20': '0.0372'}
{'Epoch': 6, 'HIT@5': '0.0361', 'NDCG@5': '0.0220', 'HIT@10': '0.0600', 'NDCG@10': '0.0296', 'HIT@20': '0.0960', 'NDCG@20': '0.0387'}
{'Epoch': 7, 'HIT@5': '0.0362', 'NDCG@5': '0.0222', 'HIT@10': '0.0614', 'NDCG@10': '0.0303', 'HIT@20': '0.0982', 'NDCG@20': '0.0396'}
{'Epoch': 8, 'HIT@5': '0.0368', 'NDCG@5': '0.0231', 'HIT@10': '0.0626', 'NDCG@10': '0.0314', 'HIT@20': '0.1006', 'NDCG@20': '0.0409'}
{'Epoch': 9, 'HIT@5': '0.0360', 'NDCG@5': '0.0223', 'HIT@10': '0.0631', 'NDCG@10': '0.0310', 'HIT@20': '0.1007', 'NDCG@20': '0.0405'}
{'Epoch': 10, 'HIT@5': '0.0364', 'NDCG@5': '0.0227', 'HIT@10': '0.0652', 'NDCG@10': '0.0320', 'HIT@20': '0.1029', 'NDCG@20': '0.0415'}
{'Epoch': 11, 'HIT@5': '0.0361', 'NDCG@5': '0.0221', 'HIT@10': '0.0647', 'NDCG@10': '0.0312', 'HIT@20': '0.1026', 'NDCG@20': '0.0408'}
{'Epoch': 12, 'HIT@5': '0.0374', 'NDCG@5': '0.0230', 'HIT@10': '0.0658', 'NDCG@10': '0.0320', 'HIT@20': '0.1045', 'NDCG@20': '0.0417'}
{'Epoch': 13, 'HIT@5': '0.0380', 'NDCG@5': '0.0235', 'HIT@10': '0.0655', 'NDCG@10': '0.0323', 'HIT@20': '0.1045', 'NDCG@20': '0.0422'}
{'Epoch': 14, 'HIT@5': '0.0394', 'NDCG@5': '0.0244', 'HIT@10': '0.0660', 'NDCG@10': '0.0329', 'HIT@20': '0.1087', 'NDCG@20': '0.0436'}
{'Epoch': 15, 'HIT@5': '0.0395', 'NDCG@5': '0.0245', 'HIT@10': '0.0681', 'NDCG@10': '0.0336', 'HIT@20': '0.1093', 'NDCG@20': '0.0439'}
{'Epoch': 16, 'HIT@5': '0.0396', 'NDCG@5': '0.0246', 'HIT@10': '0.0688', 'NDCG@10': '0.0340', 'HIT@20': '0.1088', 'NDCG@20': '0.0440'}
{'Epoch': 17, 'HIT@5': '0.0411', 'NDCG@5': '0.0252', 'HIT@10': '0.0685', 'NDCG@10': '0.0339', 'HIT@20': '0.1098', 'NDCG@20': '0.0443'}
