{'Epoch': 0, 'HIT@5': '0.0384', 'NDCG@5': '0.0242', 'HIT@10': '0.0627', 'NDCG@10': '0.0321', 'HIT@20': '0.0990', 'NDCG@20': '0.0412'}
{'Epoch': 1, 'HIT@5': '0.0468', 'NDCG@5': '0.0301', 'HIT@10': '0.0728', 'NDCG@10': '0.0384', 'HIT@20': '0.1124', 'NDCG@20': '0.0484'}
{'Epoch': 2, 'HIT@5': '0.0508', 'NDCG@5': '0.0329', 'HIT@10': '0.0787', 'NDCG@10': '0.0418', 'HIT@20': '0.1172', 'NDCG@20': '0.0515'}
{'Epoch': 3, 'HIT@5': '0.0519', 'NDCG@5': '0.0340', 'HIT@10': '0.0808', 'NDCG@10': '0.0433', 'HIT@20': '0.1227', 'NDCG@20': '0.0539'}
{'Epoch': 4, 'HIT@5': '0.0530', 'NDCG@5': '0.0348', 'HIT@10': '0.0834', 'NDCG@10': '0.0445', 'HIT@20': '0.1243', 'NDCG@20': '0.0548'}
{'Epoch': 5, 'HIT@5': '0.0543', 'NDCG@5': '0.0357', 'HIT@10': '0.0853', 'NDCG@10': '0.0457', 'HIT@20': '0.1279', 'NDCG@20': '0.0564'}
{'Epoch': 6, 'HIT@5': '0.0572', 'NDCG@5': '0.0372', 'HIT@10': '0.0871', 'NDCG@10': '0.0469', 'HIT@20': '0.1303', 'NDCG@20': '0.0577'}
{'Epoch': 7, 'HIT@5': '0.0584', 'NDCG@5': '0.0384', 'HIT@10': '0.0893', 'NDCG@10': '0.0483', 'HIT@20': '0.1330', 'NDCG@20': '0.0593'}
{'Epoch': 8, 'HIT@5': '0.0605', 'NDCG@5': '0.0397', 'HIT@10': '0.0915', 'NDCG@10': '0.0497', 'HIT@20': '0.1364', 'NDCG@20': '0.0610'}
{'Epoch': 9, 'HIT@5': '0.0612', 'NDCG@5': '0.0404', 'HIT@10': '0.0927', 'NDCG@10': '0.0506', 'HIT@20': '0.1373', 'NDCG@20': '0.0618'}
{'Epoch': 10, 'HIT@5': '0.0626', 'NDCG@5': '0.0411', 'HIT@10': '0.0941', 'NDCG@10': '0.0512', 'HIT@20': '0.1386', 'NDCG@20': '0.0625'}
{'Epoch': 11, 'HIT@5': '0.0634', 'NDCG@5': '0.0420', 'HIT@10': '0.0962', 'NDCG@10': '0.0525', 'HIT@20': '0.1409', 'NDCG@20': '0.0638'}
{'Epoch': 12, 'HIT@5': '0.0656', 'NDCG@5': '0.0432', 'HIT@10': '0.0972', 'NDCG@10': '0.0534', 'HIT@20': '0.1414', 'NDCG@20': '0.0645'}
{'Epoch': 13, 'HIT@5': '0.0661', 'NDCG@5': '0.0440', 'HIT@10': '0.0982', 'NDCG@10': '0.0543', 'HIT@20': '0.1437', 'NDCG@20': '0.0657'}
{'Epoch': 14, 'HIT@5': '0.0670', 'NDCG@5': '0.0451', 'HIT@10': '0.1015', 'NDCG@10': '0.0561', 'HIT@20': '0.1459', 'NDCG@20': '0.0673'}
{'Epoch': 15, 'HIT@5': '0.0674', 'NDCG@5': '0.0453', 'HIT@10': '0.1012', 'NDCG@10': '0.0561', 'HIT@20': '0.1472', 'NDCG@20': '0.0676'}
{'Epoch': 16, 'HIT@5': '0.0692', 'NDCG@5': '0.0468', 'HIT@10': '0.1039', 'NDCG@10': '0.0579', 'HIT@20': '0.1484', 'NDCG@20': '0.0691'}
{'Epoch': 17, 'HIT@5': '0.0699', 'NDCG@5': '0.0472', 'HIT@10': '0.1042', 'NDCG@10': '0.0582', 'HIT@20': '0.1485', 'NDCG@20': '0.0694'}
{'Epoch': 18, 'HIT@5': '0.0712', 'NDCG@5': '0.0477', 'HIT@10': '0.1052', 'NDCG@10': '0.0586', 'HIT@20': '0.1508', 'NDCG@20': '0.0700'}
{'Epoch': 19, 'HIT@5': '0.0720', 'NDCG@5': '0.0482', 'HIT@10': '0.1055', 'NDCG@10': '0.0589', 'HIT@20': '0.1509', 'NDCG@20': '0.0703'}
{'Epoch': 20, 'HIT@5': '0.0713', 'NDCG@5': '0.0484', 'HIT@10': '0.1070', 'NDCG@10': '0.0598', 'HIT@20': '0.1521', 'NDCG@20': '0.0711'}
{'Epoch': 21, 'HIT@5': '0.0733', 'NDCG@5': '0.0492', 'HIT@10': '0.1079', 'NDCG@10': '0.0603', 'HIT@20': '0.1547', 'NDCG@20': '0.0721'}
{'Epoch': 22, 'HIT@5': '0.0738', 'NDCG@5': '0.0497', 'HIT@10': '0.1077', 'NDCG@10': '0.0606', 'HIT@20': '0.1542', 'NDCG@20': '0.0723'}
{'Epoch': 23, 'HIT@5': '0.0741', 'NDCG@5': '0.0503', 'HIT@10': '0.1090', 'NDCG@10': '0.0615', 'HIT@20': '0.1560', 'NDCG@20': '0.0733'}
{'Epoch': 24, 'HIT@5': '0.0753', 'NDCG@5': '0.0510', 'HIT@10': '0.1097', 'NDCG@10': '0.0621', 'HIT@20': '0.1557', 'NDCG@20': '0.0737'}
{'Epoch': 25, 'HIT@5': '0.0766', 'NDCG@5': '0.0521', 'HIT@10': '0.1109', 'NDCG@10': '0.0631', 'HIT@20': '0.1562', 'NDCG@20': '0.0745'}
{'Epoch': 26, 'HIT@5': '0.0778', 'NDCG@5': '0.0526', 'HIT@10': '0.1130', 'NDCG@10': '0.0639', 'HIT@20': '0.1590', 'NDCG@20': '0.0755'}
{'Epoch': 27, 'HIT@5': '0.0783', 'NDCG@5': '0.0532', 'HIT@10': '0.1140', 'NDCG@10': '0.0647', 'HIT@20': '0.1587', 'NDCG@20': '0.0759'}
{'Epoch': 28, 'HIT@5': '0.0777', 'NDCG@5': '0.0532', 'HIT@10': '0.1133', 'NDCG@10': '0.0647', 'HIT@20': '0.1590', 'NDCG@20': '0.0762'}
