{'Epoch': 0, 'HIT@5': '0.0090', 'NDCG@5': '0.0055', 'HIT@10': '0.0163', 'NDCG@10': '0.0078', 'HIT@20': '0.0271', 'NDCG@20': '0.0105'}
{'Epoch': 1, 'HIT@5': '0.0119', 'NDCG@5': '0.0070', 'HIT@10': '0.0192', 'NDCG@10': '0.0093', 'HIT@20': '0.0304', 'NDCG@20': '0.0121'}
{'Epoch': 2, 'HIT@5': '0.0130', 'NDCG@5': '0.0080', 'HIT@10': '0.0220', 'NDCG@10': '0.0109', 'HIT@20': '0.0334', 'NDCG@20': '0.0138'}
{'Epoch': 3, 'HIT@5': '0.0153', 'NDCG@5': '0.0099', 'HIT@10': '0.0247', 'NDCG@10': '0.0129', 'HIT@20': '0.0372', 'NDCG@20': '0.0160'}
{'Epoch': 4, 'HIT@5': '0.0166', 'NDCG@5': '0.0101', 'HIT@10': '0.0275', 'NDCG@10': '0.0136', 'HIT@20': '0.0444', 'NDCG@20': '0.0178'}
{'Epoch': 5, 'HIT@5': '0.0186', 'NDCG@5': '0.0118', 'HIT@10': '0.0336', 'NDCG@10': '0.0166', 'HIT@20': '0.0509', 'NDCG@20': '0.0209'}
{'Epoch': 6, 'HIT@5': '0.0190', 'NDCG@5': '0.0123', 'HIT@10': '0.0335', 'NDCG@10': '0.0169', 'HIT@20': '0.0553', 'NDCG@20': '0.0224'}
{'Epoch': 7, 'HIT@5': '0.0222', 'NDCG@5': '0.0140', 'HIT@10': '0.0370', 'NDCG@10': '0.0188', 'HIT@20': '0.0602', 'NDCG@20': '0.0246'}
{'Epoch': 8, 'HIT@5': '0.0235', 'NDCG@5': '0.0144', 'HIT@10': '0.0397', 'NDCG@10': '0.0196', 'HIT@20': '0.0610', 'NDCG@20': '0.0250'}
{'Epoch': 9, 'HIT@5': '0.0242', 'NDCG@5': '0.0150', 'HIT@10': '0.0406', 'NDCG@10': '0.0203', 'HIT@20': '0.0657', 'NDCG@20': '0.0266'}
{'Epoch': 10, 'HIT@5': '0.0270', 'NDCG@5': '0.0169', 'HIT@10': '0.0458', 'NDCG@10': '0.0229', 'HIT@20': '0.0717', 'NDCG@20': '0.0294'}
{'Epoch': 11, 'HIT@5': '0.0280', 'NDCG@5': '0.0172', 'HIT@10': '0.0495', 'NDCG@10': '0.0241', 'HIT@20': '0.0749', 'NDCG@20': '0.0305'}
{'Epoch': 12, 'HIT@5': '0.0308', 'NDCG@5': '0.0190', 'HIT@10': '0.0546', 'NDCG@10': '0.0266', 'HIT@20': '0.0814', 'NDCG@20': '0.0333'}
{'Epoch': 13, 'HIT@5': '0.0326', 'NDCG@5': '0.0198', 'HIT@10': '0.0552', 'NDCG@10': '0.0270', 'HIT@20': '0.0825', 'NDCG@20': '0.0339'}
{'Epoch': 14, 'HIT@5': '0.0317', 'NDCG@5': '0.0202', 'HIT@10': '0.0549', 'NDCG@10': '0.0276', 'HIT@20': '0.0859', 'NDCG@20': '0.0354'}
{'Epoch': 15, 'HIT@5': '0.0347', 'NDCG@5': '0.0222', 'HIT@10': '0.0576', 'NDCG@10': '0.0296', 'HIT@20': '0.0872', 'NDCG@20': '0.0370'}
{'Epoch': 16, 'HIT@5': '0.0365', 'NDCG@5': '0.0237', 'HIT@10': '0.0595', 'NDCG@10': '0.0310', 'HIT@20': '0.0868', 'NDCG@20': '0.0380'}
{'Epoch': 17, 'HIT@5': '0.0377', 'NDCG@5': '0.0241', 'HIT@10': '0.0626', 'NDCG@10': '0.0321', 'HIT@20': '0.0917', 'NDCG@20': '0.0395'}
{'Epoch': 18, 'HIT@5': '0.0385', 'NDCG@5': '0.0244', 'HIT@10': '0.0618', 'NDCG@10': '0.0320', 'HIT@20': '0.0903', 'NDCG@20': '0.0391'}
{'Epoch': 19, 'HIT@5': '0.0396', 'NDCG@5': '0.0254', 'HIT@10': '0.0622', 'NDCG@10': '0.0326', 'HIT@20': '0.0924', 'NDCG@20': '0.0403'}
{'Epoch': 20, 'HIT@5': '0.0398', 'NDCG@5': '0.0255', 'HIT@10': '0.0641', 'NDCG@10': '0.0333', 'HIT@20': '0.0967', 'NDCG@20': '0.0415'}
