{'Epoch': 0, 'HIT@5': '0.0099', 'NDCG@5': '0.0060', 'HIT@10': '0.0165', 'NDCG@10': '0.0081', 'HIT@20': '0.0242', 'NDCG@20': '0.0101'}
{'Epoch': 1, 'HIT@5': '0.0144', 'NDCG@5': '0.0097', 'HIT@10': '0.0267', 'NDCG@10': '0.0136', 'HIT@20': '0.0412', 'NDCG@20': '0.0173'}
{'Epoch': 2, 'HIT@5': '0.0272', 'NDCG@5': '0.0167', 'HIT@10': '0.0443', 'NDCG@10': '0.0222', 'HIT@20': '0.0690', 'NDCG@20': '0.0284'}
{'Epoch': 3, 'HIT@5': '0.0359', 'NDCG@5': '0.0240', 'HIT@10': '0.0566', 'NDCG@10': '0.0307', 'HIT@20': '0.0845', 'NDCG@20': '0.0376'}
{'Epoch': 4, 'HIT@5': '0.0465', 'NDCG@5': '0.0312', 'HIT@10': '0.0678', 'NDCG@10': '0.0380', 'HIT@20': '0.0998', 'NDCG@20': '0.0460'}
{'Epoch': 5, 'HIT@5': '0.0531', 'NDCG@5': '0.0366', 'HIT@10': '0.0775', 'NDCG@10': '0.0445', 'HIT@20': '0.1141', 'NDCG@20': '0.0536'}
{'Epoch': 6, 'HIT@5': '0.0596', 'NDCG@5': '0.0416', 'HIT@10': '0.0859', 'NDCG@10': '0.0500', 'HIT@20': '0.1206', 'NDCG@20': '0.0588'}
{'Epoch': 7, 'HIT@5': '0.0642', 'NDCG@5': '0.0452', 'HIT@10': '0.0908', 'NDCG@10': '0.0536', 'HIT@20': '0.1272', 'NDCG@20': '0.0628'}
{'Epoch': 8, 'HIT@5': '0.0694', 'NDCG@5': '0.0494', 'HIT@10': '0.0973', 'NDCG@10': '0.0584', 'HIT@20': '0.1339', 'NDCG@20': '0.0676'}
{'Epoch': 9, 'HIT@5': '0.0728', 'NDCG@5': '0.0518', 'HIT@10': '0.1009', 'NDCG@10': '0.0608', 'HIT@20': '0.1378', 'NDCG@20': '0.0700'}
{'Epoch': 10, 'HIT@5': '0.0761', 'NDCG@5': '0.0538', 'HIT@10': '0.1032', 'NDCG@10': '0.0626', 'HIT@20': '0.1389', 'NDCG@20': '0.0716'}
{'Epoch': 11, 'HIT@5': '0.0774', 'NDCG@5': '0.0552', 'HIT@10': '0.1063', 'NDCG@10': '0.0645', 'HIT@20': '0.1413', 'NDCG@20': '0.0733'}
{'Epoch': 12, 'HIT@5': '0.0804', 'NDCG@5': '0.0572', 'HIT@10': '0.1102', 'NDCG@10': '0.0668', 'HIT@20': '0.1456', 'NDCG@20': '0.0757'}
{'Epoch': 13, 'HIT@5': '0.0799', 'NDCG@5': '0.0576', 'HIT@10': '0.1097', 'NDCG@10': '0.0673', 'HIT@20': '0.1461', 'NDCG@20': '0.0764'}
{'Epoch': 14, 'HIT@5': '0.0814', 'NDCG@5': '0.0583', 'HIT@10': '0.1109', 'NDCG@10': '0.0678', 'HIT@20': '0.1473', 'NDCG@20': '0.0770'}
{'Epoch': 15, 'HIT@5': '0.0828', 'NDCG@5': '0.0597', 'HIT@10': '0.1118', 'NDCG@10': '0.0690', 'HIT@20': '0.1489', 'NDCG@20': '0.0784'}
{'Epoch': 16, 'HIT@5': '0.0836', 'NDCG@5': '0.0596', 'HIT@10': '0.1112', 'NDCG@10': '0.0684', 'HIT@20': '0.1494', 'NDCG@20': '0.0780'}
{'Epoch': 17, 'HIT@5': '0.0822', 'NDCG@5': '0.0595', 'HIT@10': '0.1120', 'NDCG@10': '0.0691', 'HIT@20': '0.1490', 'NDCG@20': '0.0784'}
{'Epoch': 18, 'HIT@5': '0.0830', 'NDCG@5': '0.0598', 'HIT@10': '0.1122', 'NDCG@10': '0.0692', 'HIT@20': '0.1516', 'NDCG@20': '0.0791'}
{'Epoch': 19, 'HIT@5': '0.0837', 'NDCG@5': '0.0599', 'HIT@10': '0.1130', 'NDCG@10': '0.0694', 'HIT@20': '0.1514', 'NDCG@20': '0.0790'}
