{'Epoch': 0, 'HIT@5': '0.0040', 'NDCG@5': '0.0022', 'HIT@10': '0.0080', 'NDCG@10': '0.0034', 'HIT@20': '0.0226', 'NDCG@20': '0.0071'}
{'Epoch': 1, 'HIT@5': '0.0064', 'NDCG@5': '0.0037', 'HIT@10': '0.0127', 'NDCG@10': '0.0057', 'HIT@20': '0.0225', 'NDCG@20': '0.0082'}
{'Epoch': 2, 'HIT@5': '0.0138', 'NDCG@5': '0.0093', 'HIT@10': '0.0232', 'NDCG@10': '0.0124', 'HIT@20': '0.0364', 'NDCG@20': '0.0157'}
{'Epoch': 3, 'HIT@5': '0.0163', 'NDCG@5': '0.0103', 'HIT@10': '0.0256', 'NDCG@10': '0.0133', 'HIT@20': '0.0427', 'NDCG@20': '0.0176'}
{'Epoch': 4, 'HIT@5': '0.0212', 'NDCG@5': '0.0136', 'HIT@10': '0.0343', 'NDCG@10': '0.0178', 'HIT@20': '0.0541', 'NDCG@20': '0.0227'}
{'Epoch': 5, 'HIT@5': '0.0317', 'NDCG@5': '0.0220', 'HIT@10': '0.0463', 'NDCG@10': '0.0267', 'HIT@20': '0.0664', 'NDCG@20': '0.0318'}
{'Epoch': 6, 'HIT@5': '0.0386', 'NDCG@5': '0.0275', 'HIT@10': '0.0537', 'NDCG@10': '0.0324', 'HIT@20': '0.0768', 'NDCG@20': '0.0382'}
{'Epoch': 7, 'HIT@5': '0.0462', 'NDCG@5': '0.0336', 'HIT@10': '0.0635', 'NDCG@10': '0.0391', 'HIT@20': '0.0851', 'NDCG@20': '0.0446'}
{'Epoch': 8, 'HIT@5': '0.0516', 'NDCG@5': '0.0384', 'HIT@10': '0.0685', 'NDCG@10': '0.0438', 'HIT@20': '0.0914', 'NDCG@20': '0.0496'}
{'Epoch': 9, 'HIT@5': '0.0534', 'NDCG@5': '0.0404', 'HIT@10': '0.0705', 'NDCG@10': '0.0458', 'HIT@20': '0.0937', 'NDCG@20': '0.0517'}
{'Epoch': 10, 'HIT@5': '0.0559', 'NDCG@5': '0.0418', 'HIT@10': '0.0733', 'NDCG@10': '0.0474', 'HIT@20': '0.0961', 'NDCG@20': '0.0531'}
{'Epoch': 11, 'HIT@5': '0.0580', 'NDCG@5': '0.0432', 'HIT@10': '0.0758', 'NDCG@10': '0.0489', 'HIT@20': '0.0987', 'NDCG@20': '0.0547'}
