{'Epoch': 0, 'HIT@5': '0.0046', 'NDCG@5': '0.0021', 'HIT@10': '0.0138', 'NDCG@10': '0.0050', 'HIT@20': '0.0202', 'NDCG@20': '0.0066'}
{'Epoch': 1, 'HIT@5': '0.0110', 'NDCG@5': '0.0055', 'HIT@10': '0.0147', 'NDCG@10': '0.0067', 'HIT@20': '0.0275', 'NDCG@20': '0.0098'}
{'Epoch': 2, 'HIT@5': '0.0119', 'NDCG@5': '0.0061', 'HIT@10': '0.0202', 'NDCG@10': '0.0086', 'HIT@20': '0.0284', 'NDCG@20': '0.0107'}
{'Epoch': 3, 'HIT@5': '0.0083', 'NDCG@5': '0.0048', 'HIT@10': '0.0220', 'NDCG@10': '0.0094', 'HIT@20': '0.0294', 'NDCG@20': '0.0112'}
{'Epoch': 4, 'HIT@5': '0.0138', 'NDCG@5': '0.0099', 'HIT@10': '0.0211', 'NDCG@10': '0.0123', 'HIT@20': '0.0404', 'NDCG@20': '0.0171'}
{'Epoch': 5, 'HIT@5': '0.0202', 'NDCG@5': '0.0125', 'HIT@10': '0.0330', 'NDCG@10': '0.0167', 'HIT@20': '0.0596', 'NDCG@20': '0.0233'}
{'Epoch': 6, 'HIT@5': '0.0257', 'NDCG@5': '0.0146', 'HIT@10': '0.0385', 'NDCG@10': '0.0188', 'HIT@20': '0.0606', 'NDCG@20': '0.0241'}
{'Epoch': 7, 'HIT@5': '0.0257', 'NDCG@5': '0.0160', 'HIT@10': '0.0385', 'NDCG@10': '0.0202', 'HIT@20': '0.0596', 'NDCG@20': '0.0255'}
{'Epoch': 8, 'HIT@5': '0.0266', 'NDCG@5': '0.0165', 'HIT@10': '0.0385', 'NDCG@10': '0.0203', 'HIT@20': '0.0596', 'NDCG@20': '0.0256'}
{'Epoch': 9, 'HIT@5': '0.0275', 'NDCG@5': '0.0189', 'HIT@10': '0.0422', 'NDCG@10': '0.0235', 'HIT@20': '0.0624', 'NDCG@20': '0.0285'}
{'Epoch': 10, 'HIT@5': '0.0266', 'NDCG@5': '0.0184', 'HIT@10': '0.0413', 'NDCG@10': '0.0231', 'HIT@20': '0.0615', 'NDCG@20': '0.0282'}
{'Epoch': 11, 'HIT@5': '0.0266', 'NDCG@5': '0.0184', 'HIT@10': '0.0376', 'NDCG@10': '0.0220', 'HIT@20': '0.0606', 'NDCG@20': '0.0278'}
{'Epoch': 12, 'HIT@5': '0.0266', 'NDCG@5': '0.0184', 'HIT@10': '0.0394', 'NDCG@10': '0.0225', 'HIT@20': '0.0596', 'NDCG@20': '0.0276'}
{'Epoch': 13, 'HIT@5': '0.0284', 'NDCG@5': '0.0192', 'HIT@10': '0.0394', 'NDCG@10': '0.0227', 'HIT@20': '0.0606', 'NDCG@20': '0.0279'}
{'Epoch': 14, 'HIT@5': '0.0275', 'NDCG@5': '0.0189', 'HIT@10': '0.0385', 'NDCG@10': '0.0224', 'HIT@20': '0.0596', 'NDCG@20': '0.0276'}
{'Epoch': 15, 'HIT@5': '0.0266', 'NDCG@5': '0.0179', 'HIT@10': '0.0376', 'NDCG@10': '0.0214', 'HIT@20': '0.0606', 'NDCG@20': '0.0271'}
{'Epoch': 16, 'HIT@5': '0.0266', 'NDCG@5': '0.0183', 'HIT@10': '0.0385', 'NDCG@10': '0.0222', 'HIT@20': '0.0596', 'NDCG@20': '0.0275'}
{'Epoch': 17, 'HIT@5': '0.0266', 'NDCG@5': '0.0183', 'HIT@10': '0.0422', 'NDCG@10': '0.0234', 'HIT@20': '0.0578', 'NDCG@20': '0.0273'}
{'Epoch': 18, 'HIT@5': '0.0275', 'NDCG@5': '0.0186', 'HIT@10': '0.0440', 'NDCG@10': '0.0240', 'HIT@20': '0.0596', 'NDCG@20': '0.0277'}
{'Epoch': 19, 'HIT@5': '0.0266', 'NDCG@5': '0.0172', 'HIT@10': '0.0422', 'NDCG@10': '0.0223', 'HIT@20': '0.0642', 'NDCG@20': '0.0276'}
{'Epoch': 19, 'HIT@5': '0.0312', 'NDCG@5': '0.0210', 'HIT@10': '0.0468', 'NDCG@10': '0.0260', 'HIT@20': '0.0550', 'NDCG@20': '0.0281'}
GRU4Rec-LastFM-0-CCE
{'Epoch': 19, 'HIT@5': '0.0312', 'NDCG@5': '0.0210', 'HIT@10': '0.0468', 'NDCG@10': '0.0260', 'HIT@20': '0.0550', 'NDCG@20': '0.0281'}
