{'Epoch': 0, 'HIT@5': '0.0046', 'NDCG@5': '0.0042', 'HIT@10': '0.0046', 'NDCG@10': '0.0042', 'HIT@20': '0.0073', 'NDCG@20': '0.0049'}
{'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0046', 'HIT@10': '0.0083', 'NDCG@10': '0.0054', 'HIT@20': '0.0156', 'NDCG@20': '0.0072'}
{'Epoch': 2, 'HIT@5': '0.0083', 'NDCG@5': '0.0061', 'HIT@10': '0.0119', 'NDCG@10': '0.0073', 'HIT@20': '0.0239', 'NDCG@20': '0.0102'}
{'Epoch': 3, 'HIT@5': '0.0092', 'NDCG@5': '0.0063', 'HIT@10': '0.0138', 'NDCG@10': '0.0077', 'HIT@20': '0.0312', 'NDCG@20': '0.0122'}
{'Epoch': 4, 'HIT@5': '0.0083', 'NDCG@5': '0.0055', 'HIT@10': '0.0147', 'NDCG@10': '0.0076', 'HIT@20': '0.0339', 'NDCG@20': '0.0123'}
{'Epoch': 5, 'HIT@5': '0.0119', 'NDCG@5': '0.0074', 'HIT@10': '0.0138', 'NDCG@10': '0.0080', 'HIT@20': '0.0367', 'NDCG@20': '0.0137'}
{'Epoch': 6, 'HIT@5': '0.0092', 'NDCG@5': '0.0051', 'HIT@10': '0.0266', 'NDCG@10': '0.0106', 'HIT@20': '0.0413', 'NDCG@20': '0.0142'}
{'Epoch': 7, 'HIT@5': '0.0092', 'NDCG@5': '0.0053', 'HIT@10': '0.0211', 'NDCG@10': '0.0088', 'HIT@20': '0.0413', 'NDCG@20': '0.0141'}
{'Epoch': 8, 'HIT@5': '0.0064', 'NDCG@5': '0.0042', 'HIT@10': '0.0174', 'NDCG@10': '0.0077', 'HIT@20': '0.0459', 'NDCG@20': '0.0147'}
{'Epoch': 9, 'HIT@5': '0.0165', 'NDCG@5': '0.0091', 'HIT@10': '0.0275', 'NDCG@10': '0.0126', 'HIT@20': '0.0459', 'NDCG@20': '0.0171'}
{'Epoch': 10, 'HIT@5': '0.0193', 'NDCG@5': '0.0130', 'HIT@10': '0.0266', 'NDCG@10': '0.0153', 'HIT@20': '0.0486', 'NDCG@20': '0.0209'}
{'Epoch': 11, 'HIT@5': '0.0156', 'NDCG@5': '0.0093', 'HIT@10': '0.0303', 'NDCG@10': '0.0140', 'HIT@20': '0.0532', 'NDCG@20': '0.0197'}
{'Epoch': 12, 'HIT@5': '0.0174', 'NDCG@5': '0.0089', 'HIT@10': '0.0284', 'NDCG@10': '0.0125', 'HIT@20': '0.0523', 'NDCG@20': '0.0186'}
{'Epoch': 13, 'HIT@5': '0.0183', 'NDCG@5': '0.0090', 'HIT@10': '0.0284', 'NDCG@10': '0.0122', 'HIT@20': '0.0459', 'NDCG@20': '0.0166'}
{'Epoch': 14, 'HIT@5': '0.0174', 'NDCG@5': '0.0086', 'HIT@10': '0.0266', 'NDCG@10': '0.0115', 'HIT@20': '0.0422', 'NDCG@20': '0.0155'}
{'Epoch': 15, 'HIT@5': '0.0174', 'NDCG@5': '0.0082', 'HIT@10': '0.0275', 'NDCG@10': '0.0114', 'HIT@20': '0.0404', 'NDCG@20': '0.0146'}
{'Epoch': 16, 'HIT@5': '0.0119', 'NDCG@5': '0.0065', 'HIT@10': '0.0275', 'NDCG@10': '0.0117', 'HIT@20': '0.0450', 'NDCG@20': '0.0161'}
{'Epoch': 17, 'HIT@5': '0.0110', 'NDCG@5': '0.0060', 'HIT@10': '0.0294', 'NDCG@10': '0.0119', 'HIT@20': '0.0486', 'NDCG@20': '0.0167'}
{'Epoch': 18, 'HIT@5': '0.0110', 'NDCG@5': '0.0062', 'HIT@10': '0.0294', 'NDCG@10': '0.0123', 'HIT@20': '0.0440', 'NDCG@20': '0.0160'}
{'Epoch': 19, 'HIT@5': '0.0128', 'NDCG@5': '0.0067', 'HIT@10': '0.0248', 'NDCG@10': '0.0107', 'HIT@20': '0.0404', 'NDCG@20': '0.0147'}
{'Epoch': 20, 'HIT@5': '0.0147', 'NDCG@5': '0.0076', 'HIT@10': '0.0239', 'NDCG@10': '0.0106', 'HIT@20': '0.0450', 'NDCG@20': '0.0159'}
{'Epoch': 20, 'HIT@5': '0.0211', 'NDCG@5': '0.0138', 'HIT@10': '0.0312', 'NDCG@10': '0.0171', 'HIT@20': '0.0495', 'NDCG@20': '0.0218'}
GRU4Rec-LastFM-0-CE
{'Epoch': 20, 'HIT@5': '0.0211', 'NDCG@5': '0.0138', 'HIT@10': '0.0312', 'NDCG@10': '0.0171', 'HIT@20': '0.0495', 'NDCG@20': '0.0218'}
