{'Epoch': 0, 'HIT@5': '0.0073', 'NDCG@5': '0.0052', 'HIT@10': '0.0092', 'NDCG@10': '0.0058', 'HIT@20': '0.0147', 'NDCG@20': '0.0072'}
{'Epoch': 1, 'HIT@5': '0.0064', 'NDCG@5': '0.0042', 'HIT@10': '0.0128', 'NDCG@10': '0.0063', 'HIT@20': '0.0220', 'NDCG@20': '0.0086'}
{'Epoch': 2, 'HIT@5': '0.0083', 'NDCG@5': '0.0049', 'HIT@10': '0.0138', 'NDCG@10': '0.0067', 'HIT@20': '0.0248', 'NDCG@20': '0.0095'}
{'Epoch': 3, 'HIT@5': '0.0092', 'NDCG@5': '0.0055', 'HIT@10': '0.0119', 'NDCG@10': '0.0064', 'HIT@20': '0.0193', 'NDCG@20': '0.0082'}
{'Epoch': 4, 'HIT@5': '0.0046', 'NDCG@5': '0.0033', 'HIT@10': '0.0083', 'NDCG@10': '0.0045', 'HIT@20': '0.0165', 'NDCG@20': '0.0066'}
{'Epoch': 5, 'HIT@5': '0.0064', 'NDCG@5': '0.0040', 'HIT@10': '0.0092', 'NDCG@10': '0.0049', 'HIT@20': '0.0156', 'NDCG@20': '0.0066'}
{'Epoch': 6, 'HIT@5': '0.0055', 'NDCG@5': '0.0040', 'HIT@10': '0.0128', 'NDCG@10': '0.0063', 'HIT@20': '0.0174', 'NDCG@20': '0.0075'}
{'Epoch': 7, 'HIT@5': '0.0073', 'NDCG@5': '0.0053', 'HIT@10': '0.0138', 'NDCG@10': '0.0073', 'HIT@20': '0.0248', 'NDCG@20': '0.0101'}
{'Epoch': 8, 'HIT@5': '0.0073', 'NDCG@5': '0.0047', 'HIT@10': '0.0138', 'NDCG@10': '0.0067', 'HIT@20': '0.0266', 'NDCG@20': '0.0099'}
{'Epoch': 9, 'HIT@5': '0.0064', 'NDCG@5': '0.0048', 'HIT@10': '0.0128', 'NDCG@10': '0.0069', 'HIT@20': '0.0248', 'NDCG@20': '0.0099'}
{'Epoch': 10, 'HIT@5': '0.0092', 'NDCG@5': '0.0066', 'HIT@10': '0.0119', 'NDCG@10': '0.0074', 'HIT@20': '0.0248', 'NDCG@20': '0.0107'}
{'Epoch': 11, 'HIT@5': '0.0073', 'NDCG@5': '0.0039', 'HIT@10': '0.0128', 'NDCG@10': '0.0057', 'HIT@20': '0.0248', 'NDCG@20': '0.0086'}
{'Epoch': 12, 'HIT@5': '0.0037', 'NDCG@5': '0.0024', 'HIT@10': '0.0083', 'NDCG@10': '0.0039', 'HIT@20': '0.0156', 'NDCG@20': '0.0058'}
{'Epoch': 13, 'HIT@5': '0.0046', 'NDCG@5': '0.0028', 'HIT@10': '0.0101', 'NDCG@10': '0.0046', 'HIT@20': '0.0147', 'NDCG@20': '0.0057'}
{'Epoch': 14, 'HIT@5': '0.0046', 'NDCG@5': '0.0029', 'HIT@10': '0.0092', 'NDCG@10': '0.0043', 'HIT@20': '0.0138', 'NDCG@20': '0.0055'}
{'Epoch': 15, 'HIT@5': '0.0037', 'NDCG@5': '0.0021', 'HIT@10': '0.0101', 'NDCG@10': '0.0042', 'HIT@20': '0.0202', 'NDCG@20': '0.0067'}
{'Epoch': 16, 'HIT@5': '0.0046', 'NDCG@5': '0.0024', 'HIT@10': '0.0147', 'NDCG@10': '0.0056', 'HIT@20': '0.0211', 'NDCG@20': '0.0072'}
{'Epoch': 17, 'HIT@5': '0.0092', 'NDCG@5': '0.0055', 'HIT@10': '0.0119', 'NDCG@10': '0.0063', 'HIT@20': '0.0229', 'NDCG@20': '0.0091'}
{'Epoch': 18, 'HIT@5': '0.0073', 'NDCG@5': '0.0049', 'HIT@10': '0.0110', 'NDCG@10': '0.0061', 'HIT@20': '0.0220', 'NDCG@20': '0.0088'}
{'Epoch': 19, 'HIT@5': '0.0101', 'NDCG@5': '0.0062', 'HIT@10': '0.0147', 'NDCG@10': '0.0077', 'HIT@20': '0.0248', 'NDCG@20': '0.0102'}
{'Epoch': 20, 'HIT@5': '0.0055', 'NDCG@5': '0.0032', 'HIT@10': '0.0083', 'NDCG@10': '0.0041', 'HIT@20': '0.0138', 'NDCG@20': '0.0056'}
{'Epoch': 20, 'HIT@5': '0.0073', 'NDCG@5': '0.0039', 'HIT@10': '0.0138', 'NDCG@10': '0.0058', 'HIT@20': '0.0266', 'NDCG@20': '0.0090'}
Ori-SRGNN-LastFM-0-CE
{'Epoch': 20, 'HIT@5': '0.0073', 'NDCG@5': '0.0039', 'HIT@10': '0.0138', 'NDCG@10': '0.0058', 'HIT@20': '0.0266', 'NDCG@20': '0.0090'}
