{'Epoch': 0, 'HIT@5': '0.0156', 'NDCG@5': '0.0080', 'HIT@10': '0.0312', 'NDCG@10': '0.0129', 'HIT@20': '0.0541', 'NDCG@20': '0.0186'}
{'Epoch': 1, 'HIT@5': '0.0183', 'NDCG@5': '0.0099', 'HIT@10': '0.0294', 'NDCG@10': '0.0134', 'HIT@20': '0.0550', 'NDCG@20': '0.0199'}
{'Epoch': 2, 'HIT@5': '0.0174', 'NDCG@5': '0.0104', 'HIT@10': '0.0349', 'NDCG@10': '0.0160', 'HIT@20': '0.0661', 'NDCG@20': '0.0239'}
{'Epoch': 3, 'HIT@5': '0.0211', 'NDCG@5': '0.0124', 'HIT@10': '0.0404', 'NDCG@10': '0.0187', 'HIT@20': '0.0752', 'NDCG@20': '0.0275'}
{'Epoch': 4, 'HIT@5': '0.0239', 'NDCG@5': '0.0142', 'HIT@10': '0.0422', 'NDCG@10': '0.0201', 'HIT@20': '0.0780', 'NDCG@20': '0.0291'}
{'Epoch': 5, 'HIT@5': '0.0266', 'NDCG@5': '0.0163', 'HIT@10': '0.0486', 'NDCG@10': '0.0233', 'HIT@20': '0.0789', 'NDCG@20': '0.0308'}
{'Epoch': 6, 'HIT@5': '0.0275', 'NDCG@5': '0.0168', 'HIT@10': '0.0477', 'NDCG@10': '0.0233', 'HIT@20': '0.0862', 'NDCG@20': '0.0328'}
{'Epoch': 7, 'HIT@5': '0.0303', 'NDCG@5': '0.0177', 'HIT@10': '0.0450', 'NDCG@10': '0.0223', 'HIT@20': '0.0881', 'NDCG@20': '0.0333'}
{'Epoch': 8, 'HIT@5': '0.0303', 'NDCG@5': '0.0170', 'HIT@10': '0.0486', 'NDCG@10': '0.0230', 'HIT@20': '0.0890', 'NDCG@20': '0.0332'}
{'Epoch': 9, 'HIT@5': '0.0330', 'NDCG@5': '0.0192', 'HIT@10': '0.0495', 'NDCG@10': '0.0245', 'HIT@20': '0.0945', 'NDCG@20': '0.0357'}
{'Epoch': 10, 'HIT@5': '0.0303', 'NDCG@5': '0.0185', 'HIT@10': '0.0505', 'NDCG@10': '0.0251', 'HIT@20': '0.0936', 'NDCG@20': '0.0359'}
{'Epoch': 11, 'HIT@5': '0.0330', 'NDCG@5': '0.0204', 'HIT@10': '0.0560', 'NDCG@10': '0.0278', 'HIT@20': '0.0963', 'NDCG@20': '0.0377'}
{'Epoch': 12, 'HIT@5': '0.0312', 'NDCG@5': '0.0196', 'HIT@10': '0.0550', 'NDCG@10': '0.0273', 'HIT@20': '0.0991', 'NDCG@20': '0.0383'}
{'Epoch': 13, 'HIT@5': '0.0330', 'NDCG@5': '0.0206', 'HIT@10': '0.0587', 'NDCG@10': '0.0287', 'HIT@20': '0.1064', 'NDCG@20': '0.0405'}
{'Epoch': 14, 'HIT@5': '0.0312', 'NDCG@5': '0.0200', 'HIT@10': '0.0569', 'NDCG@10': '0.0282', 'HIT@20': '0.1147', 'NDCG@20': '0.0426'}
{'Epoch': 15, 'HIT@5': '0.0321', 'NDCG@5': '0.0204', 'HIT@10': '0.0560', 'NDCG@10': '0.0279', 'HIT@20': '0.1165', 'NDCG@20': '0.0431'}
{'Epoch': 16, 'HIT@5': '0.0330', 'NDCG@5': '0.0214', 'HIT@10': '0.0541', 'NDCG@10': '0.0282', 'HIT@20': '0.1147', 'NDCG@20': '0.0434'}
{'Epoch': 17, 'HIT@5': '0.0349', 'NDCG@5': '0.0224', 'HIT@10': '0.0560', 'NDCG@10': '0.0291', 'HIT@20': '0.1174', 'NDCG@20': '0.0445'}
{'Epoch': 18, 'HIT@5': '0.0330', 'NDCG@5': '0.0213', 'HIT@10': '0.0578', 'NDCG@10': '0.0294', 'HIT@20': '0.1156', 'NDCG@20': '0.0438'}
{'Epoch': 19, 'HIT@5': '0.0339', 'NDCG@5': '0.0214', 'HIT@10': '0.0596', 'NDCG@10': '0.0296', 'HIT@20': '0.1128', 'NDCG@20': '0.0429'}
{'Epoch': 20, 'HIT@5': '0.0330', 'NDCG@5': '0.0209', 'HIT@10': '0.0624', 'NDCG@10': '0.0303', 'HIT@20': '0.1156', 'NDCG@20': '0.0436'}
{'Epoch': 21, 'HIT@5': '0.0349', 'NDCG@5': '0.0230', 'HIT@10': '0.0606', 'NDCG@10': '0.0312', 'HIT@20': '0.1193', 'NDCG@20': '0.0459'}
{'Epoch': 22, 'HIT@5': '0.0367', 'NDCG@5': '0.0247', 'HIT@10': '0.0633', 'NDCG@10': '0.0331', 'HIT@20': '0.1174', 'NDCG@20': '0.0468'}
{'Epoch': 23, 'HIT@5': '0.0367', 'NDCG@5': '0.0243', 'HIT@10': '0.0633', 'NDCG@10': '0.0328', 'HIT@20': '0.1202', 'NDCG@20': '0.0472'}
{'Epoch': 24, 'HIT@5': '0.0385', 'NDCG@5': '0.0250', 'HIT@10': '0.0688', 'NDCG@10': '0.0346', 'HIT@20': '0.1220', 'NDCG@20': '0.0480'}
{'Epoch': 25, 'HIT@5': '0.0413', 'NDCG@5': '0.0268', 'HIT@10': '0.0734', 'NDCG@10': '0.0370', 'HIT@20': '0.1266', 'NDCG@20': '0.0502'}
