{'Epoch': 0, 'HIT@5': '0.0202', 'NDCG@5': '0.0106', 'HIT@10': '0.0358', 'NDCG@10': '0.0155', 'HIT@20': '0.0514', 'NDCG@20': '0.0194'}
{'Epoch': 1, 'HIT@5': '0.0239', 'NDCG@5': '0.0129', 'HIT@10': '0.0376', 'NDCG@10': '0.0173', 'HIT@20': '0.0596', 'NDCG@20': '0.0229'}
{'Epoch': 2, 'HIT@5': '0.0229', 'NDCG@5': '0.0131', 'HIT@10': '0.0394', 'NDCG@10': '0.0185', 'HIT@20': '0.0716', 'NDCG@20': '0.0265'}
{'Epoch': 3, 'HIT@5': '0.0248', 'NDCG@5': '0.0143', 'HIT@10': '0.0477', 'NDCG@10': '0.0217', 'HIT@20': '0.0844', 'NDCG@20': '0.0308'}
{'Epoch': 4, 'HIT@5': '0.0303', 'NDCG@5': '0.0177', 'HIT@10': '0.0560', 'NDCG@10': '0.0260', 'HIT@20': '0.0927', 'NDCG@20': '0.0351'}
{'Epoch': 5, 'HIT@5': '0.0339', 'NDCG@5': '0.0200', 'HIT@10': '0.0596', 'NDCG@10': '0.0281', 'HIT@20': '0.1037', 'NDCG@20': '0.0391'}
{'Epoch': 6, 'HIT@5': '0.0385', 'NDCG@5': '0.0233', 'HIT@10': '0.0633', 'NDCG@10': '0.0312', 'HIT@20': '0.1101', 'NDCG@20': '0.0428'}
{'Epoch': 7, 'HIT@5': '0.0431', 'NDCG@5': '0.0258', 'HIT@10': '0.0697', 'NDCG@10': '0.0345', 'HIT@20': '0.1147', 'NDCG@20': '0.0455'}
{'Epoch': 8, 'HIT@5': '0.0413', 'NDCG@5': '0.0239', 'HIT@10': '0.0688', 'NDCG@10': '0.0330', 'HIT@20': '0.1211', 'NDCG@20': '0.0460'}
{'Epoch': 9, 'HIT@5': '0.0376', 'NDCG@5': '0.0227', 'HIT@10': '0.0752', 'NDCG@10': '0.0347', 'HIT@20': '0.1147', 'NDCG@20': '0.0446'}
{'Epoch': 10, 'HIT@5': '0.0385', 'NDCG@5': '0.0237', 'HIT@10': '0.0716', 'NDCG@10': '0.0344', 'HIT@20': '0.1303', 'NDCG@20': '0.0490'}
{'Epoch': 11, 'HIT@5': '0.0431', 'NDCG@5': '0.0267', 'HIT@10': '0.0725', 'NDCG@10': '0.0360', 'HIT@20': '0.1321', 'NDCG@20': '0.0511'}
{'Epoch': 12, 'HIT@5': '0.0486', 'NDCG@5': '0.0303', 'HIT@10': '0.0817', 'NDCG@10': '0.0406', 'HIT@20': '0.1385', 'NDCG@20': '0.0548'}
{'Epoch': 13, 'HIT@5': '0.0495', 'NDCG@5': '0.0305', 'HIT@10': '0.0835', 'NDCG@10': '0.0413', 'HIT@20': '0.1404', 'NDCG@20': '0.0557'}
{'Epoch': 14, 'HIT@5': '0.0495', 'NDCG@5': '0.0303', 'HIT@10': '0.0890', 'NDCG@10': '0.0427', 'HIT@20': '0.1468', 'NDCG@20': '0.0571'}
{'Epoch': 15, 'HIT@5': '0.0514', 'NDCG@5': '0.0310', 'HIT@10': '0.0853', 'NDCG@10': '0.0419', 'HIT@20': '0.1495', 'NDCG@20': '0.0580'}
{'Epoch': 16, 'HIT@5': '0.0541', 'NDCG@5': '0.0319', 'HIT@10': '0.0835', 'NDCG@10': '0.0414', 'HIT@20': '0.1505', 'NDCG@20': '0.0582'}
{'Epoch': 17, 'HIT@5': '0.0514', 'NDCG@5': '0.0303', 'HIT@10': '0.0844', 'NDCG@10': '0.0410', 'HIT@20': '0.1468', 'NDCG@20': '0.0567'}
{'Epoch': 18, 'HIT@5': '0.0514', 'NDCG@5': '0.0302', 'HIT@10': '0.0881', 'NDCG@10': '0.0422', 'HIT@20': '0.1486', 'NDCG@20': '0.0573'}
{'Epoch': 19, 'HIT@5': '0.0514', 'NDCG@5': '0.0318', 'HIT@10': '0.0899', 'NDCG@10': '0.0442', 'HIT@20': '0.1459', 'NDCG@20': '0.0582'}
{'Epoch': 20, 'HIT@5': '0.0532', 'NDCG@5': '0.0326', 'HIT@10': '0.0917', 'NDCG@10': '0.0451', 'HIT@20': '0.1422', 'NDCG@20': '0.0578'}
{'Epoch': 21, 'HIT@5': '0.0541', 'NDCG@5': '0.0337', 'HIT@10': '0.0881', 'NDCG@10': '0.0447', 'HIT@20': '0.1440', 'NDCG@20': '0.0588'}
{'Epoch': 22, 'HIT@5': '0.0550', 'NDCG@5': '0.0349', 'HIT@10': '0.0908', 'NDCG@10': '0.0463', 'HIT@20': '0.1431', 'NDCG@20': '0.0593'}
{'Epoch': 23, 'HIT@5': '0.0541', 'NDCG@5': '0.0334', 'HIT@10': '0.0908', 'NDCG@10': '0.0451', 'HIT@20': '0.1450', 'NDCG@20': '0.0587'}
{'Epoch': 24, 'HIT@5': '0.0523', 'NDCG@5': '0.0333', 'HIT@10': '0.0936', 'NDCG@10': '0.0465', 'HIT@20': '0.1450', 'NDCG@20': '0.0594'}
{'Epoch': 25, 'HIT@5': '0.0523', 'NDCG@5': '0.0326', 'HIT@10': '0.0908', 'NDCG@10': '0.0450', 'HIT@20': '0.1422', 'NDCG@20': '0.0579'}
{'Epoch': 26, 'HIT@5': '0.0550', 'NDCG@5': '0.0337', 'HIT@10': '0.0917', 'NDCG@10': '0.0456', 'HIT@20': '0.1459', 'NDCG@20': '0.0593'}
{'Epoch': 27, 'HIT@5': '0.0514', 'NDCG@5': '0.0320', 'HIT@10': '0.0945', 'NDCG@10': '0.0461', 'HIT@20': '0.1431', 'NDCG@20': '0.0583'}
{'Epoch': 28, 'HIT@5': '0.0523', 'NDCG@5': '0.0323', 'HIT@10': '0.0927', 'NDCG@10': '0.0455', 'HIT@20': '0.1477', 'NDCG@20': '0.0592'}
{'Epoch': 29, 'HIT@5': '0.0541', 'NDCG@5': '0.0333', 'HIT@10': '0.0936', 'NDCG@10': '0.0461', 'HIT@20': '0.1523', 'NDCG@20': '0.0607'}
{'Epoch': 30, 'HIT@5': '0.0550', 'NDCG@5': '0.0340', 'HIT@10': '0.0954', 'NDCG@10': '0.0472', 'HIT@20': '0.1523', 'NDCG@20': '0.0614'}
