{'Epoch': 0, 'HIT@5': '0.0028', 'NDCG@5': '0.0017', 'HIT@10': '0.0028', 'NDCG@10': '0.0017', 'HIT@20': '0.0064', 'NDCG@20': '0.0026'}
{'Epoch': 1, 'HIT@5': '0.0018', 'NDCG@5': '0.0015', 'HIT@10': '0.0018', 'NDCG@10': '0.0015', 'HIT@20': '0.0092', 'NDCG@20': '0.0033'}
{'Epoch': 2, 'HIT@5': '0.0028', 'NDCG@5': '0.0024', 'HIT@10': '0.0046', 'NDCG@10': '0.0030', 'HIT@20': '0.0110', 'NDCG@20': '0.0046'}
{'Epoch': 3, 'HIT@5': '0.0101', 'NDCG@5': '0.0061', 'HIT@10': '0.0138', 'NDCG@10': '0.0073', 'HIT@20': '0.0248', 'NDCG@20': '0.0100'}
{'Epoch': 4, 'HIT@5': '0.0174', 'NDCG@5': '0.0107', 'HIT@10': '0.0312', 'NDCG@10': '0.0150', 'HIT@20': '0.0450', 'NDCG@20': '0.0185'}
{'Epoch': 5, 'HIT@5': '0.0211', 'NDCG@5': '0.0135', 'HIT@10': '0.0349', 'NDCG@10': '0.0178', 'HIT@20': '0.0523', 'NDCG@20': '0.0221'}
{'Epoch': 6, 'HIT@5': '0.0229', 'NDCG@5': '0.0156', 'HIT@10': '0.0339', 'NDCG@10': '0.0193', 'HIT@20': '0.0541', 'NDCG@20': '0.0242'}
{'Epoch': 7, 'HIT@5': '0.0248', 'NDCG@5': '0.0160', 'HIT@10': '0.0294', 'NDCG@10': '0.0175', 'HIT@20': '0.0505', 'NDCG@20': '0.0228'}
{'Epoch': 8, 'HIT@5': '0.0239', 'NDCG@5': '0.0152', 'HIT@10': '0.0312', 'NDCG@10': '0.0175', 'HIT@20': '0.0550', 'NDCG@20': '0.0235'}
{'Epoch': 9, 'HIT@5': '0.0239', 'NDCG@5': '0.0156', 'HIT@10': '0.0339', 'NDCG@10': '0.0188', 'HIT@20': '0.0596', 'NDCG@20': '0.0252'}
{'Epoch': 10, 'HIT@5': '0.0220', 'NDCG@5': '0.0142', 'HIT@10': '0.0330', 'NDCG@10': '0.0178', 'HIT@20': '0.0615', 'NDCG@20': '0.0248'}
{'Epoch': 11, 'HIT@5': '0.0211', 'NDCG@5': '0.0137', 'HIT@10': '0.0339', 'NDCG@10': '0.0178', 'HIT@20': '0.0578', 'NDCG@20': '0.0238'}
{'Epoch': 12, 'HIT@5': '0.0211', 'NDCG@5': '0.0137', 'HIT@10': '0.0330', 'NDCG@10': '0.0175', 'HIT@20': '0.0532', 'NDCG@20': '0.0226'}
{'Epoch': 13, 'HIT@5': '0.0183', 'NDCG@5': '0.0128', 'HIT@10': '0.0330', 'NDCG@10': '0.0175', 'HIT@20': '0.0523', 'NDCG@20': '0.0224'}
{'Epoch': 14, 'HIT@5': '0.0183', 'NDCG@5': '0.0120', 'HIT@10': '0.0330', 'NDCG@10': '0.0168', 'HIT@20': '0.0532', 'NDCG@20': '0.0219'}
{'Epoch': 15, 'HIT@5': '0.0174', 'NDCG@5': '0.0113', 'HIT@10': '0.0349', 'NDCG@10': '0.0170', 'HIT@20': '0.0532', 'NDCG@20': '0.0216'}
{'Epoch': 16, 'HIT@5': '0.0174', 'NDCG@5': '0.0115', 'HIT@10': '0.0330', 'NDCG@10': '0.0166', 'HIT@20': '0.0523', 'NDCG@20': '0.0214'}
{'Epoch': 17, 'HIT@5': '0.0174', 'NDCG@5': '0.0115', 'HIT@10': '0.0339', 'NDCG@10': '0.0167', 'HIT@20': '0.0550', 'NDCG@20': '0.0220'}
{'Epoch': 18, 'HIT@5': '0.0183', 'NDCG@5': '0.0115', 'HIT@10': '0.0321', 'NDCG@10': '0.0159', 'HIT@20': '0.0532', 'NDCG@20': '0.0213'}
{'Epoch': 19, 'HIT@5': '0.0211', 'NDCG@5': '0.0130', 'HIT@10': '0.0330', 'NDCG@10': '0.0167', 'HIT@20': '0.0569', 'NDCG@20': '0.0228'}
{'Epoch': 19, 'HIT@5': '0.0257', 'NDCG@5': '0.0196', 'HIT@10': '0.0339', 'NDCG@10': '0.0222', 'HIT@20': '0.0514', 'NDCG@20': '0.0265'}
SASRec-LastFM-0-BCE
{'Epoch': 19, 'HIT@5': '0.0257', 'NDCG@5': '0.0196', 'HIT@10': '0.0339', 'NDCG@10': '0.0222', 'HIT@20': '0.0514', 'NDCG@20': '0.0265'}
