{'Epoch': 0, 'HIT@5': '0.0037', 'NDCG@5': '0.0020', 'HIT@10': '0.0083', 'NDCG@10': '0.0035', 'HIT@20': '0.0110', 'NDCG@20': '0.0042'}
{'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0052', 'HIT@10': '0.0128', 'NDCG@10': '0.0074', 'HIT@20': '0.0202', 'NDCG@20': '0.0093'}
{'Epoch': 2, 'HIT@5': '0.0138', 'NDCG@5': '0.0102', 'HIT@10': '0.0239', 'NDCG@10': '0.0134', 'HIT@20': '0.0367', 'NDCG@20': '0.0166'}
{'Epoch': 3, 'HIT@5': '0.0202', 'NDCG@5': '0.0119', 'HIT@10': '0.0321', 'NDCG@10': '0.0156', 'HIT@20': '0.0514', 'NDCG@20': '0.0206'}
{'Epoch': 4, 'HIT@5': '0.0211', 'NDCG@5': '0.0124', 'HIT@10': '0.0349', 'NDCG@10': '0.0170', 'HIT@20': '0.0541', 'NDCG@20': '0.0219'}
{'Epoch': 5, 'HIT@5': '0.0193', 'NDCG@5': '0.0124', 'HIT@10': '0.0349', 'NDCG@10': '0.0175', 'HIT@20': '0.0550', 'NDCG@20': '0.0226'}
{'Epoch': 6, 'HIT@5': '0.0211', 'NDCG@5': '0.0134', 'HIT@10': '0.0321', 'NDCG@10': '0.0169', 'HIT@20': '0.0514', 'NDCG@20': '0.0217'}
{'Epoch': 7, 'HIT@5': '0.0193', 'NDCG@5': '0.0124', 'HIT@10': '0.0294', 'NDCG@10': '0.0157', 'HIT@20': '0.0495', 'NDCG@20': '0.0209'}
{'Epoch': 8, 'HIT@5': '0.0202', 'NDCG@5': '0.0133', 'HIT@10': '0.0321', 'NDCG@10': '0.0172', 'HIT@20': '0.0532', 'NDCG@20': '0.0225'}
{'Epoch': 9, 'HIT@5': '0.0248', 'NDCG@5': '0.0160', 'HIT@10': '0.0339', 'NDCG@10': '0.0190', 'HIT@20': '0.0514', 'NDCG@20': '0.0233'}
{'Epoch': 10, 'HIT@5': '0.0266', 'NDCG@5': '0.0163', 'HIT@10': '0.0358', 'NDCG@10': '0.0192', 'HIT@20': '0.0514', 'NDCG@20': '0.0231'}
{'Epoch': 11, 'HIT@5': '0.0229', 'NDCG@5': '0.0145', 'HIT@10': '0.0358', 'NDCG@10': '0.0186', 'HIT@20': '0.0505', 'NDCG@20': '0.0223'}
{'Epoch': 12, 'HIT@5': '0.0229', 'NDCG@5': '0.0148', 'HIT@10': '0.0358', 'NDCG@10': '0.0190', 'HIT@20': '0.0532', 'NDCG@20': '0.0234'}
{'Epoch': 13, 'HIT@5': '0.0229', 'NDCG@5': '0.0146', 'HIT@10': '0.0358', 'NDCG@10': '0.0189', 'HIT@20': '0.0523', 'NDCG@20': '0.0231'}
{'Epoch': 14, 'HIT@5': '0.0257', 'NDCG@5': '0.0159', 'HIT@10': '0.0339', 'NDCG@10': '0.0186', 'HIT@20': '0.0541', 'NDCG@20': '0.0237'}
{'Epoch': 15, 'HIT@5': '0.0257', 'NDCG@5': '0.0159', 'HIT@10': '0.0358', 'NDCG@10': '0.0192', 'HIT@20': '0.0578', 'NDCG@20': '0.0247'}
{'Epoch': 16, 'HIT@5': '0.0266', 'NDCG@5': '0.0171', 'HIT@10': '0.0367', 'NDCG@10': '0.0203', 'HIT@20': '0.0642', 'NDCG@20': '0.0271'}
{'Epoch': 17, 'HIT@5': '0.0275', 'NDCG@5': '0.0182', 'HIT@10': '0.0376', 'NDCG@10': '0.0214', 'HIT@20': '0.0633', 'NDCG@20': '0.0278'}
{'Epoch': 18, 'HIT@5': '0.0266', 'NDCG@5': '0.0183', 'HIT@10': '0.0385', 'NDCG@10': '0.0222', 'HIT@20': '0.0651', 'NDCG@20': '0.0289'}
{'Epoch': 19, 'HIT@5': '0.0275', 'NDCG@5': '0.0188', 'HIT@10': '0.0413', 'NDCG@10': '0.0232', 'HIT@20': '0.0688', 'NDCG@20': '0.0301'}
{'Epoch': 20, 'HIT@5': '0.0303', 'NDCG@5': '0.0199', 'HIT@10': '0.0422', 'NDCG@10': '0.0237', 'HIT@20': '0.0688', 'NDCG@20': '0.0304'}
