{'Epoch': 0, 'HIT@5': '0.0082', 'NDCG@5': '0.0054', 'HIT@10': '0.0129', 'NDCG@10': '0.0069', 'HIT@20': '0.0245', 'NDCG@20': '0.0098'}
{'Epoch': 1, 'HIT@5': '0.0087', 'NDCG@5': '0.0057', 'HIT@10': '0.0137', 'NDCG@10': '0.0074', 'HIT@20': '0.0237', 'NDCG@20': '0.0099'}
{'Epoch': 2, 'HIT@5': '0.0115', 'NDCG@5': '0.0073', 'HIT@10': '0.0201', 'NDCG@10': '0.0100', 'HIT@20': '0.0360', 'NDCG@20': '0.0140'}
{'Epoch': 3, 'HIT@5': '0.0140', 'NDCG@5': '0.0088', 'HIT@10': '0.0243', 'NDCG@10': '0.0120', 'HIT@20': '0.0411', 'NDCG@20': '0.0163'}
{'Epoch': 4, 'HIT@5': '0.0154', 'NDCG@5': '0.0098', 'HIT@10': '0.0252', 'NDCG@10': '0.0129', 'HIT@20': '0.0415', 'NDCG@20': '0.0170'}
{'Epoch': 5, 'HIT@5': '0.0162', 'NDCG@5': '0.0105', 'HIT@10': '0.0278', 'NDCG@10': '0.0142', 'HIT@20': '0.0448', 'NDCG@20': '0.0185'}
{'Epoch': 6, 'HIT@5': '0.0190', 'NDCG@5': '0.0121', 'HIT@10': '0.0306', 'NDCG@10': '0.0158', 'HIT@20': '0.0501', 'NDCG@20': '0.0207'}
{'Epoch': 7, 'HIT@5': '0.0192', 'NDCG@5': '0.0123', 'HIT@10': '0.0329', 'NDCG@10': '0.0167', 'HIT@20': '0.0545', 'NDCG@20': '0.0221'}
{'Epoch': 8, 'HIT@5': '0.0235', 'NDCG@5': '0.0149', 'HIT@10': '0.0382', 'NDCG@10': '0.0196', 'HIT@20': '0.0584', 'NDCG@20': '0.0246'}
{'Epoch': 9, 'HIT@5': '0.0230', 'NDCG@5': '0.0150', 'HIT@10': '0.0376', 'NDCG@10': '0.0197', 'HIT@20': '0.0590', 'NDCG@20': '0.0251'}
{'Epoch': 10, 'HIT@5': '0.0248', 'NDCG@5': '0.0163', 'HIT@10': '0.0401', 'NDCG@10': '0.0212', 'HIT@20': '0.0618', 'NDCG@20': '0.0267'}
{'Epoch': 11, 'HIT@5': '0.0259', 'NDCG@5': '0.0173', 'HIT@10': '0.0418', 'NDCG@10': '0.0224', 'HIT@20': '0.0638', 'NDCG@20': '0.0279'}
{'Epoch': 12, 'HIT@5': '0.0270', 'NDCG@5': '0.0174', 'HIT@10': '0.0433', 'NDCG@10': '0.0226', 'HIT@20': '0.0667', 'NDCG@20': '0.0285'}
{'Epoch': 13, 'HIT@5': '0.0280', 'NDCG@5': '0.0182', 'HIT@10': '0.0447', 'NDCG@10': '0.0236', 'HIT@20': '0.0675', 'NDCG@20': '0.0293'}
{'Epoch': 14, 'HIT@5': '0.0284', 'NDCG@5': '0.0190', 'HIT@10': '0.0448', 'NDCG@10': '0.0243', 'HIT@20': '0.0692', 'NDCG@20': '0.0304'}
{'Epoch': 15, 'HIT@5': '0.0282', 'NDCG@5': '0.0186', 'HIT@10': '0.0449', 'NDCG@10': '0.0240', 'HIT@20': '0.0697', 'NDCG@20': '0.0302'}
{'Epoch': 16, 'HIT@5': '0.0291', 'NDCG@5': '0.0192', 'HIT@10': '0.0450', 'NDCG@10': '0.0243', 'HIT@20': '0.0692', 'NDCG@20': '0.0304'}
{'Epoch': 17, 'HIT@5': '0.0301', 'NDCG@5': '0.0198', 'HIT@10': '0.0469', 'NDCG@10': '0.0252', 'HIT@20': '0.0704', 'NDCG@20': '0.0311'}
{'Epoch': 18, 'HIT@5': '0.0301', 'NDCG@5': '0.0198', 'HIT@10': '0.0472', 'NDCG@10': '0.0252', 'HIT@20': '0.0701', 'NDCG@20': '0.0310'}
{'Epoch': 19, 'HIT@5': '0.0297', 'NDCG@5': '0.0197', 'HIT@10': '0.0466', 'NDCG@10': '0.0251', 'HIT@20': '0.0699', 'NDCG@20': '0.0309'}
{'Epoch': 20, 'HIT@5': '0.0299', 'NDCG@5': '0.0200', 'HIT@10': '0.0460', 'NDCG@10': '0.0251', 'HIT@20': '0.0702', 'NDCG@20': '0.0313'}
{'Epoch': 21, 'HIT@5': '0.0297', 'NDCG@5': '0.0201', 'HIT@10': '0.0462', 'NDCG@10': '0.0254', 'HIT@20': '0.0705', 'NDCG@20': '0.0315'}
{'Epoch': 22, 'HIT@5': '0.0309', 'NDCG@5': '0.0204', 'HIT@10': '0.0475', 'NDCG@10': '0.0258', 'HIT@20': '0.0712', 'NDCG@20': '0.0317'}
{'Epoch': 23, 'HIT@5': '0.0292', 'NDCG@5': '0.0196', 'HIT@10': '0.0453', 'NDCG@10': '0.0247', 'HIT@20': '0.0694', 'NDCG@20': '0.0308'}
{'Epoch': 24, 'HIT@5': '0.0307', 'NDCG@5': '0.0207', 'HIT@10': '0.0467', 'NDCG@10': '0.0258', 'HIT@20': '0.0695', 'NDCG@20': '0.0316'}
{'Epoch': 25, 'HIT@5': '0.0314', 'NDCG@5': '0.0211', 'HIT@10': '0.0476', 'NDCG@10': '0.0263', 'HIT@20': '0.0708', 'NDCG@20': '0.0321'}
{'Epoch': 26, 'HIT@5': '0.0308', 'NDCG@5': '0.0207', 'HIT@10': '0.0466', 'NDCG@10': '0.0258', 'HIT@20': '0.0692', 'NDCG@20': '0.0315'}
{'Epoch': 27, 'HIT@5': '0.0297', 'NDCG@5': '0.0200', 'HIT@10': '0.0462', 'NDCG@10': '0.0252', 'HIT@20': '0.0682', 'NDCG@20': '0.0308'}
{'Epoch': 28, 'HIT@5': '0.0289', 'NDCG@5': '0.0196', 'HIT@10': '0.0438', 'NDCG@10': '0.0243', 'HIT@20': '0.0673', 'NDCG@20': '0.0303'}
{'Epoch': 29, 'HIT@5': '0.0297', 'NDCG@5': '0.0198', 'HIT@10': '0.0448', 'NDCG@10': '0.0246', 'HIT@20': '0.0673', 'NDCG@20': '0.0302'}
{'Epoch': 30, 'HIT@5': '0.0302', 'NDCG@5': '0.0202', 'HIT@10': '0.0450', 'NDCG@10': '0.0249', 'HIT@20': '0.0678', 'NDCG@20': '0.0307'}
{'Epoch': 31, 'HIT@5': '0.0291', 'NDCG@5': '0.0198', 'HIT@10': '0.0439', 'NDCG@10': '0.0245', 'HIT@20': '0.0671', 'NDCG@20': '0.0303'}
{'Epoch': 32, 'HIT@5': '0.0296', 'NDCG@5': '0.0200', 'HIT@10': '0.0442', 'NDCG@10': '0.0247', 'HIT@20': '0.0659', 'NDCG@20': '0.0301'}
{'Epoch': 33, 'HIT@5': '0.0292', 'NDCG@5': '0.0197', 'HIT@10': '0.0441', 'NDCG@10': '0.0245', 'HIT@20': '0.0662', 'NDCG@20': '0.0301'}
{'Epoch': 34, 'HIT@5': '0.0295', 'NDCG@5': '0.0199', 'HIT@10': '0.0445', 'NDCG@10': '0.0247', 'HIT@20': '0.0666', 'NDCG@20': '0.0302'}
