{'Epoch': 0, 'HIT@5': '0.0092', 'NDCG@5': '0.0058', 'HIT@10': '0.0152', 'NDCG@10': '0.0078', 'HIT@20': '0.0251', 'NDCG@20': '0.0103'}
{'Epoch': 1, 'HIT@5': '0.0084', 'NDCG@5': '0.0055', 'HIT@10': '0.0153', 'NDCG@10': '0.0077', 'HIT@20': '0.0246', 'NDCG@20': '0.0101'}
{'Epoch': 2, 'HIT@5': '0.0085', 'NDCG@5': '0.0056', 'HIT@10': '0.0146', 'NDCG@10': '0.0075', 'HIT@20': '0.0249', 'NDCG@20': '0.0101'}
{'Epoch': 3, 'HIT@5': '0.0093', 'NDCG@5': '0.0059', 'HIT@10': '0.0154', 'NDCG@10': '0.0078', 'HIT@20': '0.0260', 'NDCG@20': '0.0105'}
{'Epoch': 4, 'HIT@5': '0.0081', 'NDCG@5': '0.0052', 'HIT@10': '0.0151', 'NDCG@10': '0.0075', 'HIT@20': '0.0258', 'NDCG@20': '0.0101'}
{'Epoch': 5, 'HIT@5': '0.0094', 'NDCG@5': '0.0057', 'HIT@10': '0.0156', 'NDCG@10': '0.0077', 'HIT@20': '0.0267', 'NDCG@20': '0.0105'}
{'Epoch': 6, 'HIT@5': '0.0109', 'NDCG@5': '0.0068', 'HIT@10': '0.0192', 'NDCG@10': '0.0095', 'HIT@20': '0.0326', 'NDCG@20': '0.0128'}
{'Epoch': 7, 'HIT@5': '0.0122', 'NDCG@5': '0.0074', 'HIT@10': '0.0197', 'NDCG@10': '0.0099', 'HIT@20': '0.0337', 'NDCG@20': '0.0134'}
{'Epoch': 8, 'HIT@5': '0.0124', 'NDCG@5': '0.0075', 'HIT@10': '0.0215', 'NDCG@10': '0.0104', 'HIT@20': '0.0345', 'NDCG@20': '0.0137'}
{'Epoch': 9, 'HIT@5': '0.0127', 'NDCG@5': '0.0080', 'HIT@10': '0.0217', 'NDCG@10': '0.0109', 'HIT@20': '0.0347', 'NDCG@20': '0.0142'}
{'Epoch': 10, 'HIT@5': '0.0125', 'NDCG@5': '0.0080', 'HIT@10': '0.0215', 'NDCG@10': '0.0109', 'HIT@20': '0.0340', 'NDCG@20': '0.0141'}
{'Epoch': 11, 'HIT@5': '0.0131', 'NDCG@5': '0.0087', 'HIT@10': '0.0222', 'NDCG@10': '0.0117', 'HIT@20': '0.0327', 'NDCG@20': '0.0143'}
{'Epoch': 12, 'HIT@5': '0.0125', 'NDCG@5': '0.0084', 'HIT@10': '0.0207', 'NDCG@10': '0.0110', 'HIT@20': '0.0311', 'NDCG@20': '0.0136'}
{'Epoch': 13, 'HIT@5': '0.0122', 'NDCG@5': '0.0081', 'HIT@10': '0.0192', 'NDCG@10': '0.0104', 'HIT@20': '0.0307', 'NDCG@20': '0.0132'}
{'Epoch': 14, 'HIT@5': '0.0114', 'NDCG@5': '0.0076', 'HIT@10': '0.0189', 'NDCG@10': '0.0100', 'HIT@20': '0.0294', 'NDCG@20': '0.0126'}
{'Epoch': 15, 'HIT@5': '0.0107', 'NDCG@5': '0.0072', 'HIT@10': '0.0177', 'NDCG@10': '0.0094', 'HIT@20': '0.0278', 'NDCG@20': '0.0120'}
{'Epoch': 16, 'HIT@5': '0.0108', 'NDCG@5': '0.0072', 'HIT@10': '0.0172', 'NDCG@10': '0.0092', 'HIT@20': '0.0281', 'NDCG@20': '0.0120'}
{'Epoch': 17, 'HIT@5': '0.0108', 'NDCG@5': '0.0072', 'HIT@10': '0.0167', 'NDCG@10': '0.0091', 'HIT@20': '0.0273', 'NDCG@20': '0.0118'}
{'Epoch': 18, 'HIT@5': '0.0086', 'NDCG@5': '0.0057', 'HIT@10': '0.0152', 'NDCG@10': '0.0078', 'HIT@20': '0.0248', 'NDCG@20': '0.0102'}
{'Epoch': 19, 'HIT@5': '0.0098', 'NDCG@5': '0.0066', 'HIT@10': '0.0166', 'NDCG@10': '0.0088', 'HIT@20': '0.0263', 'NDCG@20': '0.0112'}
{'Epoch': 20, 'HIT@5': '0.0089', 'NDCG@5': '0.0058', 'HIT@10': '0.0151', 'NDCG@10': '0.0078', 'HIT@20': '0.0234', 'NDCG@20': '0.0099'}
{'Epoch': 21, 'HIT@5': '0.0104', 'NDCG@5': '0.0069', 'HIT@10': '0.0163', 'NDCG@10': '0.0088', 'HIT@20': '0.0260', 'NDCG@20': '0.0112'}
{'Epoch': 21, 'HIT@5': '0.0099', 'NDCG@5': '0.0064', 'HIT@10': '0.0163', 'NDCG@10': '0.0085', 'HIT@20': '0.0253', 'NDCG@20': '0.0107'}
GRU4Rec-Sports_and_Outdoors-0-CE
{'Epoch': 21, 'HIT@5': '0.0099', 'NDCG@5': '0.0064', 'HIT@10': '0.0163', 'NDCG@10': '0.0085', 'HIT@20': '0.0253', 'NDCG@20': '0.0107'}
