{'Epoch': 0, 'HIT@5': '0.0211', 'NDCG@5': '0.0140', 'HIT@10': '0.0323', 'NDCG@10': '0.0177', 'HIT@20': '0.0520', 'NDCG@20': '0.0226'}
{'Epoch': 1, 'HIT@5': '0.0229', 'NDCG@5': '0.0151', 'HIT@10': '0.0357', 'NDCG@10': '0.0192', 'HIT@20': '0.0573', 'NDCG@20': '0.0247'}
{'Epoch': 2, 'HIT@5': '0.0227', 'NDCG@5': '0.0151', 'HIT@10': '0.0360', 'NDCG@10': '0.0193', 'HIT@20': '0.0590', 'NDCG@20': '0.0251'}
{'Epoch': 3, 'HIT@5': '0.0233', 'NDCG@5': '0.0153', 'HIT@10': '0.0376', 'NDCG@10': '0.0198', 'HIT@20': '0.0607', 'NDCG@20': '0.0256'}
{'Epoch': 4, 'HIT@5': '0.0243', 'NDCG@5': '0.0160', 'HIT@10': '0.0389', 'NDCG@10': '0.0207', 'HIT@20': '0.0619', 'NDCG@20': '0.0264'}
{'Epoch': 5, 'HIT@5': '0.0249', 'NDCG@5': '0.0164', 'HIT@10': '0.0389', 'NDCG@10': '0.0209', 'HIT@20': '0.0627', 'NDCG@20': '0.0268'}
{'Epoch': 6, 'HIT@5': '0.0247', 'NDCG@5': '0.0160', 'HIT@10': '0.0399', 'NDCG@10': '0.0209', 'HIT@20': '0.0649', 'NDCG@20': '0.0272'}
{'Epoch': 7, 'HIT@5': '0.0249', 'NDCG@5': '0.0162', 'HIT@10': '0.0399', 'NDCG@10': '0.0210', 'HIT@20': '0.0646', 'NDCG@20': '0.0272'}
{'Epoch': 8, 'HIT@5': '0.0246', 'NDCG@5': '0.0161', 'HIT@10': '0.0392', 'NDCG@10': '0.0208', 'HIT@20': '0.0651', 'NDCG@20': '0.0273'}
{'Epoch': 9, 'HIT@5': '0.0250', 'NDCG@5': '0.0165', 'HIT@10': '0.0408', 'NDCG@10': '0.0215', 'HIT@20': '0.0655', 'NDCG@20': '0.0277'}
{'Epoch': 10, 'HIT@5': '0.0247', 'NDCG@5': '0.0162', 'HIT@10': '0.0406', 'NDCG@10': '0.0214', 'HIT@20': '0.0660', 'NDCG@20': '0.0277'}
{'Epoch': 11, 'HIT@5': '0.0256', 'NDCG@5': '0.0168', 'HIT@10': '0.0414', 'NDCG@10': '0.0219', 'HIT@20': '0.0663', 'NDCG@20': '0.0281'}
{'Epoch': 12, 'HIT@5': '0.0258', 'NDCG@5': '0.0168', 'HIT@10': '0.0419', 'NDCG@10': '0.0220', 'HIT@20': '0.0685', 'NDCG@20': '0.0287'}
{'Epoch': 13, 'HIT@5': '0.0269', 'NDCG@5': '0.0174', 'HIT@10': '0.0426', 'NDCG@10': '0.0224', 'HIT@20': '0.0685', 'NDCG@20': '0.0289'}
{'Epoch': 14, 'HIT@5': '0.0267', 'NDCG@5': '0.0173', 'HIT@10': '0.0439', 'NDCG@10': '0.0228', 'HIT@20': '0.0694', 'NDCG@20': '0.0292'}
{'Epoch': 15, 'HIT@5': '0.0269', 'NDCG@5': '0.0174', 'HIT@10': '0.0431', 'NDCG@10': '0.0226', 'HIT@20': '0.0697', 'NDCG@20': '0.0293'}
{'Epoch': 16, 'HIT@5': '0.0261', 'NDCG@5': '0.0170', 'HIT@10': '0.0432', 'NDCG@10': '0.0224', 'HIT@20': '0.0692', 'NDCG@20': '0.0290'}
{'Epoch': 17, 'HIT@5': '0.0269', 'NDCG@5': '0.0171', 'HIT@10': '0.0439', 'NDCG@10': '0.0226', 'HIT@20': '0.0707', 'NDCG@20': '0.0293'}
{'Epoch': 18, 'HIT@5': '0.0266', 'NDCG@5': '0.0172', 'HIT@10': '0.0433', 'NDCG@10': '0.0225', 'HIT@20': '0.0690', 'NDCG@20': '0.0290'}
{'Epoch': 19, 'HIT@5': '0.0262', 'NDCG@5': '0.0171', 'HIT@10': '0.0428', 'NDCG@10': '0.0224', 'HIT@20': '0.0699', 'NDCG@20': '0.0292'}
{'Epoch': 20, 'HIT@5': '0.0266', 'NDCG@5': '0.0173', 'HIT@10': '0.0441', 'NDCG@10': '0.0230', 'HIT@20': '0.0703', 'NDCG@20': '0.0295'}
{'Epoch': 21, 'HIT@5': '0.0268', 'NDCG@5': '0.0176', 'HIT@10': '0.0444', 'NDCG@10': '0.0233', 'HIT@20': '0.0705', 'NDCG@20': '0.0298'}
{'Epoch': 22, 'HIT@5': '0.0272', 'NDCG@5': '0.0176', 'HIT@10': '0.0454', 'NDCG@10': '0.0235', 'HIT@20': '0.0723', 'NDCG@20': '0.0302'}
{'Epoch': 23, 'HIT@5': '0.0272', 'NDCG@5': '0.0177', 'HIT@10': '0.0463', 'NDCG@10': '0.0238', 'HIT@20': '0.0719', 'NDCG@20': '0.0303'}
{'Epoch': 24, 'HIT@5': '0.0275', 'NDCG@5': '0.0178', 'HIT@10': '0.0452', 'NDCG@10': '0.0235', 'HIT@20': '0.0725', 'NDCG@20': '0.0303'}
{'Epoch': 25, 'HIT@5': '0.0281', 'NDCG@5': '0.0180', 'HIT@10': '0.0465', 'NDCG@10': '0.0239', 'HIT@20': '0.0734', 'NDCG@20': '0.0307'}
{'Epoch': 26, 'HIT@5': '0.0278', 'NDCG@5': '0.0178', 'HIT@10': '0.0463', 'NDCG@10': '0.0238', 'HIT@20': '0.0728', 'NDCG@20': '0.0304'}
{'Epoch': 27, 'HIT@5': '0.0277', 'NDCG@5': '0.0179', 'HIT@10': '0.0464', 'NDCG@10': '0.0239', 'HIT@20': '0.0743', 'NDCG@20': '0.0309'}
{'Epoch': 28, 'HIT@5': '0.0282', 'NDCG@5': '0.0180', 'HIT@10': '0.0466', 'NDCG@10': '0.0239', 'HIT@20': '0.0729', 'NDCG@20': '0.0305'}
{'Epoch': 29, 'HIT@5': '0.0282', 'NDCG@5': '0.0183', 'HIT@10': '0.0464', 'NDCG@10': '0.0241', 'HIT@20': '0.0738', 'NDCG@20': '0.0310'}
{'Epoch': 30, 'HIT@5': '0.0287', 'NDCG@5': '0.0185', 'HIT@10': '0.0473', 'NDCG@10': '0.0244', 'HIT@20': '0.0740', 'NDCG@20': '0.0311'}
{'Epoch': 31, 'HIT@5': '0.0280', 'NDCG@5': '0.0183', 'HIT@10': '0.0466', 'NDCG@10': '0.0243', 'HIT@20': '0.0743', 'NDCG@20': '0.0313'}
{'Epoch': 32, 'HIT@5': '0.0289', 'NDCG@5': '0.0186', 'HIT@10': '0.0478', 'NDCG@10': '0.0246', 'HIT@20': '0.0748', 'NDCG@20': '0.0314'}
{'Epoch': 33, 'HIT@5': '0.0284', 'NDCG@5': '0.0181', 'HIT@10': '0.0476', 'NDCG@10': '0.0243', 'HIT@20': '0.0753', 'NDCG@20': '0.0313'}
{'Epoch': 34, 'HIT@5': '0.0286', 'NDCG@5': '0.0181', 'HIT@10': '0.0479', 'NDCG@10': '0.0243', 'HIT@20': '0.0756', 'NDCG@20': '0.0313'}
{'Epoch': 35, 'HIT@5': '0.0279', 'NDCG@5': '0.0179', 'HIT@10': '0.0478', 'NDCG@10': '0.0243', 'HIT@20': '0.0749', 'NDCG@20': '0.0311'}
{'Epoch': 36, 'HIT@5': '0.0281', 'NDCG@5': '0.0179', 'HIT@10': '0.0467', 'NDCG@10': '0.0239', 'HIT@20': '0.0737', 'NDCG@20': '0.0307'}
{'Epoch': 37, 'HIT@5': '0.0281', 'NDCG@5': '0.0182', 'HIT@10': '0.0467', 'NDCG@10': '0.0242', 'HIT@20': '0.0737', 'NDCG@20': '0.0310'}
{'Epoch': 38, 'HIT@5': '0.0294', 'NDCG@5': '0.0185', 'HIT@10': '0.0476', 'NDCG@10': '0.0243', 'HIT@20': '0.0746', 'NDCG@20': '0.0311'}
