{'Epoch': 0, 'HIT@5': '0.0260', 'NDCG@5': '0.0171', 'HIT@10': '0.0417', 'NDCG@10': '0.0222', 'HIT@20': '0.0653', 'NDCG@20': '0.0281'}
{'Epoch': 1, 'HIT@5': '0.0298', 'NDCG@5': '0.0192', 'HIT@10': '0.0470', 'NDCG@10': '0.0248', 'HIT@20': '0.0724', 'NDCG@20': '0.0311'}
{'Epoch': 2, 'HIT@5': '0.0322', 'NDCG@5': '0.0208', 'HIT@10': '0.0500', 'NDCG@10': '0.0265', 'HIT@20': '0.0765', 'NDCG@20': '0.0332'}
{'Epoch': 3, 'HIT@5': '0.0341', 'NDCG@5': '0.0219', 'HIT@10': '0.0508', 'NDCG@10': '0.0273', 'HIT@20': '0.0774', 'NDCG@20': '0.0340'}
{'Epoch': 4, 'HIT@5': '0.0345', 'NDCG@5': '0.0222', 'HIT@10': '0.0527', 'NDCG@10': '0.0281', 'HIT@20': '0.0801', 'NDCG@20': '0.0350'}
{'Epoch': 5, 'HIT@5': '0.0349', 'NDCG@5': '0.0227', 'HIT@10': '0.0541', 'NDCG@10': '0.0289', 'HIT@20': '0.0818', 'NDCG@20': '0.0358'}
{'Epoch': 6, 'HIT@5': '0.0363', 'NDCG@5': '0.0236', 'HIT@10': '0.0552', 'NDCG@10': '0.0296', 'HIT@20': '0.0838', 'NDCG@20': '0.0368'}
{'Epoch': 7, 'HIT@5': '0.0366', 'NDCG@5': '0.0240', 'HIT@10': '0.0573', 'NDCG@10': '0.0306', 'HIT@20': '0.0858', 'NDCG@20': '0.0378'}
{'Epoch': 8, 'HIT@5': '0.0378', 'NDCG@5': '0.0246', 'HIT@10': '0.0579', 'NDCG@10': '0.0311', 'HIT@20': '0.0869', 'NDCG@20': '0.0383'}
{'Epoch': 9, 'HIT@5': '0.0376', 'NDCG@5': '0.0246', 'HIT@10': '0.0583', 'NDCG@10': '0.0313', 'HIT@20': '0.0877', 'NDCG@20': '0.0386'}
{'Epoch': 10, 'HIT@5': '0.0388', 'NDCG@5': '0.0258', 'HIT@10': '0.0590', 'NDCG@10': '0.0323', 'HIT@20': '0.0887', 'NDCG@20': '0.0397'}
{'Epoch': 11, 'HIT@5': '0.0392', 'NDCG@5': '0.0258', 'HIT@10': '0.0605', 'NDCG@10': '0.0327', 'HIT@20': '0.0893', 'NDCG@20': '0.0399'}
{'Epoch': 12, 'HIT@5': '0.0408', 'NDCG@5': '0.0265', 'HIT@10': '0.0613', 'NDCG@10': '0.0331', 'HIT@20': '0.0907', 'NDCG@20': '0.0405'}
{'Epoch': 13, 'HIT@5': '0.0406', 'NDCG@5': '0.0267', 'HIT@10': '0.0624', 'NDCG@10': '0.0337', 'HIT@20': '0.0917', 'NDCG@20': '0.0410'}
{'Epoch': 14, 'HIT@5': '0.0416', 'NDCG@5': '0.0276', 'HIT@10': '0.0625', 'NDCG@10': '0.0342', 'HIT@20': '0.0926', 'NDCG@20': '0.0418'}
{'Epoch': 15, 'HIT@5': '0.0426', 'NDCG@5': '0.0277', 'HIT@10': '0.0643', 'NDCG@10': '0.0347', 'HIT@20': '0.0943', 'NDCG@20': '0.0422'}
{'Epoch': 16, 'HIT@5': '0.0428', 'NDCG@5': '0.0280', 'HIT@10': '0.0640', 'NDCG@10': '0.0348', 'HIT@20': '0.0947', 'NDCG@20': '0.0426'}
{'Epoch': 17, 'HIT@5': '0.0432', 'NDCG@5': '0.0287', 'HIT@10': '0.0640', 'NDCG@10': '0.0354', 'HIT@20': '0.0960', 'NDCG@20': '0.0434'}
{'Epoch': 18, 'HIT@5': '0.0438', 'NDCG@5': '0.0289', 'HIT@10': '0.0660', 'NDCG@10': '0.0360', 'HIT@20': '0.0958', 'NDCG@20': '0.0435'}
{'Epoch': 19, 'HIT@5': '0.0449', 'NDCG@5': '0.0295', 'HIT@10': '0.0662', 'NDCG@10': '0.0363', 'HIT@20': '0.0969', 'NDCG@20': '0.0440'}
{'Epoch': 20, 'HIT@5': '0.0457', 'NDCG@5': '0.0303', 'HIT@10': '0.0669', 'NDCG@10': '0.0371', 'HIT@20': '0.0970', 'NDCG@20': '0.0447'}
{'Epoch': 21, 'HIT@5': '0.0454', 'NDCG@5': '0.0300', 'HIT@10': '0.0676', 'NDCG@10': '0.0372', 'HIT@20': '0.0978', 'NDCG@20': '0.0448'}
{'Epoch': 22, 'HIT@5': '0.0460', 'NDCG@5': '0.0308', 'HIT@10': '0.0680', 'NDCG@10': '0.0379', 'HIT@20': '0.0999', 'NDCG@20': '0.0459'}
{'Epoch': 23, 'HIT@5': '0.0465', 'NDCG@5': '0.0311', 'HIT@10': '0.0686', 'NDCG@10': '0.0382', 'HIT@20': '0.0994', 'NDCG@20': '0.0460'}
{'Epoch': 24, 'HIT@5': '0.0475', 'NDCG@5': '0.0318', 'HIT@10': '0.0694', 'NDCG@10': '0.0389', 'HIT@20': '0.1001', 'NDCG@20': '0.0466'}
{'Epoch': 25, 'HIT@5': '0.0474', 'NDCG@5': '0.0319', 'HIT@10': '0.0702', 'NDCG@10': '0.0393', 'HIT@20': '0.1000', 'NDCG@20': '0.0468'}
{'Epoch': 26, 'HIT@5': '0.0484', 'NDCG@5': '0.0324', 'HIT@10': '0.0699', 'NDCG@10': '0.0393', 'HIT@20': '0.1016', 'NDCG@20': '0.0473'}
{'Epoch': 27, 'HIT@5': '0.0485', 'NDCG@5': '0.0329', 'HIT@10': '0.0710', 'NDCG@10': '0.0401', 'HIT@20': '0.1012', 'NDCG@20': '0.0476'}
{'Epoch': 28, 'HIT@5': '0.0480', 'NDCG@5': '0.0325', 'HIT@10': '0.0699', 'NDCG@10': '0.0396', 'HIT@20': '0.1025', 'NDCG@20': '0.0478'}
{'Epoch': 29, 'HIT@5': '0.0490', 'NDCG@5': '0.0332', 'HIT@10': '0.0700', 'NDCG@10': '0.0400', 'HIT@20': '0.1036', 'NDCG@20': '0.0484'}
{'Epoch': 30, 'HIT@5': '0.0489', 'NDCG@5': '0.0333', 'HIT@10': '0.0708', 'NDCG@10': '0.0403', 'HIT@20': '0.1033', 'NDCG@20': '0.0485'}
{'Epoch': 31, 'HIT@5': '0.0491', 'NDCG@5': '0.0335', 'HIT@10': '0.0715', 'NDCG@10': '0.0407', 'HIT@20': '0.1024', 'NDCG@20': '0.0485'}
{'Epoch': 32, 'HIT@5': '0.0488', 'NDCG@5': '0.0335', 'HIT@10': '0.0717', 'NDCG@10': '0.0409', 'HIT@20': '0.1034', 'NDCG@20': '0.0489'}
{'Epoch': 33, 'HIT@5': '0.0499', 'NDCG@5': '0.0341', 'HIT@10': '0.0717', 'NDCG@10': '0.0411', 'HIT@20': '0.1034', 'NDCG@20': '0.0491'}
{'Epoch': 34, 'HIT@5': '0.0499', 'NDCG@5': '0.0342', 'HIT@10': '0.0724', 'NDCG@10': '0.0415', 'HIT@20': '0.1046', 'NDCG@20': '0.0496'}
{'Epoch': 35, 'HIT@5': '0.0499', 'NDCG@5': '0.0343', 'HIT@10': '0.0717', 'NDCG@10': '0.0414', 'HIT@20': '0.1039', 'NDCG@20': '0.0495'}
{'Epoch': 36, 'HIT@5': '0.0496', 'NDCG@5': '0.0340', 'HIT@10': '0.0732', 'NDCG@10': '0.0416', 'HIT@20': '0.1054', 'NDCG@20': '0.0497'}
{'Epoch': 37, 'HIT@5': '0.0506', 'NDCG@5': '0.0347', 'HIT@10': '0.0733', 'NDCG@10': '0.0420', 'HIT@20': '0.1061', 'NDCG@20': '0.0503'}
{'Epoch': 38, 'HIT@5': '0.0505', 'NDCG@5': '0.0346', 'HIT@10': '0.0733', 'NDCG@10': '0.0420', 'HIT@20': '0.1044', 'NDCG@20': '0.0498'}
{'Epoch': 39, 'HIT@5': '0.0518', 'NDCG@5': '0.0351', 'HIT@10': '0.0740', 'NDCG@10': '0.0423', 'HIT@20': '0.1056', 'NDCG@20': '0.0502'}
{'Epoch': 40, 'HIT@5': '0.0512', 'NDCG@5': '0.0352', 'HIT@10': '0.0739', 'NDCG@10': '0.0426', 'HIT@20': '0.1053', 'NDCG@20': '0.0504'}
{'Epoch': 41, 'HIT@5': '0.0513', 'NDCG@5': '0.0355', 'HIT@10': '0.0747', 'NDCG@10': '0.0431', 'HIT@20': '0.1057', 'NDCG@20': '0.0509'}
{'Epoch': 42, 'HIT@5': '0.0517', 'NDCG@5': '0.0357', 'HIT@10': '0.0754', 'NDCG@10': '0.0434', 'HIT@20': '0.1067', 'NDCG@20': '0.0512'}
{'Epoch': 43, 'HIT@5': '0.0514', 'NDCG@5': '0.0355', 'HIT@10': '0.0752', 'NDCG@10': '0.0432', 'HIT@20': '0.1071', 'NDCG@20': '0.0512'}
{'Epoch': 44, 'HIT@5': '0.0524', 'NDCG@5': '0.0360', 'HIT@10': '0.0752', 'NDCG@10': '0.0434', 'HIT@20': '0.1063', 'NDCG@20': '0.0512'}
{'Epoch': 45, 'HIT@5': '0.0520', 'NDCG@5': '0.0359', 'HIT@10': '0.0748', 'NDCG@10': '0.0433', 'HIT@20': '0.1062', 'NDCG@20': '0.0512'}
{'Epoch': 46, 'HIT@5': '0.0524', 'NDCG@5': '0.0362', 'HIT@10': '0.0742', 'NDCG@10': '0.0433', 'HIT@20': '0.1058', 'NDCG@20': '0.0512'}
{'Epoch': 47, 'HIT@5': '0.0527', 'NDCG@5': '0.0365', 'HIT@10': '0.0756', 'NDCG@10': '0.0438', 'HIT@20': '0.1069', 'NDCG@20': '0.0517'}
{'Epoch': 48, 'HIT@5': '0.0529', 'NDCG@5': '0.0366', 'HIT@10': '0.0762', 'NDCG@10': '0.0441', 'HIT@20': '0.1068', 'NDCG@20': '0.0518'}
{'Epoch': 49, 'HIT@5': '0.0532', 'NDCG@5': '0.0369', 'HIT@10': '0.0758', 'NDCG@10': '0.0442', 'HIT@20': '0.1068', 'NDCG@20': '0.0520'}
{'Epoch': 50, 'HIT@5': '0.0529', 'NDCG@5': '0.0368', 'HIT@10': '0.0763', 'NDCG@10': '0.0443', 'HIT@20': '0.1070', 'NDCG@20': '0.0520'}
{'Epoch': 51, 'HIT@5': '0.0534', 'NDCG@5': '0.0373', 'HIT@10': '0.0755', 'NDCG@10': '0.0444', 'HIT@20': '0.1066', 'NDCG@20': '0.0523'}
{'Epoch': 52, 'HIT@5': '0.0537', 'NDCG@5': '0.0374', 'HIT@10': '0.0767', 'NDCG@10': '0.0448', 'HIT@20': '0.1071', 'NDCG@20': '0.0524'}
{'Epoch': 53, 'HIT@5': '0.0539', 'NDCG@5': '0.0376', 'HIT@10': '0.0772', 'NDCG@10': '0.0451', 'HIT@20': '0.1077', 'NDCG@20': '0.0528'}
{'Epoch': 54, 'HIT@5': '0.0536', 'NDCG@5': '0.0373', 'HIT@10': '0.0773', 'NDCG@10': '0.0449', 'HIT@20': '0.1074', 'NDCG@20': '0.0524'}
{'Epoch': 55, 'HIT@5': '0.0534', 'NDCG@5': '0.0373', 'HIT@10': '0.0769', 'NDCG@10': '0.0449', 'HIT@20': '0.1074', 'NDCG@20': '0.0525'}
{'Epoch': 56, 'HIT@5': '0.0540', 'NDCG@5': '0.0377', 'HIT@10': '0.0769', 'NDCG@10': '0.0450', 'HIT@20': '0.1068', 'NDCG@20': '0.0525'}
{'Epoch': 57, 'HIT@5': '0.0538', 'NDCG@5': '0.0377', 'HIT@10': '0.0767', 'NDCG@10': '0.0450', 'HIT@20': '0.1079', 'NDCG@20': '0.0528'}
