{'Epoch': 0, 'HIT@5': '0.0084', 'NDCG@5': '0.0055', 'HIT@10': '0.0124', 'NDCG@10': '0.0068', 'HIT@20': '0.0205', 'NDCG@20': '0.0088'}
{'Epoch': 1, 'HIT@5': '0.0082', 'NDCG@5': '0.0054', 'HIT@10': '0.0126', 'NDCG@10': '0.0068', 'HIT@20': '0.0218', 'NDCG@20': '0.0091'}
{'Epoch': 2, 'HIT@5': '0.0082', 'NDCG@5': '0.0054', 'HIT@10': '0.0146', 'NDCG@10': '0.0075', 'HIT@20': '0.0240', 'NDCG@20': '0.0098'}
{'Epoch': 3, 'HIT@5': '0.0114', 'NDCG@5': '0.0071', 'HIT@10': '0.0192', 'NDCG@10': '0.0096', 'HIT@20': '0.0319', 'NDCG@20': '0.0127'}
{'Epoch': 4, 'HIT@5': '0.0126', 'NDCG@5': '0.0081', 'HIT@10': '0.0222', 'NDCG@10': '0.0112', 'HIT@20': '0.0366', 'NDCG@20': '0.0148'}
{'Epoch': 5, 'HIT@5': '0.0144', 'NDCG@5': '0.0092', 'HIT@10': '0.0245', 'NDCG@10': '0.0124', 'HIT@20': '0.0388', 'NDCG@20': '0.0160'}
{'Epoch': 6, 'HIT@5': '0.0154', 'NDCG@5': '0.0097', 'HIT@10': '0.0267', 'NDCG@10': '0.0134', 'HIT@20': '0.0433', 'NDCG@20': '0.0175'}
{'Epoch': 7, 'HIT@5': '0.0173', 'NDCG@5': '0.0109', 'HIT@10': '0.0280', 'NDCG@10': '0.0144', 'HIT@20': '0.0451', 'NDCG@20': '0.0186'}
{'Epoch': 8, 'HIT@5': '0.0174', 'NDCG@5': '0.0110', 'HIT@10': '0.0307', 'NDCG@10': '0.0152', 'HIT@20': '0.0484', 'NDCG@20': '0.0197'}
{'Epoch': 9, 'HIT@5': '0.0193', 'NDCG@5': '0.0121', 'HIT@10': '0.0323', 'NDCG@10': '0.0163', 'HIT@20': '0.0503', 'NDCG@20': '0.0208'}
{'Epoch': 10, 'HIT@5': '0.0208', 'NDCG@5': '0.0135', 'HIT@10': '0.0344', 'NDCG@10': '0.0178', 'HIT@20': '0.0524', 'NDCG@20': '0.0224'}
{'Epoch': 11, 'HIT@5': '0.0204', 'NDCG@5': '0.0131', 'HIT@10': '0.0336', 'NDCG@10': '0.0174', 'HIT@20': '0.0527', 'NDCG@20': '0.0222'}
{'Epoch': 12, 'HIT@5': '0.0210', 'NDCG@5': '0.0134', 'HIT@10': '0.0336', 'NDCG@10': '0.0174', 'HIT@20': '0.0518', 'NDCG@20': '0.0220'}
{'Epoch': 13, 'HIT@5': '0.0206', 'NDCG@5': '0.0127', 'HIT@10': '0.0333', 'NDCG@10': '0.0168', 'HIT@20': '0.0530', 'NDCG@20': '0.0218'}
{'Epoch': 14, 'HIT@5': '0.0210', 'NDCG@5': '0.0127', 'HIT@10': '0.0356', 'NDCG@10': '0.0175', 'HIT@20': '0.0552', 'NDCG@20': '0.0224'}
{'Epoch': 15, 'HIT@5': '0.0213', 'NDCG@5': '0.0133', 'HIT@10': '0.0350', 'NDCG@10': '0.0177', 'HIT@20': '0.0547', 'NDCG@20': '0.0227'}
{'Epoch': 16, 'HIT@5': '0.0226', 'NDCG@5': '0.0141', 'HIT@10': '0.0364', 'NDCG@10': '0.0185', 'HIT@20': '0.0573', 'NDCG@20': '0.0238'}
{'Epoch': 17, 'HIT@5': '0.0233', 'NDCG@5': '0.0149', 'HIT@10': '0.0367', 'NDCG@10': '0.0192', 'HIT@20': '0.0564', 'NDCG@20': '0.0241'}
{'Epoch': 18, 'HIT@5': '0.0236', 'NDCG@5': '0.0151', 'HIT@10': '0.0372', 'NDCG@10': '0.0195', 'HIT@20': '0.0569', 'NDCG@20': '0.0244'}
{'Epoch': 19, 'HIT@5': '0.0238', 'NDCG@5': '0.0150', 'HIT@10': '0.0379', 'NDCG@10': '0.0195', 'HIT@20': '0.0586', 'NDCG@20': '0.0247'}
{'Epoch': 20, 'HIT@5': '0.0233', 'NDCG@5': '0.0145', 'HIT@10': '0.0374', 'NDCG@10': '0.0190', 'HIT@20': '0.0580', 'NDCG@20': '0.0242'}
{'Epoch': 21, 'HIT@5': '0.0249', 'NDCG@5': '0.0156', 'HIT@10': '0.0382', 'NDCG@10': '0.0199', 'HIT@20': '0.0585', 'NDCG@20': '0.0249'}
{'Epoch': 22, 'HIT@5': '0.0244', 'NDCG@5': '0.0157', 'HIT@10': '0.0382', 'NDCG@10': '0.0201', 'HIT@20': '0.0589', 'NDCG@20': '0.0253'}
{'Epoch': 23, 'HIT@5': '0.0250', 'NDCG@5': '0.0155', 'HIT@10': '0.0380', 'NDCG@10': '0.0196', 'HIT@20': '0.0592', 'NDCG@20': '0.0250'}
{'Epoch': 24, 'HIT@5': '0.0240', 'NDCG@5': '0.0153', 'HIT@10': '0.0388', 'NDCG@10': '0.0200', 'HIT@20': '0.0590', 'NDCG@20': '0.0251'}
{'Epoch': 25, 'HIT@5': '0.0246', 'NDCG@5': '0.0161', 'HIT@10': '0.0377', 'NDCG@10': '0.0203', 'HIT@20': '0.0589', 'NDCG@20': '0.0256'}
{'Epoch': 26, 'HIT@5': '0.0243', 'NDCG@5': '0.0156', 'HIT@10': '0.0381', 'NDCG@10': '0.0200', 'HIT@20': '0.0596', 'NDCG@20': '0.0254'}
{'Epoch': 27, 'HIT@5': '0.0254', 'NDCG@5': '0.0163', 'HIT@10': '0.0389', 'NDCG@10': '0.0206', 'HIT@20': '0.0614', 'NDCG@20': '0.0263'}
{'Epoch': 28, 'HIT@5': '0.0243', 'NDCG@5': '0.0155', 'HIT@10': '0.0385', 'NDCG@10': '0.0200', 'HIT@20': '0.0588', 'NDCG@20': '0.0251'}
{'Epoch': 29, 'HIT@5': '0.0248', 'NDCG@5': '0.0160', 'HIT@10': '0.0390', 'NDCG@10': '0.0206', 'HIT@20': '0.0596', 'NDCG@20': '0.0257'}
{'Epoch': 30, 'HIT@5': '0.0252', 'NDCG@5': '0.0167', 'HIT@10': '0.0386', 'NDCG@10': '0.0210', 'HIT@20': '0.0598', 'NDCG@20': '0.0263'}
{'Epoch': 31, 'HIT@5': '0.0249', 'NDCG@5': '0.0164', 'HIT@10': '0.0403', 'NDCG@10': '0.0214', 'HIT@20': '0.0614', 'NDCG@20': '0.0266'}
{'Epoch': 32, 'HIT@5': '0.0252', 'NDCG@5': '0.0167', 'HIT@10': '0.0409', 'NDCG@10': '0.0217', 'HIT@20': '0.0621', 'NDCG@20': '0.0270'}
{'Epoch': 33, 'HIT@5': '0.0265', 'NDCG@5': '0.0174', 'HIT@10': '0.0411', 'NDCG@10': '0.0221', 'HIT@20': '0.0617', 'NDCG@20': '0.0273'}
{'Epoch': 34, 'HIT@5': '0.0253', 'NDCG@5': '0.0162', 'HIT@10': '0.0395', 'NDCG@10': '0.0208', 'HIT@20': '0.0600', 'NDCG@20': '0.0260'}
{'Epoch': 35, 'HIT@5': '0.0270', 'NDCG@5': '0.0174', 'HIT@10': '0.0410', 'NDCG@10': '0.0219', 'HIT@20': '0.0614', 'NDCG@20': '0.0270'}
{'Epoch': 36, 'HIT@5': '0.0265', 'NDCG@5': '0.0172', 'HIT@10': '0.0411', 'NDCG@10': '0.0219', 'HIT@20': '0.0607', 'NDCG@20': '0.0268'}
{'Epoch': 37, 'HIT@5': '0.0263', 'NDCG@5': '0.0173', 'HIT@10': '0.0402', 'NDCG@10': '0.0217', 'HIT@20': '0.0608', 'NDCG@20': '0.0269'}
{'Epoch': 38, 'HIT@5': '0.0253', 'NDCG@5': '0.0165', 'HIT@10': '0.0397', 'NDCG@10': '0.0212', 'HIT@20': '0.0601', 'NDCG@20': '0.0263'}
{'Epoch': 39, 'HIT@5': '0.0264', 'NDCG@5': '0.0171', 'HIT@10': '0.0404', 'NDCG@10': '0.0216', 'HIT@20': '0.0599', 'NDCG@20': '0.0265'}
{'Epoch': 40, 'HIT@5': '0.0263', 'NDCG@5': '0.0170', 'HIT@10': '0.0400', 'NDCG@10': '0.0214', 'HIT@20': '0.0605', 'NDCG@20': '0.0265'}
{'Epoch': 41, 'HIT@5': '0.0257', 'NDCG@5': '0.0166', 'HIT@10': '0.0395', 'NDCG@10': '0.0210', 'HIT@20': '0.0608', 'NDCG@20': '0.0264'}
{'Epoch': 42, 'HIT@5': '0.0256', 'NDCG@5': '0.0165', 'HIT@10': '0.0398', 'NDCG@10': '0.0210', 'HIT@20': '0.0614', 'NDCG@20': '0.0264'}
