{'Epoch': 0, 'HIT@5': '0.0083', 'NDCG@5': '0.0054', 'HIT@10': '0.0129', 'NDCG@10': '0.0069', 'HIT@20': '0.0243', 'NDCG@20': '0.0097'}
{'Epoch': 1, 'HIT@5': '0.0126', 'NDCG@5': '0.0076', 'HIT@10': '0.0214', 'NDCG@10': '0.0104', 'HIT@20': '0.0340', 'NDCG@20': '0.0136'}
{'Epoch': 2, 'HIT@5': '0.0176', 'NDCG@5': '0.0112', 'HIT@10': '0.0280', 'NDCG@10': '0.0145', 'HIT@20': '0.0446', 'NDCG@20': '0.0187'}
{'Epoch': 3, 'HIT@5': '0.0227', 'NDCG@5': '0.0151', 'HIT@10': '0.0364', 'NDCG@10': '0.0195', 'HIT@20': '0.0561', 'NDCG@20': '0.0244'}
{'Epoch': 4, 'HIT@5': '0.0281', 'NDCG@5': '0.0191', 'HIT@10': '0.0445', 'NDCG@10': '0.0243', 'HIT@20': '0.0660', 'NDCG@20': '0.0297'}
{'Epoch': 5, 'HIT@5': '0.0342', 'NDCG@5': '0.0233', 'HIT@10': '0.0490', 'NDCG@10': '0.0281', 'HIT@20': '0.0730', 'NDCG@20': '0.0341'}
{'Epoch': 6, 'HIT@5': '0.0388', 'NDCG@5': '0.0268', 'HIT@10': '0.0549', 'NDCG@10': '0.0320', 'HIT@20': '0.0791', 'NDCG@20': '0.0380'}
{'Epoch': 7, 'HIT@5': '0.0413', 'NDCG@5': '0.0290', 'HIT@10': '0.0578', 'NDCG@10': '0.0343', 'HIT@20': '0.0829', 'NDCG@20': '0.0406'}
{'Epoch': 8, 'HIT@5': '0.0433', 'NDCG@5': '0.0304', 'HIT@10': '0.0608', 'NDCG@10': '0.0360', 'HIT@20': '0.0860', 'NDCG@20': '0.0423'}
{'Epoch': 9, 'HIT@5': '0.0439', 'NDCG@5': '0.0312', 'HIT@10': '0.0619', 'NDCG@10': '0.0369', 'HIT@20': '0.0875', 'NDCG@20': '0.0434'}
{'Epoch': 10, 'HIT@5': '0.0452', 'NDCG@5': '0.0317', 'HIT@10': '0.0635', 'NDCG@10': '0.0375', 'HIT@20': '0.0882', 'NDCG@20': '0.0437'}
{'Epoch': 11, 'HIT@5': '0.0450', 'NDCG@5': '0.0322', 'HIT@10': '0.0629', 'NDCG@10': '0.0380', 'HIT@20': '0.0878', 'NDCG@20': '0.0443'}
{'Epoch': 12, 'HIT@5': '0.0460', 'NDCG@5': '0.0329', 'HIT@10': '0.0646', 'NDCG@10': '0.0389', 'HIT@20': '0.0894', 'NDCG@20': '0.0451'}
{'Epoch': 13, 'HIT@5': '0.0465', 'NDCG@5': '0.0329', 'HIT@10': '0.0653', 'NDCG@10': '0.0389', 'HIT@20': '0.0905', 'NDCG@20': '0.0452'}
{'Epoch': 14, 'HIT@5': '0.0471', 'NDCG@5': '0.0335', 'HIT@10': '0.0658', 'NDCG@10': '0.0395', 'HIT@20': '0.0897', 'NDCG@20': '0.0455'}
{'Epoch': 15, 'HIT@5': '0.0462', 'NDCG@5': '0.0328', 'HIT@10': '0.0642', 'NDCG@10': '0.0386', 'HIT@20': '0.0896', 'NDCG@20': '0.0450'}
{'Epoch': 16, 'HIT@5': '0.0460', 'NDCG@5': '0.0326', 'HIT@10': '0.0648', 'NDCG@10': '0.0387', 'HIT@20': '0.0899', 'NDCG@20': '0.0450'}
{'Epoch': 17, 'HIT@5': '0.0472', 'NDCG@5': '0.0336', 'HIT@10': '0.0665', 'NDCG@10': '0.0398', 'HIT@20': '0.0909', 'NDCG@20': '0.0459'}
{'Epoch': 18, 'HIT@5': '0.0471', 'NDCG@5': '0.0335', 'HIT@10': '0.0662', 'NDCG@10': '0.0397', 'HIT@20': '0.0907', 'NDCG@20': '0.0459'}
{'Epoch': 19, 'HIT@5': '0.0470', 'NDCG@5': '0.0336', 'HIT@10': '0.0658', 'NDCG@10': '0.0396', 'HIT@20': '0.0908', 'NDCG@20': '0.0459'}
{'Epoch': 20, 'HIT@5': '0.0470', 'NDCG@5': '0.0333', 'HIT@10': '0.0658', 'NDCG@10': '0.0394', 'HIT@20': '0.0908', 'NDCG@20': '0.0456'}
{'Epoch': 21, 'HIT@5': '0.0473', 'NDCG@5': '0.0331', 'HIT@10': '0.0650', 'NDCG@10': '0.0388', 'HIT@20': '0.0899', 'NDCG@20': '0.0451'}
{'Epoch': 22, 'HIT@5': '0.0467', 'NDCG@5': '0.0329', 'HIT@10': '0.0655', 'NDCG@10': '0.0389', 'HIT@20': '0.0899', 'NDCG@20': '0.0451'}
{'Epoch': 23, 'HIT@5': '0.0467', 'NDCG@5': '0.0330', 'HIT@10': '0.0658', 'NDCG@10': '0.0392', 'HIT@20': '0.0906', 'NDCG@20': '0.0454'}
{'Epoch': 24, 'HIT@5': '0.0475', 'NDCG@5': '0.0334', 'HIT@10': '0.0659', 'NDCG@10': '0.0393', 'HIT@20': '0.0904', 'NDCG@20': '0.0455'}
{'Epoch': 25, 'HIT@5': '0.0459', 'NDCG@5': '0.0324', 'HIT@10': '0.0649', 'NDCG@10': '0.0386', 'HIT@20': '0.0902', 'NDCG@20': '0.0449'}
{'Epoch': 26, 'HIT@5': '0.0463', 'NDCG@5': '0.0327', 'HIT@10': '0.0662', 'NDCG@10': '0.0391', 'HIT@20': '0.0907', 'NDCG@20': '0.0453'}
{'Epoch': 27, 'HIT@5': '0.0467', 'NDCG@5': '0.0326', 'HIT@10': '0.0658', 'NDCG@10': '0.0387', 'HIT@20': '0.0909', 'NDCG@20': '0.0450'}
{'Epoch': 28, 'HIT@5': '0.0464', 'NDCG@5': '0.0328', 'HIT@10': '0.0657', 'NDCG@10': '0.0390', 'HIT@20': '0.0917', 'NDCG@20': '0.0456'}
{'Epoch': 29, 'HIT@5': '0.0469', 'NDCG@5': '0.0331', 'HIT@10': '0.0669', 'NDCG@10': '0.0394', 'HIT@20': '0.0913', 'NDCG@20': '0.0456'}
{'Epoch': 29, 'HIT@5': '0.0374', 'NDCG@5': '0.0265', 'HIT@10': '0.0539', 'NDCG@10': '0.0318', 'HIT@20': '0.0746', 'NDCG@20': '0.0371'}
SASRec-Sports_and_Outdoors-0-CCE
{'Epoch': 29, 'HIT@5': '0.0374', 'NDCG@5': '0.0265', 'HIT@10': '0.0539', 'NDCG@10': '0.0318', 'HIT@20': '0.0746', 'NDCG@20': '0.0371'}
