{'Epoch': 0, 'HIT@5': '0.0080', 'NDCG@5': '0.0054', 'HIT@10': '0.0134', 'NDCG@10': '0.0071', 'HIT@20': '0.0216', 'NDCG@20': '0.0091'}
{'Epoch': 1, 'HIT@5': '0.0085', 'NDCG@5': '0.0056', 'HIT@10': '0.0130', 'NDCG@10': '0.0070', 'HIT@20': '0.0220', 'NDCG@20': '0.0093'}
{'Epoch': 2, 'HIT@5': '0.0087', 'NDCG@5': '0.0056', 'HIT@10': '0.0134', 'NDCG@10': '0.0071', 'HIT@20': '0.0243', 'NDCG@20': '0.0099'}
{'Epoch': 3, 'HIT@5': '0.0118', 'NDCG@5': '0.0076', 'HIT@10': '0.0194', 'NDCG@10': '0.0100', 'HIT@20': '0.0332', 'NDCG@20': '0.0135'}
{'Epoch': 4, 'HIT@5': '0.0146', 'NDCG@5': '0.0098', 'HIT@10': '0.0237', 'NDCG@10': '0.0127', 'HIT@20': '0.0366', 'NDCG@20': '0.0160'}
{'Epoch': 5, 'HIT@5': '0.0198', 'NDCG@5': '0.0142', 'HIT@10': '0.0292', 'NDCG@10': '0.0172', 'HIT@20': '0.0433', 'NDCG@20': '0.0207'}
{'Epoch': 6, 'HIT@5': '0.0263', 'NDCG@5': '0.0195', 'HIT@10': '0.0354', 'NDCG@10': '0.0224', 'HIT@20': '0.0484', 'NDCG@20': '0.0257'}
{'Epoch': 7, 'HIT@5': '0.0299', 'NDCG@5': '0.0223', 'HIT@10': '0.0389', 'NDCG@10': '0.0252', 'HIT@20': '0.0521', 'NDCG@20': '0.0285'}
{'Epoch': 8, 'HIT@5': '0.0312', 'NDCG@5': '0.0233', 'HIT@10': '0.0408', 'NDCG@10': '0.0264', 'HIT@20': '0.0546', 'NDCG@20': '0.0298'}
{'Epoch': 9, 'HIT@5': '0.0318', 'NDCG@5': '0.0239', 'HIT@10': '0.0415', 'NDCG@10': '0.0270', 'HIT@20': '0.0549', 'NDCG@20': '0.0304'}
{'Epoch': 10, 'HIT@5': '0.0330', 'NDCG@5': '0.0251', 'HIT@10': '0.0422', 'NDCG@10': '0.0280', 'HIT@20': '0.0544', 'NDCG@20': '0.0311'}
{'Epoch': 11, 'HIT@5': '0.0323', 'NDCG@5': '0.0246', 'HIT@10': '0.0421', 'NDCG@10': '0.0278', 'HIT@20': '0.0545', 'NDCG@20': '0.0309'}
{'Epoch': 12, 'HIT@5': '0.0329', 'NDCG@5': '0.0248', 'HIT@10': '0.0433', 'NDCG@10': '0.0281', 'HIT@20': '0.0546', 'NDCG@20': '0.0310'}
{'Epoch': 13, 'HIT@5': '0.0330', 'NDCG@5': '0.0247', 'HIT@10': '0.0434', 'NDCG@10': '0.0281', 'HIT@20': '0.0549', 'NDCG@20': '0.0309'}
{'Epoch': 14, 'HIT@5': '0.0326', 'NDCG@5': '0.0244', 'HIT@10': '0.0416', 'NDCG@10': '0.0273', 'HIT@20': '0.0536', 'NDCG@20': '0.0304'}
{'Epoch': 15, 'HIT@5': '0.0340', 'NDCG@5': '0.0251', 'HIT@10': '0.0429', 'NDCG@10': '0.0280', 'HIT@20': '0.0551', 'NDCG@20': '0.0311'}
{'Epoch': 16, 'HIT@5': '0.0330', 'NDCG@5': '0.0246', 'HIT@10': '0.0422', 'NDCG@10': '0.0276', 'HIT@20': '0.0544', 'NDCG@20': '0.0306'}
{'Epoch': 17, 'HIT@5': '0.0335', 'NDCG@5': '0.0247', 'HIT@10': '0.0434', 'NDCG@10': '0.0279', 'HIT@20': '0.0546', 'NDCG@20': '0.0307'}
{'Epoch': 18, 'HIT@5': '0.0341', 'NDCG@5': '0.0250', 'HIT@10': '0.0431', 'NDCG@10': '0.0280', 'HIT@20': '0.0555', 'NDCG@20': '0.0311'}
{'Epoch': 19, 'HIT@5': '0.0337', 'NDCG@5': '0.0252', 'HIT@10': '0.0436', 'NDCG@10': '0.0284', 'HIT@20': '0.0555', 'NDCG@20': '0.0314'}
{'Epoch': 20, 'HIT@5': '0.0338', 'NDCG@5': '0.0252', 'HIT@10': '0.0434', 'NDCG@10': '0.0283', 'HIT@20': '0.0555', 'NDCG@20': '0.0314'}
{'Epoch': 21, 'HIT@5': '0.0337', 'NDCG@5': '0.0249', 'HIT@10': '0.0427', 'NDCG@10': '0.0278', 'HIT@20': '0.0550', 'NDCG@20': '0.0310'}
{'Epoch': 22, 'HIT@5': '0.0334', 'NDCG@5': '0.0250', 'HIT@10': '0.0434', 'NDCG@10': '0.0282', 'HIT@20': '0.0554', 'NDCG@20': '0.0312'}
{'Epoch': 23, 'HIT@5': '0.0335', 'NDCG@5': '0.0253', 'HIT@10': '0.0431', 'NDCG@10': '0.0284', 'HIT@20': '0.0549', 'NDCG@20': '0.0314'}
{'Epoch': 24, 'HIT@5': '0.0343', 'NDCG@5': '0.0255', 'HIT@10': '0.0432', 'NDCG@10': '0.0284', 'HIT@20': '0.0553', 'NDCG@20': '0.0314'}
{'Epoch': 25, 'HIT@5': '0.0328', 'NDCG@5': '0.0245', 'HIT@10': '0.0419', 'NDCG@10': '0.0275', 'HIT@20': '0.0531', 'NDCG@20': '0.0303'}
{'Epoch': 26, 'HIT@5': '0.0329', 'NDCG@5': '0.0249', 'HIT@10': '0.0424', 'NDCG@10': '0.0280', 'HIT@20': '0.0537', 'NDCG@20': '0.0309'}
{'Epoch': 27, 'HIT@5': '0.0333', 'NDCG@5': '0.0252', 'HIT@10': '0.0425', 'NDCG@10': '0.0281', 'HIT@20': '0.0540', 'NDCG@20': '0.0310'}
{'Epoch': 28, 'HIT@5': '0.0332', 'NDCG@5': '0.0249', 'HIT@10': '0.0423', 'NDCG@10': '0.0279', 'HIT@20': '0.0537', 'NDCG@20': '0.0307'}
{'Epoch': 29, 'HIT@5': '0.0331', 'NDCG@5': '0.0252', 'HIT@10': '0.0426', 'NDCG@10': '0.0282', 'HIT@20': '0.0547', 'NDCG@20': '0.0313'}
