{'Epoch': 0, 'HIT@5': '0.0080', 'NDCG@5': '0.0053', 'HIT@10': '0.0128', 'NDCG@10': '0.0069', 'HIT@20': '0.0199', 'NDCG@20': '0.0086'}
{'Epoch': 1, 'HIT@5': '0.0086', 'NDCG@5': '0.0057', 'HIT@10': '0.0140', 'NDCG@10': '0.0074', 'HIT@20': '0.0209', 'NDCG@20': '0.0091'}
{'Epoch': 2, 'HIT@5': '0.0084', 'NDCG@5': '0.0058', 'HIT@10': '0.0137', 'NDCG@10': '0.0075', 'HIT@20': '0.0242', 'NDCG@20': '0.0101'}
{'Epoch': 3, 'HIT@5': '0.0097', 'NDCG@5': '0.0064', 'HIT@10': '0.0158', 'NDCG@10': '0.0083', 'HIT@20': '0.0266', 'NDCG@20': '0.0110'}
{'Epoch': 4, 'HIT@5': '0.0103', 'NDCG@5': '0.0070', 'HIT@10': '0.0164', 'NDCG@10': '0.0089', 'HIT@20': '0.0276', 'NDCG@20': '0.0117'}
{'Epoch': 5, 'HIT@5': '0.0125', 'NDCG@5': '0.0078', 'HIT@10': '0.0209', 'NDCG@10': '0.0105', 'HIT@20': '0.0330', 'NDCG@20': '0.0135'}
{'Epoch': 6, 'HIT@5': '0.0137', 'NDCG@5': '0.0088', 'HIT@10': '0.0251', 'NDCG@10': '0.0124', 'HIT@20': '0.0396', 'NDCG@20': '0.0160'}
{'Epoch': 7, 'HIT@5': '0.0190', 'NDCG@5': '0.0122', 'HIT@10': '0.0293', 'NDCG@10': '0.0155', 'HIT@20': '0.0465', 'NDCG@20': '0.0198'}
{'Epoch': 8, 'HIT@5': '0.0209', 'NDCG@5': '0.0135', 'HIT@10': '0.0327', 'NDCG@10': '0.0173', 'HIT@20': '0.0520', 'NDCG@20': '0.0221'}
{'Epoch': 9, 'HIT@5': '0.0224', 'NDCG@5': '0.0142', 'HIT@10': '0.0348', 'NDCG@10': '0.0182', 'HIT@20': '0.0549', 'NDCG@20': '0.0232'}
{'Epoch': 10, 'HIT@5': '0.0231', 'NDCG@5': '0.0148', 'HIT@10': '0.0367', 'NDCG@10': '0.0191', 'HIT@20': '0.0590', 'NDCG@20': '0.0247'}
