{'Epoch': 0, 'HIT@5': '0.0073', 'NDCG@5': '0.0046', 'HIT@10': '0.0143', 'NDCG@10': '0.0068', 'HIT@20': '0.0228', 'NDCG@20': '0.0090'}
{'Epoch': 1, 'HIT@5': '0.0084', 'NDCG@5': '0.0056', 'HIT@10': '0.0145', 'NDCG@10': '0.0076', 'HIT@20': '0.0256', 'NDCG@20': '0.0104'}
{'Epoch': 2, 'HIT@5': '0.0086', 'NDCG@5': '0.0050', 'HIT@10': '0.0143', 'NDCG@10': '0.0069', 'HIT@20': '0.0249', 'NDCG@20': '0.0096'}
{'Epoch': 3, 'HIT@5': '0.0096', 'NDCG@5': '0.0066', 'HIT@10': '0.0146', 'NDCG@10': '0.0083', 'HIT@20': '0.0235', 'NDCG@20': '0.0105'}
{'Epoch': 4, 'HIT@5': '0.0105', 'NDCG@5': '0.0071', 'HIT@10': '0.0157', 'NDCG@10': '0.0088', 'HIT@20': '0.0231', 'NDCG@20': '0.0107'}
{'Epoch': 5, 'HIT@5': '0.0112', 'NDCG@5': '0.0076', 'HIT@10': '0.0177', 'NDCG@10': '0.0096', 'HIT@20': '0.0258', 'NDCG@20': '0.0117'}
{'Epoch': 6, 'HIT@5': '0.0111', 'NDCG@5': '0.0072', 'HIT@10': '0.0179', 'NDCG@10': '0.0094', 'HIT@20': '0.0264', 'NDCG@20': '0.0115'}
{'Epoch': 7, 'HIT@5': '0.0110', 'NDCG@5': '0.0073', 'HIT@10': '0.0171', 'NDCG@10': '0.0093', 'HIT@20': '0.0262', 'NDCG@20': '0.0116'}
{'Epoch': 8, 'HIT@5': '0.0111', 'NDCG@5': '0.0072', 'HIT@10': '0.0181', 'NDCG@10': '0.0095', 'HIT@20': '0.0277', 'NDCG@20': '0.0119'}
{'Epoch': 9, 'HIT@5': '0.0118', 'NDCG@5': '0.0081', 'HIT@10': '0.0173', 'NDCG@10': '0.0099', 'HIT@20': '0.0265', 'NDCG@20': '0.0122'}
{'Epoch': 10, 'HIT@5': '0.0112', 'NDCG@5': '0.0077', 'HIT@10': '0.0167', 'NDCG@10': '0.0095', 'HIT@20': '0.0261', 'NDCG@20': '0.0118'}
{'Epoch': 11, 'HIT@5': '0.0121', 'NDCG@5': '0.0082', 'HIT@10': '0.0170', 'NDCG@10': '0.0098', 'HIT@20': '0.0250', 'NDCG@20': '0.0119'}
{'Epoch': 12, 'HIT@5': '0.0116', 'NDCG@5': '0.0079', 'HIT@10': '0.0170', 'NDCG@10': '0.0097', 'HIT@20': '0.0269', 'NDCG@20': '0.0121'}
{'Epoch': 13, 'HIT@5': '0.0119', 'NDCG@5': '0.0083', 'HIT@10': '0.0173', 'NDCG@10': '0.0100', 'HIT@20': '0.0269', 'NDCG@20': '0.0124'}
{'Epoch': 14, 'HIT@5': '0.0112', 'NDCG@5': '0.0071', 'HIT@10': '0.0167', 'NDCG@10': '0.0089', 'HIT@20': '0.0262', 'NDCG@20': '0.0113'}
{'Epoch': 15, 'HIT@5': '0.0109', 'NDCG@5': '0.0076', 'HIT@10': '0.0164', 'NDCG@10': '0.0093', 'HIT@20': '0.0250', 'NDCG@20': '0.0115'}
{'Epoch': 16, 'HIT@5': '0.0099', 'NDCG@5': '0.0073', 'HIT@10': '0.0153', 'NDCG@10': '0.0091', 'HIT@20': '0.0234', 'NDCG@20': '0.0111'}
{'Epoch': 17, 'HIT@5': '0.0116', 'NDCG@5': '0.0083', 'HIT@10': '0.0179', 'NDCG@10': '0.0103', 'HIT@20': '0.0267', 'NDCG@20': '0.0125'}
{'Epoch': 18, 'HIT@5': '0.0112', 'NDCG@5': '0.0080', 'HIT@10': '0.0171', 'NDCG@10': '0.0098', 'HIT@20': '0.0262', 'NDCG@20': '0.0121'}
{'Epoch': 19, 'HIT@5': '0.0112', 'NDCG@5': '0.0080', 'HIT@10': '0.0161', 'NDCG@10': '0.0096', 'HIT@20': '0.0250', 'NDCG@20': '0.0118'}
{'Epoch': 20, 'HIT@5': '0.0121', 'NDCG@5': '0.0086', 'HIT@10': '0.0181', 'NDCG@10': '0.0106', 'HIT@20': '0.0261', 'NDCG@20': '0.0126'}
{'Epoch': 21, 'HIT@5': '0.0118', 'NDCG@5': '0.0087', 'HIT@10': '0.0169', 'NDCG@10': '0.0103', 'HIT@20': '0.0257', 'NDCG@20': '0.0125'}
{'Epoch': 22, 'HIT@5': '0.0123', 'NDCG@5': '0.0087', 'HIT@10': '0.0179', 'NDCG@10': '0.0105', 'HIT@20': '0.0264', 'NDCG@20': '0.0126'}
{'Epoch': 23, 'HIT@5': '0.0122', 'NDCG@5': '0.0088', 'HIT@10': '0.0189', 'NDCG@10': '0.0110', 'HIT@20': '0.0273', 'NDCG@20': '0.0131'}
{'Epoch': 24, 'HIT@5': '0.0109', 'NDCG@5': '0.0080', 'HIT@10': '0.0166', 'NDCG@10': '0.0098', 'HIT@20': '0.0248', 'NDCG@20': '0.0119'}
{'Epoch': 25, 'HIT@5': '0.0106', 'NDCG@5': '0.0077', 'HIT@10': '0.0159', 'NDCG@10': '0.0094', 'HIT@20': '0.0248', 'NDCG@20': '0.0116'}
{'Epoch': 26, 'HIT@5': '0.0122', 'NDCG@5': '0.0087', 'HIT@10': '0.0169', 'NDCG@10': '0.0103', 'HIT@20': '0.0251', 'NDCG@20': '0.0123'}
{'Epoch': 27, 'HIT@5': '0.0118', 'NDCG@5': '0.0088', 'HIT@10': '0.0175', 'NDCG@10': '0.0107', 'HIT@20': '0.0260', 'NDCG@20': '0.0128'}
{'Epoch': 28, 'HIT@5': '0.0120', 'NDCG@5': '0.0088', 'HIT@10': '0.0172', 'NDCG@10': '0.0105', 'HIT@20': '0.0262', 'NDCG@20': '0.0127'}
{'Epoch': 29, 'HIT@5': '0.0117', 'NDCG@5': '0.0086', 'HIT@10': '0.0183', 'NDCG@10': '0.0107', 'HIT@20': '0.0264', 'NDCG@20': '0.0127'}
{'Epoch': 30, 'HIT@5': '0.0117', 'NDCG@5': '0.0089', 'HIT@10': '0.0172', 'NDCG@10': '0.0106', 'HIT@20': '0.0260', 'NDCG@20': '0.0128'}
{'Epoch': 31, 'HIT@5': '0.0113', 'NDCG@5': '0.0083', 'HIT@10': '0.0175', 'NDCG@10': '0.0103', 'HIT@20': '0.0270', 'NDCG@20': '0.0127'}
{'Epoch': 32, 'HIT@5': '0.0109', 'NDCG@5': '0.0077', 'HIT@10': '0.0167', 'NDCG@10': '0.0095', 'HIT@20': '0.0248', 'NDCG@20': '0.0116'}
{'Epoch': 33, 'HIT@5': '0.0115', 'NDCG@5': '0.0087', 'HIT@10': '0.0172', 'NDCG@10': '0.0105', 'HIT@20': '0.0263', 'NDCG@20': '0.0128'}
{'Epoch': 33, 'HIT@5': '0.0099', 'NDCG@5': '0.0065', 'HIT@10': '0.0151', 'NDCG@10': '0.0082', 'HIT@20': '0.0231', 'NDCG@20': '0.0102'}
GRU4Rec-Toys_and_Games-0-CE
{'Epoch': 33, 'HIT@5': '0.0099', 'NDCG@5': '0.0065', 'HIT@10': '0.0151', 'NDCG@10': '0.0082', 'HIT@20': '0.0231', 'NDCG@20': '0.0102'}
