{'Epoch': 0, 'HIT@5': '0.0072', 'NDCG@5': '0.0043', 'HIT@10': '0.0139', 'NDCG@10': '0.0065', 'HIT@20': '0.0242', 'NDCG@20': '0.0091'}
{'Epoch': 1, 'HIT@5': '0.0101', 'NDCG@5': '0.0065', 'HIT@10': '0.0168', 'NDCG@10': '0.0086', 'HIT@20': '0.0281', 'NDCG@20': '0.0114'}
{'Epoch': 2, 'HIT@5': '0.0089', 'NDCG@5': '0.0061', 'HIT@10': '0.0160', 'NDCG@10': '0.0084', 'HIT@20': '0.0284', 'NDCG@20': '0.0115'}
{'Epoch': 3, 'HIT@5': '0.0102', 'NDCG@5': '0.0068', 'HIT@10': '0.0169', 'NDCG@10': '0.0090', 'HIT@20': '0.0265', 'NDCG@20': '0.0114'}
{'Epoch': 4, 'HIT@5': '0.0100', 'NDCG@5': '0.0067', 'HIT@10': '0.0156', 'NDCG@10': '0.0086', 'HIT@20': '0.0263', 'NDCG@20': '0.0112'}
{'Epoch': 5, 'HIT@5': '0.0111', 'NDCG@5': '0.0080', 'HIT@10': '0.0152', 'NDCG@10': '0.0093', 'HIT@20': '0.0236', 'NDCG@20': '0.0114'}
{'Epoch': 6, 'HIT@5': '0.0104', 'NDCG@5': '0.0077', 'HIT@10': '0.0145', 'NDCG@10': '0.0090', 'HIT@20': '0.0208', 'NDCG@20': '0.0106'}
{'Epoch': 7, 'HIT@5': '0.0111', 'NDCG@5': '0.0086', 'HIT@10': '0.0152', 'NDCG@10': '0.0099', 'HIT@20': '0.0200', 'NDCG@20': '0.0111'}
{'Epoch': 8, 'HIT@5': '0.0116', 'NDCG@5': '0.0087', 'HIT@10': '0.0165', 'NDCG@10': '0.0103', 'HIT@20': '0.0227', 'NDCG@20': '0.0118'}
{'Epoch': 9, 'HIT@5': '0.0131', 'NDCG@5': '0.0095', 'HIT@10': '0.0177', 'NDCG@10': '0.0110', 'HIT@20': '0.0244', 'NDCG@20': '0.0127'}
{'Epoch': 10, 'HIT@5': '0.0128', 'NDCG@5': '0.0094', 'HIT@10': '0.0175', 'NDCG@10': '0.0109', 'HIT@20': '0.0249', 'NDCG@20': '0.0128'}
{'Epoch': 11, 'HIT@5': '0.0134', 'NDCG@5': '0.0099', 'HIT@10': '0.0174', 'NDCG@10': '0.0112', 'HIT@20': '0.0249', 'NDCG@20': '0.0131'}
{'Epoch': 12, 'HIT@5': '0.0134', 'NDCG@5': '0.0098', 'HIT@10': '0.0179', 'NDCG@10': '0.0112', 'HIT@20': '0.0261', 'NDCG@20': '0.0133'}
