{'Epoch': 0, 'HIT@5': '0.0240', 'NDCG@5': '0.0150', 'HIT@10': '0.0382', 'NDCG@10': '0.0196', 'HIT@20': '0.0616', 'NDCG@20': '0.0255'}
{'Epoch': 1, 'HIT@5': '0.0263', 'NDCG@5': '0.0167', 'HIT@10': '0.0428', 'NDCG@10': '0.0220', 'HIT@20': '0.0711', 'NDCG@20': '0.0291'}
{'Epoch': 2, 'HIT@5': '0.0264', 'NDCG@5': '0.0167', 'HIT@10': '0.0457', 'NDCG@10': '0.0228', 'HIT@20': '0.0744', 'NDCG@20': '0.0301'}
{'Epoch': 3, 'HIT@5': '0.0268', 'NDCG@5': '0.0168', 'HIT@10': '0.0461', 'NDCG@10': '0.0229', 'HIT@20': '0.0754', 'NDCG@20': '0.0303'}
{'Epoch': 4, 'HIT@5': '0.0286', 'NDCG@5': '0.0178', 'HIT@10': '0.0480', 'NDCG@10': '0.0240', 'HIT@20': '0.0783', 'NDCG@20': '0.0316'}
{'Epoch': 5, 'HIT@5': '0.0286', 'NDCG@5': '0.0179', 'HIT@10': '0.0478', 'NDCG@10': '0.0240', 'HIT@20': '0.0785', 'NDCG@20': '0.0317'}
{'Epoch': 6, 'HIT@5': '0.0289', 'NDCG@5': '0.0182', 'HIT@10': '0.0487', 'NDCG@10': '0.0245', 'HIT@20': '0.0792', 'NDCG@20': '0.0322'}
{'Epoch': 7, 'HIT@5': '0.0284', 'NDCG@5': '0.0175', 'HIT@10': '0.0483', 'NDCG@10': '0.0239', 'HIT@20': '0.0798', 'NDCG@20': '0.0318'}
{'Epoch': 8, 'HIT@5': '0.0294', 'NDCG@5': '0.0183', 'HIT@10': '0.0511', 'NDCG@10': '0.0253', 'HIT@20': '0.0817', 'NDCG@20': '0.0329'}
{'Epoch': 9, 'HIT@5': '0.0303', 'NDCG@5': '0.0190', 'HIT@10': '0.0518', 'NDCG@10': '0.0259', 'HIT@20': '0.0841', 'NDCG@20': '0.0340'}
{'Epoch': 10, 'HIT@5': '0.0299', 'NDCG@5': '0.0189', 'HIT@10': '0.0518', 'NDCG@10': '0.0259', 'HIT@20': '0.0841', 'NDCG@20': '0.0340'}
{'Epoch': 11, 'HIT@5': '0.0312', 'NDCG@5': '0.0194', 'HIT@10': '0.0540', 'NDCG@10': '0.0268', 'HIT@20': '0.0865', 'NDCG@20': '0.0349'}
{'Epoch': 12, 'HIT@5': '0.0308', 'NDCG@5': '0.0191', 'HIT@10': '0.0542', 'NDCG@10': '0.0266', 'HIT@20': '0.0844', 'NDCG@20': '0.0342'}
{'Epoch': 13, 'HIT@5': '0.0318', 'NDCG@5': '0.0196', 'HIT@10': '0.0549', 'NDCG@10': '0.0270', 'HIT@20': '0.0864', 'NDCG@20': '0.0350'}
{'Epoch': 14, 'HIT@5': '0.0325', 'NDCG@5': '0.0200', 'HIT@10': '0.0550', 'NDCG@10': '0.0272', 'HIT@20': '0.0895', 'NDCG@20': '0.0359'}
{'Epoch': 15, 'HIT@5': '0.0342', 'NDCG@5': '0.0207', 'HIT@10': '0.0559', 'NDCG@10': '0.0276', 'HIT@20': '0.0902', 'NDCG@20': '0.0362'}
{'Epoch': 16, 'HIT@5': '0.0325', 'NDCG@5': '0.0198', 'HIT@10': '0.0556', 'NDCG@10': '0.0272', 'HIT@20': '0.0905', 'NDCG@20': '0.0360'}
{'Epoch': 17, 'HIT@5': '0.0339', 'NDCG@5': '0.0211', 'HIT@10': '0.0572', 'NDCG@10': '0.0286', 'HIT@20': '0.0934', 'NDCG@20': '0.0377'}
{'Epoch': 18, 'HIT@5': '0.0341', 'NDCG@5': '0.0211', 'HIT@10': '0.0566', 'NDCG@10': '0.0283', 'HIT@20': '0.0924', 'NDCG@20': '0.0373'}
{'Epoch': 19, 'HIT@5': '0.0345', 'NDCG@5': '0.0212', 'HIT@10': '0.0575', 'NDCG@10': '0.0286', 'HIT@20': '0.0940', 'NDCG@20': '0.0378'}
{'Epoch': 20, 'HIT@5': '0.0358', 'NDCG@5': '0.0220', 'HIT@10': '0.0593', 'NDCG@10': '0.0296', 'HIT@20': '0.0947', 'NDCG@20': '0.0385'}
{'Epoch': 21, 'HIT@5': '0.0356', 'NDCG@5': '0.0216', 'HIT@10': '0.0597', 'NDCG@10': '0.0293', 'HIT@20': '0.0960', 'NDCG@20': '0.0384'}
{'Epoch': 22, 'HIT@5': '0.0360', 'NDCG@5': '0.0219', 'HIT@10': '0.0574', 'NDCG@10': '0.0287', 'HIT@20': '0.0938', 'NDCG@20': '0.0379'}
