{'Epoch': 0, 'HIT@5': '0.0326', 'NDCG@5': '0.0217', 'HIT@10': '0.0529', 'NDCG@10': '0.0282', 'HIT@20': '0.0832', 'NDCG@20': '0.0358'}
{'Epoch': 1, 'HIT@5': '0.0399', 'NDCG@5': '0.0267', 'HIT@10': '0.0633', 'NDCG@10': '0.0342', 'HIT@20': '0.0983', 'NDCG@20': '0.0430'}
{'Epoch': 2, 'HIT@5': '0.0445', 'NDCG@5': '0.0301', 'HIT@10': '0.0688', 'NDCG@10': '0.0379', 'HIT@20': '0.1086', 'NDCG@20': '0.0480'}
{'Epoch': 3, 'HIT@5': '0.0485', 'NDCG@5': '0.0325', 'HIT@10': '0.0739', 'NDCG@10': '0.0406', 'HIT@20': '0.1130', 'NDCG@20': '0.0505'}
{'Epoch': 4, 'HIT@5': '0.0501', 'NDCG@5': '0.0341', 'HIT@10': '0.0779', 'NDCG@10': '0.0429', 'HIT@20': '0.1154', 'NDCG@20': '0.0525'}
{'Epoch': 5, 'HIT@5': '0.0536', 'NDCG@5': '0.0364', 'HIT@10': '0.0823', 'NDCG@10': '0.0455', 'HIT@20': '0.1209', 'NDCG@20': '0.0552'}
{'Epoch': 6, 'HIT@5': '0.0562', 'NDCG@5': '0.0376', 'HIT@10': '0.0831', 'NDCG@10': '0.0463', 'HIT@20': '0.1237', 'NDCG@20': '0.0565'}
{'Epoch': 7, 'HIT@5': '0.0569', 'NDCG@5': '0.0381', 'HIT@10': '0.0855', 'NDCG@10': '0.0473', 'HIT@20': '0.1246', 'NDCG@20': '0.0571'}
{'Epoch': 8, 'HIT@5': '0.0580', 'NDCG@5': '0.0391', 'HIT@10': '0.0865', 'NDCG@10': '0.0483', 'HIT@20': '0.1264', 'NDCG@20': '0.0583'}
{'Epoch': 9, 'HIT@5': '0.0596', 'NDCG@5': '0.0404', 'HIT@10': '0.0890', 'NDCG@10': '0.0498', 'HIT@20': '0.1295', 'NDCG@20': '0.0600'}
{'Epoch': 10, 'HIT@5': '0.0613', 'NDCG@5': '0.0414', 'HIT@10': '0.0903', 'NDCG@10': '0.0507', 'HIT@20': '0.1312', 'NDCG@20': '0.0609'}
{'Epoch': 11, 'HIT@5': '0.0630', 'NDCG@5': '0.0424', 'HIT@10': '0.0914', 'NDCG@10': '0.0515', 'HIT@20': '0.1317', 'NDCG@20': '0.0617'}
{'Epoch': 12, 'HIT@5': '0.0627', 'NDCG@5': '0.0432', 'HIT@10': '0.0927', 'NDCG@10': '0.0528', 'HIT@20': '0.1357', 'NDCG@20': '0.0636'}
{'Epoch': 13, 'HIT@5': '0.0639', 'NDCG@5': '0.0436', 'HIT@10': '0.0937', 'NDCG@10': '0.0532', 'HIT@20': '0.1362', 'NDCG@20': '0.0639'}
{'Epoch': 14, 'HIT@5': '0.0667', 'NDCG@5': '0.0455', 'HIT@10': '0.0954', 'NDCG@10': '0.0546', 'HIT@20': '0.1374', 'NDCG@20': '0.0652'}
{'Epoch': 15, 'HIT@5': '0.0671', 'NDCG@5': '0.0458', 'HIT@10': '0.0973', 'NDCG@10': '0.0555', 'HIT@20': '0.1402', 'NDCG@20': '0.0662'}
{'Epoch': 16, 'HIT@5': '0.0676', 'NDCG@5': '0.0462', 'HIT@10': '0.0964', 'NDCG@10': '0.0554', 'HIT@20': '0.1403', 'NDCG@20': '0.0665'}
{'Epoch': 17, 'HIT@5': '0.0685', 'NDCG@5': '0.0469', 'HIT@10': '0.0993', 'NDCG@10': '0.0567', 'HIT@20': '0.1437', 'NDCG@20': '0.0679'}
{'Epoch': 18, 'HIT@5': '0.0692', 'NDCG@5': '0.0475', 'HIT@10': '0.0994', 'NDCG@10': '0.0571', 'HIT@20': '0.1452', 'NDCG@20': '0.0686'}
{'Epoch': 19, 'HIT@5': '0.0699', 'NDCG@5': '0.0481', 'HIT@10': '0.1010', 'NDCG@10': '0.0580', 'HIT@20': '0.1473', 'NDCG@20': '0.0697'}
{'Epoch': 20, 'HIT@5': '0.0704', 'NDCG@5': '0.0484', 'HIT@10': '0.1022', 'NDCG@10': '0.0586', 'HIT@20': '0.1486', 'NDCG@20': '0.0702'}
{'Epoch': 21, 'HIT@5': '0.0720', 'NDCG@5': '0.0495', 'HIT@10': '0.1040', 'NDCG@10': '0.0597', 'HIT@20': '0.1495', 'NDCG@20': '0.0712'}
{'Epoch': 22, 'HIT@5': '0.0723', 'NDCG@5': '0.0499', 'HIT@10': '0.1039', 'NDCG@10': '0.0600', 'HIT@20': '0.1499', 'NDCG@20': '0.0716'}
{'Epoch': 23, 'HIT@5': '0.0741', 'NDCG@5': '0.0507', 'HIT@10': '0.1061', 'NDCG@10': '0.0609', 'HIT@20': '0.1517', 'NDCG@20': '0.0724'}
{'Epoch': 24, 'HIT@5': '0.0749', 'NDCG@5': '0.0517', 'HIT@10': '0.1072', 'NDCG@10': '0.0620', 'HIT@20': '0.1515', 'NDCG@20': '0.0731'}
{'Epoch': 25, 'HIT@5': '0.0737', 'NDCG@5': '0.0512', 'HIT@10': '0.1076', 'NDCG@10': '0.0621', 'HIT@20': '0.1529', 'NDCG@20': '0.0735'}
{'Epoch': 26, 'HIT@5': '0.0754', 'NDCG@5': '0.0521', 'HIT@10': '0.1081', 'NDCG@10': '0.0625', 'HIT@20': '0.1537', 'NDCG@20': '0.0740'}
{'Epoch': 27, 'HIT@5': '0.0760', 'NDCG@5': '0.0524', 'HIT@10': '0.1090', 'NDCG@10': '0.0630', 'HIT@20': '0.1550', 'NDCG@20': '0.0746'}
{'Epoch': 28, 'HIT@5': '0.0779', 'NDCG@5': '0.0540', 'HIT@10': '0.1106', 'NDCG@10': '0.0645', 'HIT@20': '0.1553', 'NDCG@20': '0.0757'}
{'Epoch': 29, 'HIT@5': '0.0778', 'NDCG@5': '0.0541', 'HIT@10': '0.1115', 'NDCG@10': '0.0649', 'HIT@20': '0.1574', 'NDCG@20': '0.0764'}
{'Epoch': 30, 'HIT@5': '0.0785', 'NDCG@5': '0.0543', 'HIT@10': '0.1132', 'NDCG@10': '0.0655', 'HIT@20': '0.1588', 'NDCG@20': '0.0769'}
