{'Epoch': 0, 'HIT@5': '0.0075', 'NDCG@5': '0.0050', 'HIT@10': '0.0140', 'NDCG@10': '0.0071', 'HIT@20': '0.0210', 'NDCG@20': '0.0089'}
{'Epoch': 1, 'HIT@5': '0.0092', 'NDCG@5': '0.0057', 'HIT@10': '0.0138', 'NDCG@10': '0.0071', 'HIT@20': '0.0220', 'NDCG@20': '0.0092'}
{'Epoch': 2, 'HIT@5': '0.0089', 'NDCG@5': '0.0059', 'HIT@10': '0.0140', 'NDCG@10': '0.0075', 'HIT@20': '0.0233', 'NDCG@20': '0.0098'}
{'Epoch': 3, 'HIT@5': '0.0099', 'NDCG@5': '0.0070', 'HIT@10': '0.0165', 'NDCG@10': '0.0091', 'HIT@20': '0.0268', 'NDCG@20': '0.0116'}
{'Epoch': 4, 'HIT@5': '0.0144', 'NDCG@5': '0.0099', 'HIT@10': '0.0228', 'NDCG@10': '0.0126', 'HIT@20': '0.0338', 'NDCG@20': '0.0153'}
{'Epoch': 5, 'HIT@5': '0.0167', 'NDCG@5': '0.0115', 'HIT@10': '0.0279', 'NDCG@10': '0.0151', 'HIT@20': '0.0408', 'NDCG@20': '0.0183'}
{'Epoch': 6, 'HIT@5': '0.0191', 'NDCG@5': '0.0129', 'HIT@10': '0.0318', 'NDCG@10': '0.0170', 'HIT@20': '0.0468', 'NDCG@20': '0.0208'}
{'Epoch': 7, 'HIT@5': '0.0220', 'NDCG@5': '0.0144', 'HIT@10': '0.0341', 'NDCG@10': '0.0183', 'HIT@20': '0.0520', 'NDCG@20': '0.0228'}
{'Epoch': 8, 'HIT@5': '0.0208', 'NDCG@5': '0.0137', 'HIT@10': '0.0351', 'NDCG@10': '0.0184', 'HIT@20': '0.0556', 'NDCG@20': '0.0235'}
{'Epoch': 9, 'HIT@5': '0.0260', 'NDCG@5': '0.0173', 'HIT@10': '0.0403', 'NDCG@10': '0.0219', 'HIT@20': '0.0623', 'NDCG@20': '0.0274'}
{'Epoch': 10, 'HIT@5': '0.0258', 'NDCG@5': '0.0167', 'HIT@10': '0.0408', 'NDCG@10': '0.0215', 'HIT@20': '0.0648', 'NDCG@20': '0.0275'}
{'Epoch': 11, 'HIT@5': '0.0301', 'NDCG@5': '0.0191', 'HIT@10': '0.0478', 'NDCG@10': '0.0247', 'HIT@20': '0.0726', 'NDCG@20': '0.0310'}
{'Epoch': 12, 'HIT@5': '0.0315', 'NDCG@5': '0.0204', 'HIT@10': '0.0502', 'NDCG@10': '0.0264', 'HIT@20': '0.0761', 'NDCG@20': '0.0329'}
{'Epoch': 13, 'HIT@5': '0.0323', 'NDCG@5': '0.0210', 'HIT@10': '0.0503', 'NDCG@10': '0.0268', 'HIT@20': '0.0753', 'NDCG@20': '0.0331'}
{'Epoch': 14, 'HIT@5': '0.0357', 'NDCG@5': '0.0227', 'HIT@10': '0.0544', 'NDCG@10': '0.0288', 'HIT@20': '0.0806', 'NDCG@20': '0.0353'}
