{'Epoch': 0, 'HIT@5': '0.0090', 'NDCG@5': '0.0057', 'HIT@10': '0.0132', 'NDCG@10': '0.0070', 'HIT@20': '0.0198', 'NDCG@20': '0.0087'}
{'Epoch': 1, 'HIT@5': '0.0100', 'NDCG@5': '0.0070', 'HIT@10': '0.0152', 'NDCG@10': '0.0087', 'HIT@20': '0.0238', 'NDCG@20': '0.0108'}
{'Epoch': 2, 'HIT@5': '0.0167', 'NDCG@5': '0.0115', 'HIT@10': '0.0242', 'NDCG@10': '0.0139', 'HIT@20': '0.0360', 'NDCG@20': '0.0169'}
{'Epoch': 3, 'HIT@5': '0.0246', 'NDCG@5': '0.0175', 'HIT@10': '0.0382', 'NDCG@10': '0.0218', 'HIT@20': '0.0580', 'NDCG@20': '0.0268'}
{'Epoch': 4, 'HIT@5': '0.0341', 'NDCG@5': '0.0240', 'HIT@10': '0.0511', 'NDCG@10': '0.0294', 'HIT@20': '0.0740', 'NDCG@20': '0.0352'}
{'Epoch': 5, 'HIT@5': '0.0418', 'NDCG@5': '0.0293', 'HIT@10': '0.0599', 'NDCG@10': '0.0351', 'HIT@20': '0.0862', 'NDCG@20': '0.0417'}
{'Epoch': 6, 'HIT@5': '0.0490', 'NDCG@5': '0.0347', 'HIT@10': '0.0692', 'NDCG@10': '0.0412', 'HIT@20': '0.0965', 'NDCG@20': '0.0481'}
{'Epoch': 7, 'HIT@5': '0.0576', 'NDCG@5': '0.0404', 'HIT@10': '0.0794', 'NDCG@10': '0.0474', 'HIT@20': '0.1098', 'NDCG@20': '0.0551'}
{'Epoch': 8, 'HIT@5': '0.0637', 'NDCG@5': '0.0449', 'HIT@10': '0.0880', 'NDCG@10': '0.0527', 'HIT@20': '0.1196', 'NDCG@20': '0.0607'}
{'Epoch': 9, 'HIT@5': '0.0678', 'NDCG@5': '0.0488', 'HIT@10': '0.0941', 'NDCG@10': '0.0573', 'HIT@20': '0.1295', 'NDCG@20': '0.0662'}
{'Epoch': 10, 'HIT@5': '0.0728', 'NDCG@5': '0.0520', 'HIT@10': '0.1001', 'NDCG@10': '0.0608', 'HIT@20': '0.1320', 'NDCG@20': '0.0688'}
{'Epoch': 11, 'HIT@5': '0.0767', 'NDCG@5': '0.0551', 'HIT@10': '0.1046', 'NDCG@10': '0.0642', 'HIT@20': '0.1356', 'NDCG@20': '0.0720'}
{'Epoch': 12, 'HIT@5': '0.0795', 'NDCG@5': '0.0574', 'HIT@10': '0.1081', 'NDCG@10': '0.0666', 'HIT@20': '0.1399', 'NDCG@20': '0.0746'}
{'Epoch': 13, 'HIT@5': '0.0816', 'NDCG@5': '0.0594', 'HIT@10': '0.1090', 'NDCG@10': '0.0683', 'HIT@20': '0.1435', 'NDCG@20': '0.0770'}
{'Epoch': 14, 'HIT@5': '0.0834', 'NDCG@5': '0.0608', 'HIT@10': '0.1107', 'NDCG@10': '0.0695', 'HIT@20': '0.1447', 'NDCG@20': '0.0781'}
