{'Epoch': 0, 'HIT@5': '0.0091', 'NDCG@5': '0.0058', 'HIT@10': '0.0122', 'NDCG@10': '0.0068', 'HIT@20': '0.0192', 'NDCG@20': '0.0086'}
{'Epoch': 1, 'HIT@5': '0.0097', 'NDCG@5': '0.0064', 'HIT@10': '0.0138', 'NDCG@10': '0.0077', 'HIT@20': '0.0188', 'NDCG@20': '0.0090'}
{'Epoch': 2, 'HIT@5': '0.0092', 'NDCG@5': '0.0063', 'HIT@10': '0.0146', 'NDCG@10': '0.0081', 'HIT@20': '0.0224', 'NDCG@20': '0.0100'}
{'Epoch': 3, 'HIT@5': '0.0105', 'NDCG@5': '0.0069', 'HIT@10': '0.0155', 'NDCG@10': '0.0085', 'HIT@20': '0.0241', 'NDCG@20': '0.0107'}
{'Epoch': 4, 'HIT@5': '0.0141', 'NDCG@5': '0.0095', 'HIT@10': '0.0200', 'NDCG@10': '0.0114', 'HIT@20': '0.0283', 'NDCG@20': '0.0135'}
{'Epoch': 5, 'HIT@5': '0.0191', 'NDCG@5': '0.0142', 'HIT@10': '0.0271', 'NDCG@10': '0.0168', 'HIT@20': '0.0387', 'NDCG@20': '0.0198'}
{'Epoch': 6, 'HIT@5': '0.0308', 'NDCG@5': '0.0240', 'HIT@10': '0.0422', 'NDCG@10': '0.0276', 'HIT@20': '0.0563', 'NDCG@20': '0.0312'}
{'Epoch': 7, 'HIT@5': '0.0395', 'NDCG@5': '0.0315', 'HIT@10': '0.0504', 'NDCG@10': '0.0350', 'HIT@20': '0.0665', 'NDCG@20': '0.0390'}
{'Epoch': 8, 'HIT@5': '0.0466', 'NDCG@5': '0.0373', 'HIT@10': '0.0591', 'NDCG@10': '0.0413', 'HIT@20': '0.0727', 'NDCG@20': '0.0447'}
{'Epoch': 9, 'HIT@5': '0.0521', 'NDCG@5': '0.0421', 'HIT@10': '0.0642', 'NDCG@10': '0.0460', 'HIT@20': '0.0796', 'NDCG@20': '0.0499'}
{'Epoch': 10, 'HIT@5': '0.0571', 'NDCG@5': '0.0456', 'HIT@10': '0.0677', 'NDCG@10': '0.0491', 'HIT@20': '0.0842', 'NDCG@20': '0.0532'}
{'Epoch': 11, 'HIT@5': '0.0584', 'NDCG@5': '0.0465', 'HIT@10': '0.0711', 'NDCG@10': '0.0506', 'HIT@20': '0.0861', 'NDCG@20': '0.0544'}
{'Epoch': 12, 'HIT@5': '0.0605', 'NDCG@5': '0.0479', 'HIT@10': '0.0727', 'NDCG@10': '0.0519', 'HIT@20': '0.0879', 'NDCG@20': '0.0557'}
{'Epoch': 13, 'HIT@5': '0.0617', 'NDCG@5': '0.0488', 'HIT@10': '0.0741', 'NDCG@10': '0.0528', 'HIT@20': '0.0887', 'NDCG@20': '0.0565'}
{'Epoch': 14, 'HIT@5': '0.0630', 'NDCG@5': '0.0489', 'HIT@10': '0.0760', 'NDCG@10': '0.0531', 'HIT@20': '0.0894', 'NDCG@20': '0.0565'}
{'Epoch': 15, 'HIT@5': '0.0631', 'NDCG@5': '0.0484', 'HIT@10': '0.0761', 'NDCG@10': '0.0526', 'HIT@20': '0.0905', 'NDCG@20': '0.0562'}
{'Epoch': 16, 'HIT@5': '0.0632', 'NDCG@5': '0.0493', 'HIT@10': '0.0770', 'NDCG@10': '0.0538', 'HIT@20': '0.0905', 'NDCG@20': '0.0572'}
{'Epoch': 17, 'HIT@5': '0.0649', 'NDCG@5': '0.0503', 'HIT@10': '0.0771', 'NDCG@10': '0.0543', 'HIT@20': '0.0907', 'NDCG@20': '0.0578'}
{'Epoch': 18, 'HIT@5': '0.0639', 'NDCG@5': '0.0495', 'HIT@10': '0.0775', 'NDCG@10': '0.0540', 'HIT@20': '0.0919', 'NDCG@20': '0.0576'}
{'Epoch': 19, 'HIT@5': '0.0658', 'NDCG@5': '0.0501', 'HIT@10': '0.0783', 'NDCG@10': '0.0541', 'HIT@20': '0.0922', 'NDCG@20': '0.0576'}
{'Epoch': 20, 'HIT@5': '0.0653', 'NDCG@5': '0.0500', 'HIT@10': '0.0788', 'NDCG@10': '0.0543', 'HIT@20': '0.0917', 'NDCG@20': '0.0576'}
{'Epoch': 21, 'HIT@5': '0.0656', 'NDCG@5': '0.0498', 'HIT@10': '0.0788', 'NDCG@10': '0.0541', 'HIT@20': '0.0918', 'NDCG@20': '0.0574'}
{'Epoch': 22, 'HIT@5': '0.0658', 'NDCG@5': '0.0501', 'HIT@10': '0.0794', 'NDCG@10': '0.0545', 'HIT@20': '0.0925', 'NDCG@20': '0.0578'}
{'Epoch': 23, 'HIT@5': '0.0655', 'NDCG@5': '0.0503', 'HIT@10': '0.0790', 'NDCG@10': '0.0546', 'HIT@20': '0.0931', 'NDCG@20': '0.0582'}
{'Epoch': 24, 'HIT@5': '0.0662', 'NDCG@5': '0.0506', 'HIT@10': '0.0794', 'NDCG@10': '0.0549', 'HIT@20': '0.0924', 'NDCG@20': '0.0582'}
{'Epoch': 25, 'HIT@5': '0.0673', 'NDCG@5': '0.0515', 'HIT@10': '0.0794', 'NDCG@10': '0.0554', 'HIT@20': '0.0927', 'NDCG@20': '0.0588'}
{'Epoch': 26, 'HIT@5': '0.0668', 'NDCG@5': '0.0506', 'HIT@10': '0.0797', 'NDCG@10': '0.0548', 'HIT@20': '0.0938', 'NDCG@20': '0.0583'}
{'Epoch': 27, 'HIT@5': '0.0670', 'NDCG@5': '0.0512', 'HIT@10': '0.0808', 'NDCG@10': '0.0557', 'HIT@20': '0.0935', 'NDCG@20': '0.0589'}
