{'Epoch': 0, 'HIT@5': '0.0060', 'NDCG@5': '0.0040', 'HIT@10': '0.0100', 'NDCG@10': '0.0053', 'HIT@20': '0.0170', 'NDCG@20': '0.0070'}
{'Epoch': 1, 'HIT@5': '0.0076', 'NDCG@5': '0.0047', 'HIT@10': '0.0133', 'NDCG@10': '0.0065', 'HIT@20': '0.0230', 'NDCG@20': '0.0090'}
{'Epoch': 2, 'HIT@5': '0.0109', 'NDCG@5': '0.0064', 'HIT@10': '0.0179', 'NDCG@10': '0.0087', 'HIT@20': '0.0313', 'NDCG@20': '0.0121'}
{'Epoch': 3, 'HIT@5': '0.0134', 'NDCG@5': '0.0081', 'HIT@10': '0.0231', 'NDCG@10': '0.0112', 'HIT@20': '0.0380', 'NDCG@20': '0.0149'}
{'Epoch': 4, 'HIT@5': '0.0147', 'NDCG@5': '0.0090', 'HIT@10': '0.0268', 'NDCG@10': '0.0129', 'HIT@20': '0.0452', 'NDCG@20': '0.0175'}
{'Epoch': 5, 'HIT@5': '0.0157', 'NDCG@5': '0.0100', 'HIT@10': '0.0294', 'NDCG@10': '0.0144', 'HIT@20': '0.0503', 'NDCG@20': '0.0197'}
{'Epoch': 6, 'HIT@5': '0.0181', 'NDCG@5': '0.0115', 'HIT@10': '0.0322', 'NDCG@10': '0.0161', 'HIT@20': '0.0524', 'NDCG@20': '0.0211'}
{'Epoch': 7, 'HIT@5': '0.0185', 'NDCG@5': '0.0112', 'HIT@10': '0.0325', 'NDCG@10': '0.0157', 'HIT@20': '0.0552', 'NDCG@20': '0.0214'}
{'Epoch': 8, 'HIT@5': '0.0194', 'NDCG@5': '0.0118', 'HIT@10': '0.0340', 'NDCG@10': '0.0165', 'HIT@20': '0.0571', 'NDCG@20': '0.0223'}
{'Epoch': 9, 'HIT@5': '0.0205', 'NDCG@5': '0.0127', 'HIT@10': '0.0355', 'NDCG@10': '0.0175', 'HIT@20': '0.0591', 'NDCG@20': '0.0234'}
{'Epoch': 10, 'HIT@5': '0.0217', 'NDCG@5': '0.0138', 'HIT@10': '0.0371', 'NDCG@10': '0.0187', 'HIT@20': '0.0605', 'NDCG@20': '0.0246'}
{'Epoch': 11, 'HIT@5': '0.0208', 'NDCG@5': '0.0131', 'HIT@10': '0.0363', 'NDCG@10': '0.0181', 'HIT@20': '0.0612', 'NDCG@20': '0.0243'}
{'Epoch': 12, 'HIT@5': '0.0222', 'NDCG@5': '0.0139', 'HIT@10': '0.0383', 'NDCG@10': '0.0191', 'HIT@20': '0.0624', 'NDCG@20': '0.0252'}
