{'Epoch': 0, 'HIT@5': '0.0116', 'NDCG@5': '0.0068', 'HIT@10': '0.0196', 'NDCG@10': '0.0094', 'HIT@20': '0.0305', 'NDCG@20': '0.0121'}
{'Epoch': 1, 'HIT@5': '0.0120', 'NDCG@5': '0.0072', 'HIT@10': '0.0200', 'NDCG@10': '0.0098', 'HIT@20': '0.0340', 'NDCG@20': '0.0132'}
{'Epoch': 2, 'HIT@5': '0.0138', 'NDCG@5': '0.0083', 'HIT@10': '0.0227', 'NDCG@10': '0.0111', 'HIT@20': '0.0380', 'NDCG@20': '0.0149'}
{'Epoch': 3, 'HIT@5': '0.0133', 'NDCG@5': '0.0080', 'HIT@10': '0.0237', 'NDCG@10': '0.0114', 'HIT@20': '0.0394', 'NDCG@20': '0.0153'}
{'Epoch': 4, 'HIT@5': '0.0147', 'NDCG@5': '0.0091', 'HIT@10': '0.0262', 'NDCG@10': '0.0128', 'HIT@20': '0.0420', 'NDCG@20': '0.0167'}
{'Epoch': 5, 'HIT@5': '0.0152', 'NDCG@5': '0.0094', 'HIT@10': '0.0260', 'NDCG@10': '0.0129', 'HIT@20': '0.0440', 'NDCG@20': '0.0174'}
{'Epoch': 6, 'HIT@5': '0.0156', 'NDCG@5': '0.0094', 'HIT@10': '0.0270', 'NDCG@10': '0.0131', 'HIT@20': '0.0445', 'NDCG@20': '0.0174'}
{'Epoch': 7, 'HIT@5': '0.0164', 'NDCG@5': '0.0100', 'HIT@10': '0.0280', 'NDCG@10': '0.0137', 'HIT@20': '0.0452', 'NDCG@20': '0.0180'}
{'Epoch': 8, 'HIT@5': '0.0164', 'NDCG@5': '0.0100', 'HIT@10': '0.0275', 'NDCG@10': '0.0136', 'HIT@20': '0.0461', 'NDCG@20': '0.0183'}
{'Epoch': 9, 'HIT@5': '0.0164', 'NDCG@5': '0.0102', 'HIT@10': '0.0283', 'NDCG@10': '0.0141', 'HIT@20': '0.0468', 'NDCG@20': '0.0187'}
{'Epoch': 10, 'HIT@5': '0.0169', 'NDCG@5': '0.0102', 'HIT@10': '0.0291', 'NDCG@10': '0.0142', 'HIT@20': '0.0477', 'NDCG@20': '0.0189'}
{'Epoch': 11, 'HIT@5': '0.0178', 'NDCG@5': '0.0109', 'HIT@10': '0.0294', 'NDCG@10': '0.0146', 'HIT@20': '0.0481', 'NDCG@20': '0.0193'}
{'Epoch': 12, 'HIT@5': '0.0176', 'NDCG@5': '0.0109', 'HIT@10': '0.0291', 'NDCG@10': '0.0146', 'HIT@20': '0.0483', 'NDCG@20': '0.0194'}
{'Epoch': 13, 'HIT@5': '0.0175', 'NDCG@5': '0.0109', 'HIT@10': '0.0295', 'NDCG@10': '0.0147', 'HIT@20': '0.0485', 'NDCG@20': '0.0195'}
{'Epoch': 14, 'HIT@5': '0.0180', 'NDCG@5': '0.0109', 'HIT@10': '0.0300', 'NDCG@10': '0.0148', 'HIT@20': '0.0491', 'NDCG@20': '0.0196'}
{'Epoch': 15, 'HIT@5': '0.0174', 'NDCG@5': '0.0109', 'HIT@10': '0.0295', 'NDCG@10': '0.0147', 'HIT@20': '0.0494', 'NDCG@20': '0.0197'}
{'Epoch': 16, 'HIT@5': '0.0177', 'NDCG@5': '0.0109', 'HIT@10': '0.0309', 'NDCG@10': '0.0151', 'HIT@20': '0.0498', 'NDCG@20': '0.0199'}
{'Epoch': 17, 'HIT@5': '0.0177', 'NDCG@5': '0.0107', 'HIT@10': '0.0297', 'NDCG@10': '0.0146', 'HIT@20': '0.0504', 'NDCG@20': '0.0197'}
{'Epoch': 18, 'HIT@5': '0.0172', 'NDCG@5': '0.0107', 'HIT@10': '0.0299', 'NDCG@10': '0.0148', 'HIT@20': '0.0493', 'NDCG@20': '0.0196'}
{'Epoch': 19, 'HIT@5': '0.0175', 'NDCG@5': '0.0109', 'HIT@10': '0.0307', 'NDCG@10': '0.0151', 'HIT@20': '0.0514', 'NDCG@20': '0.0203'}
{'Epoch': 20, 'HIT@5': '0.0177', 'NDCG@5': '0.0110', 'HIT@10': '0.0310', 'NDCG@10': '0.0152', 'HIT@20': '0.0518', 'NDCG@20': '0.0204'}
{'Epoch': 21, 'HIT@5': '0.0180', 'NDCG@5': '0.0113', 'HIT@10': '0.0309', 'NDCG@10': '0.0154', 'HIT@20': '0.0523', 'NDCG@20': '0.0208'}
