{'Epoch': 0, 'HIT@5': '0.0157', 'NDCG@5': '0.0097', 'HIT@10': '0.0254', 'NDCG@10': '0.0128', 'HIT@20': '0.0412', 'NDCG@20': '0.0167'}
{'Epoch': 1, 'HIT@5': '0.0180', 'NDCG@5': '0.0112', 'HIT@10': '0.0304', 'NDCG@10': '0.0152', 'HIT@20': '0.0492', 'NDCG@20': '0.0199'}
{'Epoch': 2, 'HIT@5': '0.0186', 'NDCG@5': '0.0114', 'HIT@10': '0.0326', 'NDCG@10': '0.0159', 'HIT@20': '0.0528', 'NDCG@20': '0.0210'}
{'Epoch': 3, 'HIT@5': '0.0193', 'NDCG@5': '0.0122', 'HIT@10': '0.0341', 'NDCG@10': '0.0169', 'HIT@20': '0.0549', 'NDCG@20': '0.0221'}
{'Epoch': 4, 'HIT@5': '0.0198', 'NDCG@5': '0.0121', 'HIT@10': '0.0350', 'NDCG@10': '0.0170', 'HIT@20': '0.0565', 'NDCG@20': '0.0224'}
{'Epoch': 5, 'HIT@5': '0.0209', 'NDCG@5': '0.0130', 'HIT@10': '0.0362', 'NDCG@10': '0.0180', 'HIT@20': '0.0587', 'NDCG@20': '0.0236'}
{'Epoch': 6, 'HIT@5': '0.0206', 'NDCG@5': '0.0130', 'HIT@10': '0.0361', 'NDCG@10': '0.0180', 'HIT@20': '0.0585', 'NDCG@20': '0.0236'}
{'Epoch': 7, 'HIT@5': '0.0218', 'NDCG@5': '0.0135', 'HIT@10': '0.0370', 'NDCG@10': '0.0184', 'HIT@20': '0.0602', 'NDCG@20': '0.0242'}
{'Epoch': 8, 'HIT@5': '0.0221', 'NDCG@5': '0.0139', 'HIT@10': '0.0373', 'NDCG@10': '0.0188', 'HIT@20': '0.0623', 'NDCG@20': '0.0251'}
{'Epoch': 9, 'HIT@5': '0.0233', 'NDCG@5': '0.0145', 'HIT@10': '0.0387', 'NDCG@10': '0.0195', 'HIT@20': '0.0632', 'NDCG@20': '0.0256'}
{'Epoch': 10, 'HIT@5': '0.0232', 'NDCG@5': '0.0143', 'HIT@10': '0.0385', 'NDCG@10': '0.0192', 'HIT@20': '0.0641', 'NDCG@20': '0.0256'}
{'Epoch': 11, 'HIT@5': '0.0234', 'NDCG@5': '0.0146', 'HIT@10': '0.0396', 'NDCG@10': '0.0198', 'HIT@20': '0.0652', 'NDCG@20': '0.0262'}
{'Epoch': 12, 'HIT@5': '0.0236', 'NDCG@5': '0.0146', 'HIT@10': '0.0398', 'NDCG@10': '0.0197', 'HIT@20': '0.0655', 'NDCG@20': '0.0262'}
{'Epoch': 13, 'HIT@5': '0.0230', 'NDCG@5': '0.0144', 'HIT@10': '0.0405', 'NDCG@10': '0.0200', 'HIT@20': '0.0660', 'NDCG@20': '0.0264'}
{'Epoch': 14, 'HIT@5': '0.0237', 'NDCG@5': '0.0145', 'HIT@10': '0.0402', 'NDCG@10': '0.0198', 'HIT@20': '0.0668', 'NDCG@20': '0.0265'}
{'Epoch': 15, 'HIT@5': '0.0237', 'NDCG@5': '0.0148', 'HIT@10': '0.0418', 'NDCG@10': '0.0206', 'HIT@20': '0.0681', 'NDCG@20': '0.0272'}
{'Epoch': 16, 'HIT@5': '0.0238', 'NDCG@5': '0.0147', 'HIT@10': '0.0414', 'NDCG@10': '0.0203', 'HIT@20': '0.0673', 'NDCG@20': '0.0268'}
