{'Epoch': 0, 'HIT@5': '0.0055', 'NDCG@5': '0.0035', 'HIT@10': '0.0090', 'NDCG@10': '0.0046', 'HIT@20': '0.0163', 'NDCG@20': '0.0065'}
{'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0038', 'HIT@10': '0.0090', 'NDCG@10': '0.0049', 'HIT@20': '0.0156', 'NDCG@20': '0.0066'}
{'Epoch': 2, 'HIT@5': '0.0077', 'NDCG@5': '0.0050', 'HIT@10': '0.0128', 'NDCG@10': '0.0067', 'HIT@20': '0.0228', 'NDCG@20': '0.0092'}
{'Epoch': 3, 'HIT@5': '0.0111', 'NDCG@5': '0.0070', 'HIT@10': '0.0193', 'NDCG@10': '0.0097', 'HIT@20': '0.0315', 'NDCG@20': '0.0127'}
{'Epoch': 4, 'HIT@5': '0.0135', 'NDCG@5': '0.0085', 'HIT@10': '0.0225', 'NDCG@10': '0.0114', 'HIT@20': '0.0381', 'NDCG@20': '0.0153'}
{'Epoch': 5, 'HIT@5': '0.0141', 'NDCG@5': '0.0090', 'HIT@10': '0.0241', 'NDCG@10': '0.0122', 'HIT@20': '0.0385', 'NDCG@20': '0.0158'}
{'Epoch': 6, 'HIT@5': '0.0147', 'NDCG@5': '0.0092', 'HIT@10': '0.0249', 'NDCG@10': '0.0125', 'HIT@20': '0.0404', 'NDCG@20': '0.0164'}
{'Epoch': 7, 'HIT@5': '0.0151', 'NDCG@5': '0.0097', 'HIT@10': '0.0256', 'NDCG@10': '0.0131', 'HIT@20': '0.0420', 'NDCG@20': '0.0172'}
{'Epoch': 8, 'HIT@5': '0.0166', 'NDCG@5': '0.0105', 'HIT@10': '0.0271', 'NDCG@10': '0.0138', 'HIT@20': '0.0442', 'NDCG@20': '0.0181'}
{'Epoch': 9, 'HIT@5': '0.0163', 'NDCG@5': '0.0104', 'HIT@10': '0.0285', 'NDCG@10': '0.0143', 'HIT@20': '0.0456', 'NDCG@20': '0.0186'}
{'Epoch': 10, 'HIT@5': '0.0165', 'NDCG@5': '0.0105', 'HIT@10': '0.0279', 'NDCG@10': '0.0141', 'HIT@20': '0.0457', 'NDCG@20': '0.0186'}
{'Epoch': 11, 'HIT@5': '0.0166', 'NDCG@5': '0.0106', 'HIT@10': '0.0274', 'NDCG@10': '0.0140', 'HIT@20': '0.0458', 'NDCG@20': '0.0186'}
{'Epoch': 12, 'HIT@5': '0.0168', 'NDCG@5': '0.0105', 'HIT@10': '0.0289', 'NDCG@10': '0.0144', 'HIT@20': '0.0497', 'NDCG@20': '0.0196'}
{'Epoch': 13, 'HIT@5': '0.0151', 'NDCG@5': '0.0096', 'HIT@10': '0.0286', 'NDCG@10': '0.0140', 'HIT@20': '0.0481', 'NDCG@20': '0.0189'}
{'Epoch': 14, 'HIT@5': '0.0161', 'NDCG@5': '0.0102', 'HIT@10': '0.0302', 'NDCG@10': '0.0147', 'HIT@20': '0.0497', 'NDCG@20': '0.0196'}
{'Epoch': 15, 'HIT@5': '0.0171', 'NDCG@5': '0.0104', 'HIT@10': '0.0296', 'NDCG@10': '0.0144', 'HIT@20': '0.0487', 'NDCG@20': '0.0192'}
{'Epoch': 16, 'HIT@5': '0.0166', 'NDCG@5': '0.0105', 'HIT@10': '0.0286', 'NDCG@10': '0.0144', 'HIT@20': '0.0486', 'NDCG@20': '0.0194'}
{'Epoch': 17, 'HIT@5': '0.0172', 'NDCG@5': '0.0110', 'HIT@10': '0.0282', 'NDCG@10': '0.0145', 'HIT@20': '0.0479', 'NDCG@20': '0.0195'}
{'Epoch': 18, 'HIT@5': '0.0166', 'NDCG@5': '0.0104', 'HIT@10': '0.0299', 'NDCG@10': '0.0146', 'HIT@20': '0.0508', 'NDCG@20': '0.0199'}
{'Epoch': 19, 'HIT@5': '0.0169', 'NDCG@5': '0.0103', 'HIT@10': '0.0300', 'NDCG@10': '0.0145', 'HIT@20': '0.0498', 'NDCG@20': '0.0195'}
{'Epoch': 20, 'HIT@5': '0.0165', 'NDCG@5': '0.0103', 'HIT@10': '0.0295', 'NDCG@10': '0.0145', 'HIT@20': '0.0499', 'NDCG@20': '0.0196'}
{'Epoch': 21, 'HIT@5': '0.0162', 'NDCG@5': '0.0100', 'HIT@10': '0.0281', 'NDCG@10': '0.0138', 'HIT@20': '0.0495', 'NDCG@20': '0.0192'}
{'Epoch': 22, 'HIT@5': '0.0160', 'NDCG@5': '0.0098', 'HIT@10': '0.0282', 'NDCG@10': '0.0137', 'HIT@20': '0.0487', 'NDCG@20': '0.0188'}
{'Epoch': 23, 'HIT@5': '0.0175', 'NDCG@5': '0.0108', 'HIT@10': '0.0294', 'NDCG@10': '0.0146', 'HIT@20': '0.0495', 'NDCG@20': '0.0197'}
{'Epoch': 24, 'HIT@5': '0.0167', 'NDCG@5': '0.0107', 'HIT@10': '0.0290', 'NDCG@10': '0.0146', 'HIT@20': '0.0485', 'NDCG@20': '0.0195'}
{'Epoch': 25, 'HIT@5': '0.0166', 'NDCG@5': '0.0107', 'HIT@10': '0.0289', 'NDCG@10': '0.0146', 'HIT@20': '0.0485', 'NDCG@20': '0.0195'}
{'Epoch': 26, 'HIT@5': '0.0172', 'NDCG@5': '0.0107', 'HIT@10': '0.0290', 'NDCG@10': '0.0145', 'HIT@20': '0.0487', 'NDCG@20': '0.0194'}
{'Epoch': 27, 'HIT@5': '0.0175', 'NDCG@5': '0.0109', 'HIT@10': '0.0301', 'NDCG@10': '0.0149', 'HIT@20': '0.0496', 'NDCG@20': '0.0198'}
{'Epoch': 28, 'HIT@5': '0.0171', 'NDCG@5': '0.0105', 'HIT@10': '0.0296', 'NDCG@10': '0.0145', 'HIT@20': '0.0493', 'NDCG@20': '0.0195'}
{'Epoch': 28, 'HIT@5': '0.0170', 'NDCG@5': '0.0105', 'HIT@10': '0.0279', 'NDCG@10': '0.0140', 'HIT@20': '0.0448', 'NDCG@20': '0.0182'}
SASRec-Yelp-0-BCE
{'Epoch': 28, 'HIT@5': '0.0170', 'NDCG@5': '0.0105', 'HIT@10': '0.0279', 'NDCG@10': '0.0140', 'HIT@20': '0.0448', 'NDCG@20': '0.0182'}
