{'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0042', 'HIT@10': '0.0104', 'NDCG@10': '0.0055', 'HIT@20': '0.0180', 'NDCG@20': '0.0074'}
{'Epoch': 1, 'HIT@5': '0.0108', 'NDCG@5': '0.0068', 'HIT@10': '0.0184', 'NDCG@10': '0.0093', 'HIT@20': '0.0311', 'NDCG@20': '0.0124'}
{'Epoch': 2, 'HIT@5': '0.0169', 'NDCG@5': '0.0105', 'HIT@10': '0.0284', 'NDCG@10': '0.0142', 'HIT@20': '0.0465', 'NDCG@20': '0.0188'}
{'Epoch': 3, 'HIT@5': '0.0179', 'NDCG@5': '0.0114', 'HIT@10': '0.0308', 'NDCG@10': '0.0155', 'HIT@20': '0.0512', 'NDCG@20': '0.0207'}
{'Epoch': 4, 'HIT@5': '0.0194', 'NDCG@5': '0.0122', 'HIT@10': '0.0345', 'NDCG@10': '0.0170', 'HIT@20': '0.0571', 'NDCG@20': '0.0227'}
{'Epoch': 5, 'HIT@5': '0.0209', 'NDCG@5': '0.0129', 'HIT@10': '0.0368', 'NDCG@10': '0.0181', 'HIT@20': '0.0620', 'NDCG@20': '0.0244'}
{'Epoch': 6, 'HIT@5': '0.0232', 'NDCG@5': '0.0142', 'HIT@10': '0.0387', 'NDCG@10': '0.0192', 'HIT@20': '0.0646', 'NDCG@20': '0.0257'}
{'Epoch': 7, 'HIT@5': '0.0236', 'NDCG@5': '0.0145', 'HIT@10': '0.0409', 'NDCG@10': '0.0201', 'HIT@20': '0.0682', 'NDCG@20': '0.0269'}
{'Epoch': 8, 'HIT@5': '0.0250', 'NDCG@5': '0.0154', 'HIT@10': '0.0427', 'NDCG@10': '0.0210', 'HIT@20': '0.0713', 'NDCG@20': '0.0282'}
{'Epoch': 9, 'HIT@5': '0.0243', 'NDCG@5': '0.0150', 'HIT@10': '0.0431', 'NDCG@10': '0.0210', 'HIT@20': '0.0703', 'NDCG@20': '0.0278'}
{'Epoch': 10, 'HIT@5': '0.0248', 'NDCG@5': '0.0153', 'HIT@10': '0.0438', 'NDCG@10': '0.0214', 'HIT@20': '0.0714', 'NDCG@20': '0.0283'}
{'Epoch': 11, 'HIT@5': '0.0255', 'NDCG@5': '0.0161', 'HIT@10': '0.0443', 'NDCG@10': '0.0220', 'HIT@20': '0.0714', 'NDCG@20': '0.0288'}
{'Epoch': 12, 'HIT@5': '0.0258', 'NDCG@5': '0.0161', 'HIT@10': '0.0437', 'NDCG@10': '0.0218', 'HIT@20': '0.0701', 'NDCG@20': '0.0284'}
{'Epoch': 13, 'HIT@5': '0.0250', 'NDCG@5': '0.0158', 'HIT@10': '0.0428', 'NDCG@10': '0.0215', 'HIT@20': '0.0702', 'NDCG@20': '0.0284'}
{'Epoch': 14, 'HIT@5': '0.0251', 'NDCG@5': '0.0154', 'HIT@10': '0.0425', 'NDCG@10': '0.0210', 'HIT@20': '0.0695', 'NDCG@20': '0.0277'}
{'Epoch': 15, 'HIT@5': '0.0245', 'NDCG@5': '0.0153', 'HIT@10': '0.0409', 'NDCG@10': '0.0206', 'HIT@20': '0.0689', 'NDCG@20': '0.0276'}
{'Epoch': 16, 'HIT@5': '0.0250', 'NDCG@5': '0.0159', 'HIT@10': '0.0420', 'NDCG@10': '0.0213', 'HIT@20': '0.0694', 'NDCG@20': '0.0282'}
{'Epoch': 17, 'HIT@5': '0.0249', 'NDCG@5': '0.0153', 'HIT@10': '0.0428', 'NDCG@10': '0.0210', 'HIT@20': '0.0694', 'NDCG@20': '0.0277'}
{'Epoch': 18, 'HIT@5': '0.0252', 'NDCG@5': '0.0157', 'HIT@10': '0.0424', 'NDCG@10': '0.0212', 'HIT@20': '0.0703', 'NDCG@20': '0.0283'}
{'Epoch': 19, 'HIT@5': '0.0247', 'NDCG@5': '0.0155', 'HIT@10': '0.0428', 'NDCG@10': '0.0213', 'HIT@20': '0.0700', 'NDCG@20': '0.0282'}
{'Epoch': 20, 'HIT@5': '0.0248', 'NDCG@5': '0.0154', 'HIT@10': '0.0426', 'NDCG@10': '0.0211', 'HIT@20': '0.0690', 'NDCG@20': '0.0278'}
{'Epoch': 21, 'HIT@5': '0.0241', 'NDCG@5': '0.0152', 'HIT@10': '0.0429', 'NDCG@10': '0.0212', 'HIT@20': '0.0688', 'NDCG@20': '0.0277'}
{'Epoch': 21, 'HIT@5': '0.0228', 'NDCG@5': '0.0143', 'HIT@10': '0.0382', 'NDCG@10': '0.0193', 'HIT@20': '0.0618', 'NDCG@20': '0.0252'}
SASRec-Yelp-0-CCE
{'Epoch': 21, 'HIT@5': '0.0228', 'NDCG@5': '0.0143', 'HIT@10': '0.0382', 'NDCG@10': '0.0193', 'HIT@20': '0.0618', 'NDCG@20': '0.0252'}
