{'Epoch': 0, 'HIT@5': '0.0061', 'NDCG@5': '0.0036', 'HIT@10': '0.0103', 'NDCG@10': '0.0050', 'HIT@20': '0.0164', 'NDCG@20': '0.0065'}
{'Epoch': 1, 'HIT@5': '0.0060', 'NDCG@5': '0.0039', 'HIT@10': '0.0098', 'NDCG@10': '0.0051', 'HIT@20': '0.0163', 'NDCG@20': '0.0067'}
{'Epoch': 2, 'HIT@5': '0.0085', 'NDCG@5': '0.0055', 'HIT@10': '0.0160', 'NDCG@10': '0.0079', 'HIT@20': '0.0274', 'NDCG@20': '0.0107'}
{'Epoch': 3, 'HIT@5': '0.0086', 'NDCG@5': '0.0053', 'HIT@10': '0.0160', 'NDCG@10': '0.0077', 'HIT@20': '0.0288', 'NDCG@20': '0.0109'}
{'Epoch': 4, 'HIT@5': '0.0098', 'NDCG@5': '0.0061', 'HIT@10': '0.0192', 'NDCG@10': '0.0091', 'HIT@20': '0.0321', 'NDCG@20': '0.0123'}
{'Epoch': 5, 'HIT@5': '0.0110', 'NDCG@5': '0.0067', 'HIT@10': '0.0202', 'NDCG@10': '0.0096', 'HIT@20': '0.0339', 'NDCG@20': '0.0131'}
{'Epoch': 6, 'HIT@5': '0.0113', 'NDCG@5': '0.0069', 'HIT@10': '0.0199', 'NDCG@10': '0.0096', 'HIT@20': '0.0335', 'NDCG@20': '0.0130'}
{'Epoch': 7, 'HIT@5': '0.0107', 'NDCG@5': '0.0068', 'HIT@10': '0.0188', 'NDCG@10': '0.0094', 'HIT@20': '0.0314', 'NDCG@20': '0.0125'}
{'Epoch': 8, 'HIT@5': '0.0115', 'NDCG@5': '0.0075', 'HIT@10': '0.0191', 'NDCG@10': '0.0100', 'HIT@20': '0.0318', 'NDCG@20': '0.0132'}
{'Epoch': 9, 'HIT@5': '0.0118', 'NDCG@5': '0.0075', 'HIT@10': '0.0196', 'NDCG@10': '0.0101', 'HIT@20': '0.0323', 'NDCG@20': '0.0132'}
{'Epoch': 10, 'HIT@5': '0.0118', 'NDCG@5': '0.0074', 'HIT@10': '0.0196', 'NDCG@10': '0.0099', 'HIT@20': '0.0321', 'NDCG@20': '0.0131'}
{'Epoch': 11, 'HIT@5': '0.0122', 'NDCG@5': '0.0076', 'HIT@10': '0.0196', 'NDCG@10': '0.0100', 'HIT@20': '0.0328', 'NDCG@20': '0.0133'}
{'Epoch': 12, 'HIT@5': '0.0122', 'NDCG@5': '0.0077', 'HIT@10': '0.0203', 'NDCG@10': '0.0103', 'HIT@20': '0.0337', 'NDCG@20': '0.0136'}
{'Epoch': 13, 'HIT@5': '0.0132', 'NDCG@5': '0.0083', 'HIT@10': '0.0210', 'NDCG@10': '0.0108', 'HIT@20': '0.0341', 'NDCG@20': '0.0141'}
{'Epoch': 14, 'HIT@5': '0.0124', 'NDCG@5': '0.0080', 'HIT@10': '0.0204', 'NDCG@10': '0.0105', 'HIT@20': '0.0329', 'NDCG@20': '0.0137'}
{'Epoch': 15, 'HIT@5': '0.0127', 'NDCG@5': '0.0079', 'HIT@10': '0.0204', 'NDCG@10': '0.0104', 'HIT@20': '0.0337', 'NDCG@20': '0.0137'}
{'Epoch': 16, 'HIT@5': '0.0135', 'NDCG@5': '0.0084', 'HIT@10': '0.0210', 'NDCG@10': '0.0107', 'HIT@20': '0.0329', 'NDCG@20': '0.0137'}
{'Epoch': 17, 'HIT@5': '0.0126', 'NDCG@5': '0.0079', 'HIT@10': '0.0207', 'NDCG@10': '0.0105', 'HIT@20': '0.0323', 'NDCG@20': '0.0134'}
{'Epoch': 18, 'HIT@5': '0.0128', 'NDCG@5': '0.0081', 'HIT@10': '0.0203', 'NDCG@10': '0.0105', 'HIT@20': '0.0332', 'NDCG@20': '0.0138'}
{'Epoch': 19, 'HIT@5': '0.0129', 'NDCG@5': '0.0083', 'HIT@10': '0.0209', 'NDCG@10': '0.0109', 'HIT@20': '0.0325', 'NDCG@20': '0.0138'}
{'Epoch': 20, 'HIT@5': '0.0134', 'NDCG@5': '0.0083', 'HIT@10': '0.0210', 'NDCG@10': '0.0107', 'HIT@20': '0.0334', 'NDCG@20': '0.0138'}
{'Epoch': 21, 'HIT@5': '0.0126', 'NDCG@5': '0.0080', 'HIT@10': '0.0204', 'NDCG@10': '0.0105', 'HIT@20': '0.0321', 'NDCG@20': '0.0134'}
{'Epoch': 22, 'HIT@5': '0.0126', 'NDCG@5': '0.0079', 'HIT@10': '0.0206', 'NDCG@10': '0.0105', 'HIT@20': '0.0322', 'NDCG@20': '0.0134'}
{'Epoch': 23, 'HIT@5': '0.0125', 'NDCG@5': '0.0078', 'HIT@10': '0.0198', 'NDCG@10': '0.0101', 'HIT@20': '0.0318', 'NDCG@20': '0.0131'}
{'Epoch': 23, 'HIT@5': '0.0115', 'NDCG@5': '0.0077', 'HIT@10': '0.0191', 'NDCG@10': '0.0101', 'HIT@20': '0.0311', 'NDCG@20': '0.0131'}
SRGNN-Yelp-0-CCE
{'Epoch': 23, 'HIT@5': '0.0115', 'NDCG@5': '0.0077', 'HIT@10': '0.0191', 'NDCG@10': '0.0101', 'HIT@20': '0.0311', 'NDCG@20': '0.0131'}
