{'Epoch': 0, 'HIT@5': '0.0088', 'NDCG@5': '0.0056', 'HIT@10': '0.0141', 'NDCG@10': '0.0074', 'HIT@20': '0.0224', 'NDCG@20': '0.0095'}
{'Epoch': 1, 'HIT@5': '0.0129', 'NDCG@5': '0.0080', 'HIT@10': '0.0217', 'NDCG@10': '0.0108', 'HIT@20': '0.0350', 'NDCG@20': '0.0142'}
{'Epoch': 2, 'HIT@5': '0.0137', 'NDCG@5': '0.0088', 'HIT@10': '0.0234', 'NDCG@10': '0.0119', 'HIT@20': '0.0368', 'NDCG@20': '0.0153'}
{'Epoch': 3, 'HIT@5': '0.0162', 'NDCG@5': '0.0105', 'HIT@10': '0.0264', 'NDCG@10': '0.0137', 'HIT@20': '0.0415', 'NDCG@20': '0.0175'}
{'Epoch': 4, 'HIT@5': '0.0218', 'NDCG@5': '0.0138', 'HIT@10': '0.0341', 'NDCG@10': '0.0177', 'HIT@20': '0.0546', 'NDCG@20': '0.0229'}
{'Epoch': 5, 'HIT@5': '0.0252', 'NDCG@5': '0.0162', 'HIT@10': '0.0386', 'NDCG@10': '0.0205', 'HIT@20': '0.0594', 'NDCG@20': '0.0257'}
{'Epoch': 6, 'HIT@5': '0.0309', 'NDCG@5': '0.0200', 'HIT@10': '0.0477', 'NDCG@10': '0.0253', 'HIT@20': '0.0723', 'NDCG@20': '0.0316'}
{'Epoch': 7, 'HIT@5': '0.0340', 'NDCG@5': '0.0221', 'HIT@10': '0.0540', 'NDCG@10': '0.0285', 'HIT@20': '0.0825', 'NDCG@20': '0.0357'}
{'Epoch': 8, 'HIT@5': '0.0367', 'NDCG@5': '0.0234', 'HIT@10': '0.0581', 'NDCG@10': '0.0303', 'HIT@20': '0.0881', 'NDCG@20': '0.0378'}
{'Epoch': 9, 'HIT@5': '0.0372', 'NDCG@5': '0.0246', 'HIT@10': '0.0603', 'NDCG@10': '0.0320', 'HIT@20': '0.0930', 'NDCG@20': '0.0402'}
{'Epoch': 10, 'HIT@5': '0.0407', 'NDCG@5': '0.0259', 'HIT@10': '0.0623', 'NDCG@10': '0.0329', 'HIT@20': '0.0952', 'NDCG@20': '0.0411'}
{'Epoch': 11, 'HIT@5': '0.0403', 'NDCG@5': '0.0257', 'HIT@10': '0.0622', 'NDCG@10': '0.0327', 'HIT@20': '0.0939', 'NDCG@20': '0.0407'}
{'Epoch': 12, 'HIT@5': '0.0427', 'NDCG@5': '0.0279', 'HIT@10': '0.0673', 'NDCG@10': '0.0358', 'HIT@20': '0.1005', 'NDCG@20': '0.0442'}
