{'Epoch': 0, 'HIT@5': '0.0106', 'NDCG@5': '0.0064', 'HIT@10': '0.0214', 'NDCG@10': '0.0099', 'HIT@20': '0.0326', 'NDCG@20': '0.0127'}
{'Epoch': 1, 'HIT@5': '0.0131', 'NDCG@5': '0.0077', 'HIT@10': '0.0208', 'NDCG@10': '0.0101', 'HIT@20': '0.0334', 'NDCG@20': '0.0133'}
{'Epoch': 2, 'HIT@5': '0.0143', 'NDCG@5': '0.0086', 'HIT@10': '0.0232', 'NDCG@10': '0.0114', 'HIT@20': '0.0347', 'NDCG@20': '0.0143'}
{'Epoch': 3, 'HIT@5': '0.0166', 'NDCG@5': '0.0101', 'HIT@10': '0.0261', 'NDCG@10': '0.0132', 'HIT@20': '0.0388', 'NDCG@20': '0.0163'}
{'Epoch': 4, 'HIT@5': '0.0182', 'NDCG@5': '0.0116', 'HIT@10': '0.0282', 'NDCG@10': '0.0148', 'HIT@20': '0.0447', 'NDCG@20': '0.0189'}
{'Epoch': 5, 'HIT@5': '0.0179', 'NDCG@5': '0.0114', 'HIT@10': '0.0275', 'NDCG@10': '0.0145', 'HIT@20': '0.0445', 'NDCG@20': '0.0188'}
{'Epoch': 6, 'HIT@5': '0.0194', 'NDCG@5': '0.0123', 'HIT@10': '0.0294', 'NDCG@10': '0.0156', 'HIT@20': '0.0470', 'NDCG@20': '0.0200'}
{'Epoch': 7, 'HIT@5': '0.0203', 'NDCG@5': '0.0126', 'HIT@10': '0.0325', 'NDCG@10': '0.0165', 'HIT@20': '0.0501', 'NDCG@20': '0.0210'}
{'Epoch': 8, 'HIT@5': '0.0221', 'NDCG@5': '0.0136', 'HIT@10': '0.0351', 'NDCG@10': '0.0177', 'HIT@20': '0.0524', 'NDCG@20': '0.0221'}
{'Epoch': 9, 'HIT@5': '0.0225', 'NDCG@5': '0.0145', 'HIT@10': '0.0346', 'NDCG@10': '0.0184', 'HIT@20': '0.0537', 'NDCG@20': '0.0232'}
{'Epoch': 10, 'HIT@5': '0.0218', 'NDCG@5': '0.0141', 'HIT@10': '0.0357', 'NDCG@10': '0.0186', 'HIT@20': '0.0545', 'NDCG@20': '0.0233'}
{'Epoch': 11, 'HIT@5': '0.0228', 'NDCG@5': '0.0145', 'HIT@10': '0.0366', 'NDCG@10': '0.0189', 'HIT@20': '0.0564', 'NDCG@20': '0.0239'}
{'Epoch': 12, 'HIT@5': '0.0227', 'NDCG@5': '0.0142', 'HIT@10': '0.0361', 'NDCG@10': '0.0186', 'HIT@20': '0.0567', 'NDCG@20': '0.0237'}
{'Epoch': 13, 'HIT@5': '0.0244', 'NDCG@5': '0.0156', 'HIT@10': '0.0387', 'NDCG@10': '0.0201', 'HIT@20': '0.0589', 'NDCG@20': '0.0252'}
