{'Epoch': 0, 'HIT@5': '0.0256', 'NDCG@5': '0.0161', 'HIT@10': '0.0423', 'NDCG@10': '0.0215', 'HIT@20': '0.0710', 'NDCG@20': '0.0287'}
{'Epoch': 1, 'HIT@5': '0.0284', 'NDCG@5': '0.0178', 'HIT@10': '0.0485', 'NDCG@10': '0.0243', 'HIT@20': '0.0782', 'NDCG@20': '0.0317'}
{'Epoch': 2, 'HIT@5': '0.0297', 'NDCG@5': '0.0184', 'HIT@10': '0.0510', 'NDCG@10': '0.0252', 'HIT@20': '0.0836', 'NDCG@20': '0.0334'}
{'Epoch': 3, 'HIT@5': '0.0325', 'NDCG@5': '0.0196', 'HIT@10': '0.0554', 'NDCG@10': '0.0269', 'HIT@20': '0.0885', 'NDCG@20': '0.0352'}
{'Epoch': 4, 'HIT@5': '0.0339', 'NDCG@5': '0.0205', 'HIT@10': '0.0566', 'NDCG@10': '0.0277', 'HIT@20': '0.0912', 'NDCG@20': '0.0364'}
{'Epoch': 5, 'HIT@5': '0.0341', 'NDCG@5': '0.0210', 'HIT@10': '0.0590', 'NDCG@10': '0.0290', 'HIT@20': '0.0948', 'NDCG@20': '0.0380'}
{'Epoch': 6, 'HIT@5': '0.0360', 'NDCG@5': '0.0224', 'HIT@10': '0.0605', 'NDCG@10': '0.0303', 'HIT@20': '0.0983', 'NDCG@20': '0.0397'}
{'Epoch': 7, 'HIT@5': '0.0355', 'NDCG@5': '0.0220', 'HIT@10': '0.0609', 'NDCG@10': '0.0302', 'HIT@20': '0.1002', 'NDCG@20': '0.0400'}
{'Epoch': 8, 'HIT@5': '0.0358', 'NDCG@5': '0.0225', 'HIT@10': '0.0612', 'NDCG@10': '0.0306', 'HIT@20': '0.0991', 'NDCG@20': '0.0401'}
{'Epoch': 9, 'HIT@5': '0.0358', 'NDCG@5': '0.0224', 'HIT@10': '0.0617', 'NDCG@10': '0.0306', 'HIT@20': '0.1011', 'NDCG@20': '0.0405'}
{'Epoch': 10, 'HIT@5': '0.0373', 'NDCG@5': '0.0231', 'HIT@10': '0.0636', 'NDCG@10': '0.0316', 'HIT@20': '0.1017', 'NDCG@20': '0.0411'}
