{'Epoch': 0, 'HIT@5': '0.0375', 'NDCG@5': '0.0241', 'HIT@10': '0.0642', 'NDCG@10': '0.0326', 'HIT@20': '0.1004', 'NDCG@20': '0.0417'}
{'Epoch': 1, 'HIT@5': '0.0462', 'NDCG@5': '0.0299', 'HIT@10': '0.0739', 'NDCG@10': '0.0388', 'HIT@20': '0.1124', 'NDCG@20': '0.0484'}
{'Epoch': 2, 'HIT@5': '0.0500', 'NDCG@5': '0.0323', 'HIT@10': '0.0774', 'NDCG@10': '0.0411', 'HIT@20': '0.1189', 'NDCG@20': '0.0516'}
{'Epoch': 3, 'HIT@5': '0.0513', 'NDCG@5': '0.0336', 'HIT@10': '0.0796', 'NDCG@10': '0.0428', 'HIT@20': '0.1233', 'NDCG@20': '0.0538'}
{'Epoch': 4, 'HIT@5': '0.0526', 'NDCG@5': '0.0345', 'HIT@10': '0.0827', 'NDCG@10': '0.0442', 'HIT@20': '0.1263', 'NDCG@20': '0.0552'}
{'Epoch': 5, 'HIT@5': '0.0567', 'NDCG@5': '0.0368', 'HIT@10': '0.0863', 'NDCG@10': '0.0462', 'HIT@20': '0.1310', 'NDCG@20': '0.0575'}
{'Epoch': 6, 'HIT@5': '0.0570', 'NDCG@5': '0.0372', 'HIT@10': '0.0873', 'NDCG@10': '0.0469', 'HIT@20': '0.1317', 'NDCG@20': '0.0581'}
{'Epoch': 7, 'HIT@5': '0.0588', 'NDCG@5': '0.0387', 'HIT@10': '0.0894', 'NDCG@10': '0.0486', 'HIT@20': '0.1338', 'NDCG@20': '0.0597'}
{'Epoch': 8, 'HIT@5': '0.0603', 'NDCG@5': '0.0395', 'HIT@10': '0.0912', 'NDCG@10': '0.0494', 'HIT@20': '0.1359', 'NDCG@20': '0.0608'}
{'Epoch': 9, 'HIT@5': '0.0609', 'NDCG@5': '0.0405', 'HIT@10': '0.0935', 'NDCG@10': '0.0510', 'HIT@20': '0.1386', 'NDCG@20': '0.0623'}
{'Epoch': 10, 'HIT@5': '0.0626', 'NDCG@5': '0.0413', 'HIT@10': '0.0941', 'NDCG@10': '0.0514', 'HIT@20': '0.1397', 'NDCG@20': '0.0629'}
{'Epoch': 11, 'HIT@5': '0.0635', 'NDCG@5': '0.0421', 'HIT@10': '0.0960', 'NDCG@10': '0.0526', 'HIT@20': '0.1409', 'NDCG@20': '0.0639'}
{'Epoch': 12, 'HIT@5': '0.0652', 'NDCG@5': '0.0434', 'HIT@10': '0.0984', 'NDCG@10': '0.0540', 'HIT@20': '0.1430', 'NDCG@20': '0.0652'}
{'Epoch': 13, 'HIT@5': '0.0661', 'NDCG@5': '0.0439', 'HIT@10': '0.0986', 'NDCG@10': '0.0544', 'HIT@20': '0.1448', 'NDCG@20': '0.0660'}
{'Epoch': 14, 'HIT@5': '0.0668', 'NDCG@5': '0.0448', 'HIT@10': '0.0995', 'NDCG@10': '0.0553', 'HIT@20': '0.1448', 'NDCG@20': '0.0667'}
{'Epoch': 15, 'HIT@5': '0.0674', 'NDCG@5': '0.0452', 'HIT@10': '0.1027', 'NDCG@10': '0.0565', 'HIT@20': '0.1471', 'NDCG@20': '0.0677'}
{'Epoch': 16, 'HIT@5': '0.0687', 'NDCG@5': '0.0460', 'HIT@10': '0.1024', 'NDCG@10': '0.0569', 'HIT@20': '0.1481', 'NDCG@20': '0.0684'}
{'Epoch': 17, 'HIT@5': '0.0694', 'NDCG@5': '0.0468', 'HIT@10': '0.1032', 'NDCG@10': '0.0577', 'HIT@20': '0.1506', 'NDCG@20': '0.0696'}
{'Epoch': 18, 'HIT@5': '0.0704', 'NDCG@5': '0.0475', 'HIT@10': '0.1045', 'NDCG@10': '0.0585', 'HIT@20': '0.1515', 'NDCG@20': '0.0703'}
{'Epoch': 19, 'HIT@5': '0.0702', 'NDCG@5': '0.0476', 'HIT@10': '0.1064', 'NDCG@10': '0.0592', 'HIT@20': '0.1527', 'NDCG@20': '0.0709'}
{'Epoch': 20, 'HIT@5': '0.0726', 'NDCG@5': '0.0488', 'HIT@10': '0.1052', 'NDCG@10': '0.0592', 'HIT@20': '0.1532', 'NDCG@20': '0.0713'}
{'Epoch': 21, 'HIT@5': '0.0724', 'NDCG@5': '0.0491', 'HIT@10': '0.1075', 'NDCG@10': '0.0604', 'HIT@20': '0.1552', 'NDCG@20': '0.0723'}
{'Epoch': 22, 'HIT@5': '0.0749', 'NDCG@5': '0.0505', 'HIT@10': '0.1092', 'NDCG@10': '0.0615', 'HIT@20': '0.1555', 'NDCG@20': '0.0731'}
{'Epoch': 23, 'HIT@5': '0.0749', 'NDCG@5': '0.0508', 'HIT@10': '0.1092', 'NDCG@10': '0.0618', 'HIT@20': '0.1554', 'NDCG@20': '0.0734'}
{'Epoch': 24, 'HIT@5': '0.0766', 'NDCG@5': '0.0524', 'HIT@10': '0.1112', 'NDCG@10': '0.0635', 'HIT@20': '0.1571', 'NDCG@20': '0.0750'}
{'Epoch': 25, 'HIT@5': '0.0769', 'NDCG@5': '0.0523', 'HIT@10': '0.1109', 'NDCG@10': '0.0633', 'HIT@20': '0.1575', 'NDCG@20': '0.0750'}
{'Epoch': 26, 'HIT@5': '0.0785', 'NDCG@5': '0.0535', 'HIT@10': '0.1130', 'NDCG@10': '0.0647', 'HIT@20': '0.1581', 'NDCG@20': '0.0760'}
{'Epoch': 27, 'HIT@5': '0.0777', 'NDCG@5': '0.0531', 'HIT@10': '0.1116', 'NDCG@10': '0.0641', 'HIT@20': '0.1587', 'NDCG@20': '0.0759'}
{'Epoch': 28, 'HIT@5': '0.0779', 'NDCG@5': '0.0533', 'HIT@10': '0.1131', 'NDCG@10': '0.0646', 'HIT@20': '0.1593', 'NDCG@20': '0.0762'}
{'Epoch': 29, 'HIT@5': '0.0805', 'NDCG@5': '0.0550', 'HIT@10': '0.1133', 'NDCG@10': '0.0655', 'HIT@20': '0.1599', 'NDCG@20': '0.0772'}
{'Epoch': 30, 'HIT@5': '0.0794', 'NDCG@5': '0.0545', 'HIT@10': '0.1134', 'NDCG@10': '0.0654', 'HIT@20': '0.1606', 'NDCG@20': '0.0773'}
{'Epoch': 31, 'HIT@5': '0.0792', 'NDCG@5': '0.0548', 'HIT@10': '0.1149', 'NDCG@10': '0.0663', 'HIT@20': '0.1620', 'NDCG@20': '0.0782'}
{'Epoch': 32, 'HIT@5': '0.0806', 'NDCG@5': '0.0556', 'HIT@10': '0.1158', 'NDCG@10': '0.0669', 'HIT@20': '0.1617', 'NDCG@20': '0.0785'}
{'Epoch': 33, 'HIT@5': '0.0812', 'NDCG@5': '0.0557', 'HIT@10': '0.1167', 'NDCG@10': '0.0671', 'HIT@20': '0.1621', 'NDCG@20': '0.0786'}
{'Epoch': 34, 'HIT@5': '0.0821', 'NDCG@5': '0.0565', 'HIT@10': '0.1163', 'NDCG@10': '0.0674', 'HIT@20': '0.1631', 'NDCG@20': '0.0793'}
{'Epoch': 35, 'HIT@5': '0.0813', 'NDCG@5': '0.0559', 'HIT@10': '0.1168', 'NDCG@10': '0.0674', 'HIT@20': '0.1629', 'NDCG@20': '0.0790'}
