{'Epoch': 0, 'HIT@5': '0.0109', 'NDCG@5': '0.0063', 'HIT@10': '0.0177', 'NDCG@10': '0.0086', 'HIT@20': '0.0256', 'NDCG@20': '0.0106'}
{'Epoch': 1, 'HIT@5': '0.0118', 'NDCG@5': '0.0071', 'HIT@10': '0.0202', 'NDCG@10': '0.0098', 'HIT@20': '0.0291', 'NDCG@20': '0.0121'}
{'Epoch': 2, 'HIT@5': '0.0127', 'NDCG@5': '0.0082', 'HIT@10': '0.0228', 'NDCG@10': '0.0115', 'HIT@20': '0.0342', 'NDCG@20': '0.0143'}
{'Epoch': 3, 'HIT@5': '0.0145', 'NDCG@5': '0.0087', 'HIT@10': '0.0235', 'NDCG@10': '0.0116', 'HIT@20': '0.0370', 'NDCG@20': '0.0150'}
{'Epoch': 4, 'HIT@5': '0.0167', 'NDCG@5': '0.0105', 'HIT@10': '0.0267', 'NDCG@10': '0.0138', 'HIT@20': '0.0422', 'NDCG@20': '0.0176'}
{'Epoch': 5, 'HIT@5': '0.0186', 'NDCG@5': '0.0121', 'HIT@10': '0.0313', 'NDCG@10': '0.0162', 'HIT@20': '0.0493', 'NDCG@20': '0.0207'}
{'Epoch': 6, 'HIT@5': '0.0213', 'NDCG@5': '0.0126', 'HIT@10': '0.0359', 'NDCG@10': '0.0173', 'HIT@20': '0.0559', 'NDCG@20': '0.0223'}
{'Epoch': 7, 'HIT@5': '0.0226', 'NDCG@5': '0.0134', 'HIT@10': '0.0391', 'NDCG@10': '0.0188', 'HIT@20': '0.0597', 'NDCG@20': '0.0239'}
{'Epoch': 8, 'HIT@5': '0.0250', 'NDCG@5': '0.0150', 'HIT@10': '0.0409', 'NDCG@10': '0.0201', 'HIT@20': '0.0645', 'NDCG@20': '0.0260'}
{'Epoch': 9, 'HIT@5': '0.0287', 'NDCG@5': '0.0179', 'HIT@10': '0.0461', 'NDCG@10': '0.0235', 'HIT@20': '0.0705', 'NDCG@20': '0.0296'}
{'Epoch': 10, 'HIT@5': '0.0278', 'NDCG@5': '0.0172', 'HIT@10': '0.0451', 'NDCG@10': '0.0227', 'HIT@20': '0.0701', 'NDCG@20': '0.0290'}
{'Epoch': 11, 'HIT@5': '0.0296', 'NDCG@5': '0.0185', 'HIT@10': '0.0476', 'NDCG@10': '0.0243', 'HIT@20': '0.0762', 'NDCG@20': '0.0315'}
{'Epoch': 12, 'HIT@5': '0.0308', 'NDCG@5': '0.0192', 'HIT@10': '0.0514', 'NDCG@10': '0.0258', 'HIT@20': '0.0783', 'NDCG@20': '0.0326'}
{'Epoch': 13, 'HIT@5': '0.0336', 'NDCG@5': '0.0206', 'HIT@10': '0.0555', 'NDCG@10': '0.0276', 'HIT@20': '0.0837', 'NDCG@20': '0.0347'}
{'Epoch': 14, 'HIT@5': '0.0342', 'NDCG@5': '0.0210', 'HIT@10': '0.0565', 'NDCG@10': '0.0282', 'HIT@20': '0.0849', 'NDCG@20': '0.0354'}
{'Epoch': 15, 'HIT@5': '0.0358', 'NDCG@5': '0.0234', 'HIT@10': '0.0577', 'NDCG@10': '0.0305', 'HIT@20': '0.0882', 'NDCG@20': '0.0381'}
{'Epoch': 16, 'HIT@5': '0.0389', 'NDCG@5': '0.0253', 'HIT@10': '0.0614', 'NDCG@10': '0.0325', 'HIT@20': '0.0929', 'NDCG@20': '0.0404'}
{'Epoch': 17, 'HIT@5': '0.0381', 'NDCG@5': '0.0244', 'HIT@10': '0.0609', 'NDCG@10': '0.0317', 'HIT@20': '0.0936', 'NDCG@20': '0.0400'}
{'Epoch': 18, 'HIT@5': '0.0395', 'NDCG@5': '0.0253', 'HIT@10': '0.0631', 'NDCG@10': '0.0329', 'HIT@20': '0.0961', 'NDCG@20': '0.0412'}
{'Epoch': 19, 'HIT@5': '0.0386', 'NDCG@5': '0.0252', 'HIT@10': '0.0630', 'NDCG@10': '0.0330', 'HIT@20': '0.0964', 'NDCG@20': '0.0414'}
{'Epoch': 20, 'HIT@5': '0.0394', 'NDCG@5': '0.0254', 'HIT@10': '0.0637', 'NDCG@10': '0.0332', 'HIT@20': '0.0963', 'NDCG@20': '0.0414'}
{'Epoch': 21, 'HIT@5': '0.0408', 'NDCG@5': '0.0265', 'HIT@10': '0.0643', 'NDCG@10': '0.0340', 'HIT@20': '0.0958', 'NDCG@20': '0.0420'}
