{'Epoch': 0, 'HIT@5': '0.0114', 'NDCG@5': '0.0068', 'HIT@10': '0.0186', 'NDCG@10': '0.0091', 'HIT@20': '0.0284', 'NDCG@20': '0.0116'}
{'Epoch': 1, 'HIT@5': '0.0158', 'NDCG@5': '0.0099', 'HIT@10': '0.0260', 'NDCG@10': '0.0132', 'HIT@20': '0.0379', 'NDCG@20': '0.0162'}
{'Epoch': 2, 'HIT@5': '0.0260', 'NDCG@5': '0.0169', 'HIT@10': '0.0427', 'NDCG@10': '0.0222', 'HIT@20': '0.0611', 'NDCG@20': '0.0269'}
{'Epoch': 3, 'HIT@5': '0.0369', 'NDCG@5': '0.0243', 'HIT@10': '0.0563', 'NDCG@10': '0.0306', 'HIT@20': '0.0863', 'NDCG@20': '0.0381'}
{'Epoch': 4, 'HIT@5': '0.0456', 'NDCG@5': '0.0303', 'HIT@10': '0.0679', 'NDCG@10': '0.0374', 'HIT@20': '0.1020', 'NDCG@20': '0.0460'}
{'Epoch': 5, 'HIT@5': '0.0532', 'NDCG@5': '0.0359', 'HIT@10': '0.0770', 'NDCG@10': '0.0437', 'HIT@20': '0.1101', 'NDCG@20': '0.0520'}
{'Epoch': 6, 'HIT@5': '0.0590', 'NDCG@5': '0.0406', 'HIT@10': '0.0855', 'NDCG@10': '0.0492', 'HIT@20': '0.1192', 'NDCG@20': '0.0576'}
{'Epoch': 7, 'HIT@5': '0.0656', 'NDCG@5': '0.0456', 'HIT@10': '0.0906', 'NDCG@10': '0.0537', 'HIT@20': '0.1264', 'NDCG@20': '0.0627'}
{'Epoch': 8, 'HIT@5': '0.0702', 'NDCG@5': '0.0496', 'HIT@10': '0.0963', 'NDCG@10': '0.0580', 'HIT@20': '0.1325', 'NDCG@20': '0.0671'}
{'Epoch': 9, 'HIT@5': '0.0736', 'NDCG@5': '0.0518', 'HIT@10': '0.1011', 'NDCG@10': '0.0606', 'HIT@20': '0.1353', 'NDCG@20': '0.0692'}
{'Epoch': 10, 'HIT@5': '0.0759', 'NDCG@5': '0.0540', 'HIT@10': '0.1036', 'NDCG@10': '0.0629', 'HIT@20': '0.1406', 'NDCG@20': '0.0722'}
{'Epoch': 11, 'HIT@5': '0.0784', 'NDCG@5': '0.0560', 'HIT@10': '0.1069', 'NDCG@10': '0.0652', 'HIT@20': '0.1429', 'NDCG@20': '0.0743'}
{'Epoch': 12, 'HIT@5': '0.0801', 'NDCG@5': '0.0575', 'HIT@10': '0.1084', 'NDCG@10': '0.0667', 'HIT@20': '0.1449', 'NDCG@20': '0.0758'}
{'Epoch': 13, 'HIT@5': '0.0817', 'NDCG@5': '0.0582', 'HIT@10': '0.1102', 'NDCG@10': '0.0674', 'HIT@20': '0.1470', 'NDCG@20': '0.0766'}
{'Epoch': 14, 'HIT@5': '0.0834', 'NDCG@5': '0.0594', 'HIT@10': '0.1109', 'NDCG@10': '0.0683', 'HIT@20': '0.1479', 'NDCG@20': '0.0775'}
