{'Epoch': 0, 'HIT@5': '0.0048', 'NDCG@5': '0.0028', 'HIT@10': '0.0112', 'NDCG@10': '0.0048', 'HIT@20': '0.0251', 'NDCG@20': '0.0083'}
{'Epoch': 1, 'HIT@5': '0.0105', 'NDCG@5': '0.0068', 'HIT@10': '0.0190', 'NDCG@10': '0.0096', 'HIT@20': '0.0286', 'NDCG@20': '0.0120'}
{'Epoch': 2, 'HIT@5': '0.0148', 'NDCG@5': '0.0094', 'HIT@10': '0.0255', 'NDCG@10': '0.0129', 'HIT@20': '0.0389', 'NDCG@20': '0.0162'}
{'Epoch': 3, 'HIT@5': '0.0156', 'NDCG@5': '0.0099', 'HIT@10': '0.0265', 'NDCG@10': '0.0134', 'HIT@20': '0.0432', 'NDCG@20': '0.0176'}
{'Epoch': 4, 'HIT@5': '0.0249', 'NDCG@5': '0.0160', 'HIT@10': '0.0386', 'NDCG@10': '0.0204', 'HIT@20': '0.0585', 'NDCG@20': '0.0254'}
{'Epoch': 5, 'HIT@5': '0.0336', 'NDCG@5': '0.0229', 'HIT@10': '0.0470', 'NDCG@10': '0.0272', 'HIT@20': '0.0679', 'NDCG@20': '0.0325'}
{'Epoch': 6, 'HIT@5': '0.0395', 'NDCG@5': '0.0281', 'HIT@10': '0.0548', 'NDCG@10': '0.0331', 'HIT@20': '0.0767', 'NDCG@20': '0.0386'}
{'Epoch': 7, 'HIT@5': '0.0472', 'NDCG@5': '0.0343', 'HIT@10': '0.0633', 'NDCG@10': '0.0394', 'HIT@20': '0.0860', 'NDCG@20': '0.0451'}
{'Epoch': 8, 'HIT@5': '0.0515', 'NDCG@5': '0.0385', 'HIT@10': '0.0700', 'NDCG@10': '0.0445', 'HIT@20': '0.0919', 'NDCG@20': '0.0500'}
{'Epoch': 9, 'HIT@5': '0.0560', 'NDCG@5': '0.0418', 'HIT@10': '0.0720', 'NDCG@10': '0.0470', 'HIT@20': '0.0945', 'NDCG@20': '0.0526'}
{'Epoch': 10, 'HIT@5': '0.0586', 'NDCG@5': '0.0438', 'HIT@10': '0.0749', 'NDCG@10': '0.0491', 'HIT@20': '0.0971', 'NDCG@20': '0.0547'}
{'Epoch': 11, 'HIT@5': '0.0604', 'NDCG@5': '0.0449', 'HIT@10': '0.0769', 'NDCG@10': '0.0502', 'HIT@20': '0.0993', 'NDCG@20': '0.0559'}
{'Epoch': 12, 'HIT@5': '0.0600', 'NDCG@5': '0.0444', 'HIT@10': '0.0781', 'NDCG@10': '0.0502', 'HIT@20': '0.0987', 'NDCG@20': '0.0554'}
