{'Epoch': 0, 'HIT@5': '0.0037', 'NDCG@5': '0.0018', 'HIT@10': '0.0138', 'NDCG@10': '0.0050', 'HIT@20': '0.0202', 'NDCG@20': '0.0066'}
{'Epoch': 1, 'HIT@5': '0.0101', 'NDCG@5': '0.0053', 'HIT@10': '0.0147', 'NDCG@10': '0.0068', 'HIT@20': '0.0275', 'NDCG@20': '0.0099'}
{'Epoch': 2, 'HIT@5': '0.0119', 'NDCG@5': '0.0061', 'HIT@10': '0.0193', 'NDCG@10': '0.0083', 'HIT@20': '0.0284', 'NDCG@20': '0.0106'}
{'Epoch': 3, 'HIT@5': '0.0083', 'NDCG@5': '0.0048', 'HIT@10': '0.0229', 'NDCG@10': '0.0095', 'HIT@20': '0.0294', 'NDCG@20': '0.0111'}
{'Epoch': 4, 'HIT@5': '0.0138', 'NDCG@5': '0.0093', 'HIT@10': '0.0211', 'NDCG@10': '0.0117', 'HIT@20': '0.0422', 'NDCG@20': '0.0169'}
{'Epoch': 5, 'HIT@5': '0.0202', 'NDCG@5': '0.0126', 'HIT@10': '0.0358', 'NDCG@10': '0.0176', 'HIT@20': '0.0596', 'NDCG@20': '0.0235'}
{'Epoch': 6, 'HIT@5': '0.0220', 'NDCG@5': '0.0132', 'HIT@10': '0.0385', 'NDCG@10': '0.0187', 'HIT@20': '0.0569', 'NDCG@20': '0.0232'}
{'Epoch': 7, 'HIT@5': '0.0257', 'NDCG@5': '0.0160', 'HIT@10': '0.0385', 'NDCG@10': '0.0201', 'HIT@20': '0.0587', 'NDCG@20': '0.0252'}
{'Epoch': 8, 'HIT@5': '0.0266', 'NDCG@5': '0.0166', 'HIT@10': '0.0394', 'NDCG@10': '0.0207', 'HIT@20': '0.0596', 'NDCG@20': '0.0258'}
{'Epoch': 9, 'HIT@5': '0.0275', 'NDCG@5': '0.0191', 'HIT@10': '0.0413', 'NDCG@10': '0.0235', 'HIT@20': '0.0615', 'NDCG@20': '0.0285'}
{'Epoch': 10, 'HIT@5': '0.0266', 'NDCG@5': '0.0183', 'HIT@10': '0.0431', 'NDCG@10': '0.0235', 'HIT@20': '0.0615', 'NDCG@20': '0.0280'}
{'Epoch': 11, 'HIT@5': '0.0257', 'NDCG@5': '0.0177', 'HIT@10': '0.0385', 'NDCG@10': '0.0218', 'HIT@20': '0.0606', 'NDCG@20': '0.0273'}
{'Epoch': 12, 'HIT@5': '0.0257', 'NDCG@5': '0.0179', 'HIT@10': '0.0385', 'NDCG@10': '0.0219', 'HIT@20': '0.0569', 'NDCG@20': '0.0265'}
{'Epoch': 13, 'HIT@5': '0.0275', 'NDCG@5': '0.0192', 'HIT@10': '0.0385', 'NDCG@10': '0.0227', 'HIT@20': '0.0578', 'NDCG@20': '0.0275'}
{'Epoch': 14, 'HIT@5': '0.0275', 'NDCG@5': '0.0189', 'HIT@10': '0.0376', 'NDCG@10': '0.0221', 'HIT@20': '0.0569', 'NDCG@20': '0.0269'}
{'Epoch': 15, 'HIT@5': '0.0257', 'NDCG@5': '0.0181', 'HIT@10': '0.0376', 'NDCG@10': '0.0220', 'HIT@20': '0.0569', 'NDCG@20': '0.0268'}
{'Epoch': 16, 'HIT@5': '0.0275', 'NDCG@5': '0.0191', 'HIT@10': '0.0385', 'NDCG@10': '0.0227', 'HIT@20': '0.0606', 'NDCG@20': '0.0282'}
{'Epoch': 17, 'HIT@5': '0.0266', 'NDCG@5': '0.0183', 'HIT@10': '0.0422', 'NDCG@10': '0.0233', 'HIT@20': '0.0569', 'NDCG@20': '0.0269'}
{'Epoch': 18, 'HIT@5': '0.0284', 'NDCG@5': '0.0190', 'HIT@10': '0.0431', 'NDCG@10': '0.0236', 'HIT@20': '0.0606', 'NDCG@20': '0.0278'}
{'Epoch': 19, 'HIT@5': '0.0266', 'NDCG@5': '0.0170', 'HIT@10': '0.0431', 'NDCG@10': '0.0223', 'HIT@20': '0.0578', 'NDCG@20': '0.0259'}
{'Epoch': 19, 'HIT@5': '0.0312', 'NDCG@5': '0.0211', 'HIT@10': '0.0468', 'NDCG@10': '0.0261', 'HIT@20': '0.0560', 'NDCG@20': '0.0284'}
GRU4Rec-LastFM-0-CCE
{'Epoch': 19, 'HIT@5': '0.0312', 'NDCG@5': '0.0211', 'HIT@10': '0.0468', 'NDCG@10': '0.0261', 'HIT@20': '0.0560', 'NDCG@20': '0.0284'}
