{'Epoch': 0, 'HIT@5': '0.0046', 'NDCG@5': '0.0042', 'HIT@10': '0.0046', 'NDCG@10': '0.0042', 'HIT@20': '0.0073', 'NDCG@20': '0.0049'}
{'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0046', 'HIT@10': '0.0083', 'NDCG@10': '0.0054', 'HIT@20': '0.0156', 'NDCG@20': '0.0073'}
{'Epoch': 2, 'HIT@5': '0.0083', 'NDCG@5': '0.0060', 'HIT@10': '0.0119', 'NDCG@10': '0.0072', 'HIT@20': '0.0248', 'NDCG@20': '0.0104'}
{'Epoch': 3, 'HIT@5': '0.0101', 'NDCG@5': '0.0068', 'HIT@10': '0.0165', 'NDCG@10': '0.0087', 'HIT@20': '0.0312', 'NDCG@20': '0.0124'}
{'Epoch': 4, 'HIT@5': '0.0092', 'NDCG@5': '0.0057', 'HIT@10': '0.0147', 'NDCG@10': '0.0075', 'HIT@20': '0.0330', 'NDCG@20': '0.0121'}
{'Epoch': 5, 'HIT@5': '0.0119', 'NDCG@5': '0.0070', 'HIT@10': '0.0138', 'NDCG@10': '0.0076', 'HIT@20': '0.0339', 'NDCG@20': '0.0128'}
{'Epoch': 6, 'HIT@5': '0.0119', 'NDCG@5': '0.0064', 'HIT@10': '0.0266', 'NDCG@10': '0.0109', 'HIT@20': '0.0413', 'NDCG@20': '0.0145'}
{'Epoch': 7, 'HIT@5': '0.0092', 'NDCG@5': '0.0053', 'HIT@10': '0.0211', 'NDCG@10': '0.0089', 'HIT@20': '0.0422', 'NDCG@20': '0.0144'}
{'Epoch': 8, 'HIT@5': '0.0064', 'NDCG@5': '0.0042', 'HIT@10': '0.0138', 'NDCG@10': '0.0066', 'HIT@20': '0.0477', 'NDCG@20': '0.0152'}
{'Epoch': 9, 'HIT@5': '0.0165', 'NDCG@5': '0.0091', 'HIT@10': '0.0266', 'NDCG@10': '0.0123', 'HIT@20': '0.0459', 'NDCG@20': '0.0170'}
{'Epoch': 10, 'HIT@5': '0.0193', 'NDCG@5': '0.0130', 'HIT@10': '0.0266', 'NDCG@10': '0.0153', 'HIT@20': '0.0486', 'NDCG@20': '0.0208'}
{'Epoch': 11, 'HIT@5': '0.0156', 'NDCG@5': '0.0091', 'HIT@10': '0.0284', 'NDCG@10': '0.0133', 'HIT@20': '0.0523', 'NDCG@20': '0.0192'}
{'Epoch': 12, 'HIT@5': '0.0174', 'NDCG@5': '0.0089', 'HIT@10': '0.0275', 'NDCG@10': '0.0122', 'HIT@20': '0.0505', 'NDCG@20': '0.0180'}
{'Epoch': 13, 'HIT@5': '0.0147', 'NDCG@5': '0.0076', 'HIT@10': '0.0294', 'NDCG@10': '0.0123', 'HIT@20': '0.0459', 'NDCG@20': '0.0164'}
{'Epoch': 14, 'HIT@5': '0.0165', 'NDCG@5': '0.0082', 'HIT@10': '0.0266', 'NDCG@10': '0.0114', 'HIT@20': '0.0440', 'NDCG@20': '0.0158'}
{'Epoch': 15, 'HIT@5': '0.0156', 'NDCG@5': '0.0075', 'HIT@10': '0.0275', 'NDCG@10': '0.0112', 'HIT@20': '0.0404', 'NDCG@20': '0.0144'}
{'Epoch': 16, 'HIT@5': '0.0119', 'NDCG@5': '0.0064', 'HIT@10': '0.0275', 'NDCG@10': '0.0114', 'HIT@20': '0.0431', 'NDCG@20': '0.0153'}
{'Epoch': 17, 'HIT@5': '0.0110', 'NDCG@5': '0.0062', 'HIT@10': '0.0294', 'NDCG@10': '0.0120', 'HIT@20': '0.0486', 'NDCG@20': '0.0167'}
{'Epoch': 18, 'HIT@5': '0.0110', 'NDCG@5': '0.0062', 'HIT@10': '0.0294', 'NDCG@10': '0.0121', 'HIT@20': '0.0459', 'NDCG@20': '0.0162'}
{'Epoch': 19, 'HIT@5': '0.0119', 'NDCG@5': '0.0066', 'HIT@10': '0.0303', 'NDCG@10': '0.0124', 'HIT@20': '0.0431', 'NDCG@20': '0.0155'}
{'Epoch': 20, 'HIT@5': '0.0119', 'NDCG@5': '0.0077', 'HIT@10': '0.0303', 'NDCG@10': '0.0136', 'HIT@20': '0.0468', 'NDCG@20': '0.0177'}
{'Epoch': 20, 'HIT@5': '0.0211', 'NDCG@5': '0.0140', 'HIT@10': '0.0321', 'NDCG@10': '0.0176', 'HIT@20': '0.0477', 'NDCG@20': '0.0216'}
GRU4Rec-LastFM-0-CE
{'Epoch': 20, 'HIT@5': '0.0211', 'NDCG@5': '0.0140', 'HIT@10': '0.0321', 'NDCG@10': '0.0176', 'HIT@20': '0.0477', 'NDCG@20': '0.0216'}
