{'Epoch': 0, 'HIT@5': '0.0165', 'NDCG@5': '0.0089', 'HIT@10': '0.0294', 'NDCG@10': '0.0129', 'HIT@20': '0.0541', 'NDCG@20': '0.0192'}
{'Epoch': 1, 'HIT@5': '0.0165', 'NDCG@5': '0.0093', 'HIT@10': '0.0312', 'NDCG@10': '0.0140', 'HIT@20': '0.0550', 'NDCG@20': '0.0201'}
{'Epoch': 2, 'HIT@5': '0.0174', 'NDCG@5': '0.0103', 'HIT@10': '0.0349', 'NDCG@10': '0.0159', 'HIT@20': '0.0651', 'NDCG@20': '0.0233'}
{'Epoch': 3, 'HIT@5': '0.0202', 'NDCG@5': '0.0122', 'HIT@10': '0.0376', 'NDCG@10': '0.0178', 'HIT@20': '0.0697', 'NDCG@20': '0.0259'}
{'Epoch': 4, 'HIT@5': '0.0229', 'NDCG@5': '0.0133', 'HIT@10': '0.0422', 'NDCG@10': '0.0195', 'HIT@20': '0.0761', 'NDCG@20': '0.0280'}
{'Epoch': 5, 'HIT@5': '0.0257', 'NDCG@5': '0.0148', 'HIT@10': '0.0450', 'NDCG@10': '0.0209', 'HIT@20': '0.0798', 'NDCG@20': '0.0296'}
{'Epoch': 6, 'HIT@5': '0.0275', 'NDCG@5': '0.0159', 'HIT@10': '0.0468', 'NDCG@10': '0.0221', 'HIT@20': '0.0835', 'NDCG@20': '0.0312'}
{'Epoch': 7, 'HIT@5': '0.0303', 'NDCG@5': '0.0176', 'HIT@10': '0.0486', 'NDCG@10': '0.0234', 'HIT@20': '0.0844', 'NDCG@20': '0.0323'}
{'Epoch': 8, 'HIT@5': '0.0312', 'NDCG@5': '0.0182', 'HIT@10': '0.0486', 'NDCG@10': '0.0238', 'HIT@20': '0.0917', 'NDCG@20': '0.0344'}
{'Epoch': 9, 'HIT@5': '0.0312', 'NDCG@5': '0.0193', 'HIT@10': '0.0505', 'NDCG@10': '0.0255', 'HIT@20': '0.0917', 'NDCG@20': '0.0356'}
{'Epoch': 10, 'HIT@5': '0.0330', 'NDCG@5': '0.0200', 'HIT@10': '0.0523', 'NDCG@10': '0.0261', 'HIT@20': '0.0899', 'NDCG@20': '0.0354'}
{'Epoch': 11, 'HIT@5': '0.0303', 'NDCG@5': '0.0183', 'HIT@10': '0.0514', 'NDCG@10': '0.0252', 'HIT@20': '0.0982', 'NDCG@20': '0.0368'}
{'Epoch': 12, 'HIT@5': '0.0294', 'NDCG@5': '0.0185', 'HIT@10': '0.0541', 'NDCG@10': '0.0266', 'HIT@20': '0.1028', 'NDCG@20': '0.0386'}
{'Epoch': 13, 'HIT@5': '0.0294', 'NDCG@5': '0.0189', 'HIT@10': '0.0532', 'NDCG@10': '0.0266', 'HIT@20': '0.1055', 'NDCG@20': '0.0397'}
{'Epoch': 14, 'HIT@5': '0.0294', 'NDCG@5': '0.0185', 'HIT@10': '0.0569', 'NDCG@10': '0.0274', 'HIT@20': '0.1156', 'NDCG@20': '0.0419'}
{'Epoch': 15, 'HIT@5': '0.0312', 'NDCG@5': '0.0191', 'HIT@10': '0.0550', 'NDCG@10': '0.0270', 'HIT@20': '0.1183', 'NDCG@20': '0.0428'}
{'Epoch': 16, 'HIT@5': '0.0330', 'NDCG@5': '0.0198', 'HIT@10': '0.0615', 'NDCG@10': '0.0290', 'HIT@20': '0.1202', 'NDCG@20': '0.0435'}
{'Epoch': 17, 'HIT@5': '0.0312', 'NDCG@5': '0.0193', 'HIT@10': '0.0642', 'NDCG@10': '0.0299', 'HIT@20': '0.1257', 'NDCG@20': '0.0451'}
{'Epoch': 18, 'HIT@5': '0.0321', 'NDCG@5': '0.0195', 'HIT@10': '0.0651', 'NDCG@10': '0.0303', 'HIT@20': '0.1284', 'NDCG@20': '0.0459'}
{'Epoch': 19, 'HIT@5': '0.0385', 'NDCG@5': '0.0230', 'HIT@10': '0.0697', 'NDCG@10': '0.0332', 'HIT@20': '0.1275', 'NDCG@20': '0.0476'}
{'Epoch': 20, 'HIT@5': '0.0440', 'NDCG@5': '0.0264', 'HIT@10': '0.0706', 'NDCG@10': '0.0350', 'HIT@20': '0.1339', 'NDCG@20': '0.0506'}
{'Epoch': 21, 'HIT@5': '0.0376', 'NDCG@5': '0.0240', 'HIT@10': '0.0734', 'NDCG@10': '0.0354', 'HIT@20': '0.1275', 'NDCG@20': '0.0489'}
{'Epoch': 22, 'HIT@5': '0.0367', 'NDCG@5': '0.0235', 'HIT@10': '0.0743', 'NDCG@10': '0.0357', 'HIT@20': '0.1275', 'NDCG@20': '0.0490'}
{'Epoch': 23, 'HIT@5': '0.0404', 'NDCG@5': '0.0243', 'HIT@10': '0.0734', 'NDCG@10': '0.0350', 'HIT@20': '0.1312', 'NDCG@20': '0.0494'}
{'Epoch': 24, 'HIT@5': '0.0413', 'NDCG@5': '0.0249', 'HIT@10': '0.0706', 'NDCG@10': '0.0343', 'HIT@20': '0.1339', 'NDCG@20': '0.0501'}
{'Epoch': 25, 'HIT@5': '0.0422', 'NDCG@5': '0.0255', 'HIT@10': '0.0743', 'NDCG@10': '0.0357', 'HIT@20': '0.1303', 'NDCG@20': '0.0497'}
{'Epoch': 26, 'HIT@5': '0.0404', 'NDCG@5': '0.0245', 'HIT@10': '0.0743', 'NDCG@10': '0.0354', 'HIT@20': '0.1321', 'NDCG@20': '0.0499'}
{'Epoch': 27, 'HIT@5': '0.0431', 'NDCG@5': '0.0256', 'HIT@10': '0.0780', 'NDCG@10': '0.0366', 'HIT@20': '0.1367', 'NDCG@20': '0.0512'}
{'Epoch': 28, 'HIT@5': '0.0422', 'NDCG@5': '0.0253', 'HIT@10': '0.0817', 'NDCG@10': '0.0377', 'HIT@20': '0.1349', 'NDCG@20': '0.0509'}
{'Epoch': 29, 'HIT@5': '0.0422', 'NDCG@5': '0.0254', 'HIT@10': '0.0817', 'NDCG@10': '0.0380', 'HIT@20': '0.1394', 'NDCG@20': '0.0524'}
{'Epoch': 30, 'HIT@5': '0.0404', 'NDCG@5': '0.0250', 'HIT@10': '0.0807', 'NDCG@10': '0.0380', 'HIT@20': '0.1431', 'NDCG@20': '0.0535'}
{'Epoch': 31, 'HIT@5': '0.0431', 'NDCG@5': '0.0266', 'HIT@10': '0.0789', 'NDCG@10': '0.0381', 'HIT@20': '0.1376', 'NDCG@20': '0.0528'}
{'Epoch': 32, 'HIT@5': '0.0440', 'NDCG@5': '0.0287', 'HIT@10': '0.0780', 'NDCG@10': '0.0397', 'HIT@20': '0.1330', 'NDCG@20': '0.0535'}
