{'Epoch': 0, 'HIT@5': '0.0193', 'NDCG@5': '0.0104', 'HIT@10': '0.0358', 'NDCG@10': '0.0156', 'HIT@20': '0.0541', 'NDCG@20': '0.0203'}
{'Epoch': 1, 'HIT@5': '0.0239', 'NDCG@5': '0.0132', 'HIT@10': '0.0404', 'NDCG@10': '0.0186', 'HIT@20': '0.0624', 'NDCG@20': '0.0241'}
{'Epoch': 2, 'HIT@5': '0.0266', 'NDCG@5': '0.0143', 'HIT@10': '0.0385', 'NDCG@10': '0.0181', 'HIT@20': '0.0670', 'NDCG@20': '0.0253'}
{'Epoch': 3, 'HIT@5': '0.0248', 'NDCG@5': '0.0144', 'HIT@10': '0.0450', 'NDCG@10': '0.0208', 'HIT@20': '0.0807', 'NDCG@20': '0.0299'}
{'Epoch': 4, 'HIT@5': '0.0294', 'NDCG@5': '0.0177', 'HIT@10': '0.0523', 'NDCG@10': '0.0249', 'HIT@20': '0.0917', 'NDCG@20': '0.0349'}
{'Epoch': 5, 'HIT@5': '0.0339', 'NDCG@5': '0.0208', 'HIT@10': '0.0569', 'NDCG@10': '0.0281', 'HIT@20': '0.1064', 'NDCG@20': '0.0404'}
{'Epoch': 6, 'HIT@5': '0.0376', 'NDCG@5': '0.0227', 'HIT@10': '0.0615', 'NDCG@10': '0.0304', 'HIT@20': '0.1073', 'NDCG@20': '0.0422'}
{'Epoch': 7, 'HIT@5': '0.0404', 'NDCG@5': '0.0241', 'HIT@10': '0.0679', 'NDCG@10': '0.0331', 'HIT@20': '0.1138', 'NDCG@20': '0.0446'}
{'Epoch': 8, 'HIT@5': '0.0385', 'NDCG@5': '0.0228', 'HIT@10': '0.0706', 'NDCG@10': '0.0331', 'HIT@20': '0.1156', 'NDCG@20': '0.0444'}
{'Epoch': 9, 'HIT@5': '0.0321', 'NDCG@5': '0.0212', 'HIT@10': '0.0688', 'NDCG@10': '0.0331', 'HIT@20': '0.1248', 'NDCG@20': '0.0473'}
{'Epoch': 10, 'HIT@5': '0.0358', 'NDCG@5': '0.0237', 'HIT@10': '0.0734', 'NDCG@10': '0.0356', 'HIT@20': '0.1275', 'NDCG@20': '0.0492'}
{'Epoch': 11, 'HIT@5': '0.0404', 'NDCG@5': '0.0257', 'HIT@10': '0.0780', 'NDCG@10': '0.0375', 'HIT@20': '0.1358', 'NDCG@20': '0.0520'}
{'Epoch': 12, 'HIT@5': '0.0450', 'NDCG@5': '0.0284', 'HIT@10': '0.0826', 'NDCG@10': '0.0403', 'HIT@20': '0.1349', 'NDCG@20': '0.0535'}
{'Epoch': 13, 'HIT@5': '0.0495', 'NDCG@5': '0.0301', 'HIT@10': '0.0826', 'NDCG@10': '0.0407', 'HIT@20': '0.1367', 'NDCG@20': '0.0543'}
{'Epoch': 14, 'HIT@5': '0.0495', 'NDCG@5': '0.0297', 'HIT@10': '0.0807', 'NDCG@10': '0.0397', 'HIT@20': '0.1422', 'NDCG@20': '0.0550'}
{'Epoch': 15, 'HIT@5': '0.0459', 'NDCG@5': '0.0284', 'HIT@10': '0.0807', 'NDCG@10': '0.0396', 'HIT@20': '0.1459', 'NDCG@20': '0.0559'}
{'Epoch': 16, 'HIT@5': '0.0486', 'NDCG@5': '0.0300', 'HIT@10': '0.0817', 'NDCG@10': '0.0406', 'HIT@20': '0.1468', 'NDCG@20': '0.0569'}
