{'Epoch': 0, 'HIT@5': '0.0028', 'NDCG@5': '0.0015', 'HIT@10': '0.0037', 'NDCG@10': '0.0018', 'HIT@20': '0.0064', 'NDCG@20': '0.0024'}
{'Epoch': 1, 'HIT@5': '0.0028', 'NDCG@5': '0.0016', 'HIT@10': '0.0055', 'NDCG@10': '0.0024', 'HIT@20': '0.0101', 'NDCG@20': '0.0035'}
{'Epoch': 2, 'HIT@5': '0.0055', 'NDCG@5': '0.0035', 'HIT@10': '0.0073', 'NDCG@10': '0.0040', 'HIT@20': '0.0138', 'NDCG@20': '0.0057'}
{'Epoch': 3, 'HIT@5': '0.0138', 'NDCG@5': '0.0092', 'HIT@10': '0.0174', 'NDCG@10': '0.0104', 'HIT@20': '0.0239', 'NDCG@20': '0.0120'}
{'Epoch': 4, 'HIT@5': '0.0165', 'NDCG@5': '0.0110', 'HIT@10': '0.0294', 'NDCG@10': '0.0153', 'HIT@20': '0.0486', 'NDCG@20': '0.0202'}
{'Epoch': 5, 'HIT@5': '0.0202', 'NDCG@5': '0.0134', 'HIT@10': '0.0339', 'NDCG@10': '0.0178', 'HIT@20': '0.0560', 'NDCG@20': '0.0235'}
{'Epoch': 6, 'HIT@5': '0.0174', 'NDCG@5': '0.0121', 'HIT@10': '0.0349', 'NDCG@10': '0.0178', 'HIT@20': '0.0615', 'NDCG@20': '0.0245'}
{'Epoch': 7, 'HIT@5': '0.0202', 'NDCG@5': '0.0133', 'HIT@10': '0.0330', 'NDCG@10': '0.0174', 'HIT@20': '0.0624', 'NDCG@20': '0.0248'}
{'Epoch': 8, 'HIT@5': '0.0211', 'NDCG@5': '0.0137', 'HIT@10': '0.0358', 'NDCG@10': '0.0183', 'HIT@20': '0.0615', 'NDCG@20': '0.0248'}
{'Epoch': 9, 'HIT@5': '0.0220', 'NDCG@5': '0.0149', 'HIT@10': '0.0358', 'NDCG@10': '0.0193', 'HIT@20': '0.0606', 'NDCG@20': '0.0256'}
{'Epoch': 10, 'HIT@5': '0.0202', 'NDCG@5': '0.0130', 'HIT@10': '0.0385', 'NDCG@10': '0.0187', 'HIT@20': '0.0606', 'NDCG@20': '0.0242'}
{'Epoch': 11, 'HIT@5': '0.0229', 'NDCG@5': '0.0142', 'HIT@10': '0.0367', 'NDCG@10': '0.0185', 'HIT@20': '0.0606', 'NDCG@20': '0.0245'}
{'Epoch': 12, 'HIT@5': '0.0229', 'NDCG@5': '0.0143', 'HIT@10': '0.0358', 'NDCG@10': '0.0186', 'HIT@20': '0.0578', 'NDCG@20': '0.0241'}
{'Epoch': 13, 'HIT@5': '0.0239', 'NDCG@5': '0.0139', 'HIT@10': '0.0349', 'NDCG@10': '0.0175', 'HIT@20': '0.0606', 'NDCG@20': '0.0239'}
{'Epoch': 14, 'HIT@5': '0.0211', 'NDCG@5': '0.0130', 'HIT@10': '0.0358', 'NDCG@10': '0.0177', 'HIT@20': '0.0615', 'NDCG@20': '0.0240'}
{'Epoch': 15, 'HIT@5': '0.0220', 'NDCG@5': '0.0137', 'HIT@10': '0.0358', 'NDCG@10': '0.0182', 'HIT@20': '0.0587', 'NDCG@20': '0.0239'}
{'Epoch': 16, 'HIT@5': '0.0248', 'NDCG@5': '0.0148', 'HIT@10': '0.0376', 'NDCG@10': '0.0187', 'HIT@20': '0.0560', 'NDCG@20': '0.0232'}
{'Epoch': 17, 'HIT@5': '0.0248', 'NDCG@5': '0.0142', 'HIT@10': '0.0358', 'NDCG@10': '0.0176', 'HIT@20': '0.0569', 'NDCG@20': '0.0228'}
{'Epoch': 18, 'HIT@5': '0.0220', 'NDCG@5': '0.0133', 'HIT@10': '0.0349', 'NDCG@10': '0.0175', 'HIT@20': '0.0569', 'NDCG@20': '0.0230'}
{'Epoch': 19, 'HIT@5': '0.0211', 'NDCG@5': '0.0130', 'HIT@10': '0.0339', 'NDCG@10': '0.0171', 'HIT@20': '0.0560', 'NDCG@20': '0.0227'}
{'Epoch': 19, 'HIT@5': '0.0275', 'NDCG@5': '0.0204', 'HIT@10': '0.0339', 'NDCG@10': '0.0224', 'HIT@20': '0.0550', 'NDCG@20': '0.0277'}
SASRec-LastFM-0-BCE
{'Epoch': 19, 'HIT@5': '0.0275', 'NDCG@5': '0.0204', 'HIT@10': '0.0339', 'NDCG@10': '0.0224', 'HIT@20': '0.0550', 'NDCG@20': '0.0277'}
