{'Epoch': 0, 'HIT@5': '0.0018', 'NDCG@5': '0.0018', 'HIT@10': '0.0046', 'NDCG@10': '0.0027', 'HIT@20': '0.0147', 'NDCG@20': '0.0052'}
{'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0045', 'HIT@10': '0.0138', 'NDCG@10': '0.0071', 'HIT@20': '0.0202', 'NDCG@20': '0.0087'}
{'Epoch': 2, 'HIT@5': '0.0147', 'NDCG@5': '0.0099', 'HIT@10': '0.0239', 'NDCG@10': '0.0129', 'HIT@20': '0.0367', 'NDCG@20': '0.0161'}
{'Epoch': 3, 'HIT@5': '0.0183', 'NDCG@5': '0.0116', 'HIT@10': '0.0349', 'NDCG@10': '0.0170', 'HIT@20': '0.0477', 'NDCG@20': '0.0203'}
{'Epoch': 4, 'HIT@5': '0.0183', 'NDCG@5': '0.0111', 'HIT@10': '0.0349', 'NDCG@10': '0.0166', 'HIT@20': '0.0550', 'NDCG@20': '0.0217'}
{'Epoch': 5, 'HIT@5': '0.0193', 'NDCG@5': '0.0115', 'HIT@10': '0.0349', 'NDCG@10': '0.0166', 'HIT@20': '0.0523', 'NDCG@20': '0.0210'}
{'Epoch': 6, 'HIT@5': '0.0220', 'NDCG@5': '0.0132', 'HIT@10': '0.0312', 'NDCG@10': '0.0162', 'HIT@20': '0.0532', 'NDCG@20': '0.0218'}
{'Epoch': 7, 'HIT@5': '0.0193', 'NDCG@5': '0.0131', 'HIT@10': '0.0339', 'NDCG@10': '0.0179', 'HIT@20': '0.0495', 'NDCG@20': '0.0219'}
{'Epoch': 8, 'HIT@5': '0.0193', 'NDCG@5': '0.0134', 'HIT@10': '0.0330', 'NDCG@10': '0.0179', 'HIT@20': '0.0523', 'NDCG@20': '0.0228'}
{'Epoch': 9, 'HIT@5': '0.0229', 'NDCG@5': '0.0146', 'HIT@10': '0.0349', 'NDCG@10': '0.0185', 'HIT@20': '0.0532', 'NDCG@20': '0.0232'}
{'Epoch': 10, 'HIT@5': '0.0239', 'NDCG@5': '0.0149', 'HIT@10': '0.0385', 'NDCG@10': '0.0194', 'HIT@20': '0.0569', 'NDCG@20': '0.0240'}
{'Epoch': 11, 'HIT@5': '0.0193', 'NDCG@5': '0.0127', 'HIT@10': '0.0358', 'NDCG@10': '0.0180', 'HIT@20': '0.0550', 'NDCG@20': '0.0229'}
{'Epoch': 12, 'HIT@5': '0.0211', 'NDCG@5': '0.0140', 'HIT@10': '0.0349', 'NDCG@10': '0.0186', 'HIT@20': '0.0532', 'NDCG@20': '0.0233'}
{'Epoch': 13, 'HIT@5': '0.0229', 'NDCG@5': '0.0147', 'HIT@10': '0.0376', 'NDCG@10': '0.0195', 'HIT@20': '0.0514', 'NDCG@20': '0.0229'}
{'Epoch': 14, 'HIT@5': '0.0257', 'NDCG@5': '0.0163', 'HIT@10': '0.0358', 'NDCG@10': '0.0196', 'HIT@20': '0.0523', 'NDCG@20': '0.0238'}
{'Epoch': 15, 'HIT@5': '0.0266', 'NDCG@5': '0.0171', 'HIT@10': '0.0358', 'NDCG@10': '0.0200', 'HIT@20': '0.0615', 'NDCG@20': '0.0265'}
{'Epoch': 16, 'HIT@5': '0.0257', 'NDCG@5': '0.0173', 'HIT@10': '0.0358', 'NDCG@10': '0.0206', 'HIT@20': '0.0615', 'NDCG@20': '0.0270'}
{'Epoch': 17, 'HIT@5': '0.0257', 'NDCG@5': '0.0179', 'HIT@10': '0.0358', 'NDCG@10': '0.0212', 'HIT@20': '0.0688', 'NDCG@20': '0.0295'}
{'Epoch': 18, 'HIT@5': '0.0284', 'NDCG@5': '0.0195', 'HIT@10': '0.0431', 'NDCG@10': '0.0241', 'HIT@20': '0.0716', 'NDCG@20': '0.0311'}
{'Epoch': 19, 'HIT@5': '0.0284', 'NDCG@5': '0.0196', 'HIT@10': '0.0468', 'NDCG@10': '0.0255', 'HIT@20': '0.0743', 'NDCG@20': '0.0322'}
{'Epoch': 20, 'HIT@5': '0.0303', 'NDCG@5': '0.0203', 'HIT@10': '0.0468', 'NDCG@10': '0.0255', 'HIT@20': '0.0789', 'NDCG@20': '0.0334'}
