{'Epoch': 0, 'HIT@5': '0.0064', 'NDCG@5': '0.0046', 'HIT@10': '0.0083', 'NDCG@10': '0.0052', 'HIT@20': '0.0110', 'NDCG@20': '0.0059'}
{'Epoch': 1, 'HIT@5': '0.0064', 'NDCG@5': '0.0045', 'HIT@10': '0.0083', 'NDCG@10': '0.0051', 'HIT@20': '0.0220', 'NDCG@20': '0.0085'}
{'Epoch': 2, 'HIT@5': '0.0073', 'NDCG@5': '0.0048', 'HIT@10': '0.0128', 'NDCG@10': '0.0066', 'HIT@20': '0.0229', 'NDCG@20': '0.0090'}
{'Epoch': 3, 'HIT@5': '0.0119', 'NDCG@5': '0.0074', 'HIT@10': '0.0138', 'NDCG@10': '0.0079', 'HIT@20': '0.0220', 'NDCG@20': '0.0099'}
{'Epoch': 4, 'HIT@5': '0.0110', 'NDCG@5': '0.0071', 'HIT@10': '0.0174', 'NDCG@10': '0.0092', 'HIT@20': '0.0303', 'NDCG@20': '0.0124'}
{'Epoch': 5, 'HIT@5': '0.0110', 'NDCG@5': '0.0072', 'HIT@10': '0.0211', 'NDCG@10': '0.0103', 'HIT@20': '0.0312', 'NDCG@20': '0.0130'}
{'Epoch': 6, 'HIT@5': '0.0128', 'NDCG@5': '0.0069', 'HIT@10': '0.0257', 'NDCG@10': '0.0111', 'HIT@20': '0.0532', 'NDCG@20': '0.0180'}
{'Epoch': 7, 'HIT@5': '0.0156', 'NDCG@5': '0.0074', 'HIT@10': '0.0358', 'NDCG@10': '0.0140', 'HIT@20': '0.0642', 'NDCG@20': '0.0212'}
{'Epoch': 8, 'HIT@5': '0.0211', 'NDCG@5': '0.0115', 'HIT@10': '0.0404', 'NDCG@10': '0.0177', 'HIT@20': '0.0661', 'NDCG@20': '0.0241'}
{'Epoch': 9, 'HIT@5': '0.0257', 'NDCG@5': '0.0136', 'HIT@10': '0.0413', 'NDCG@10': '0.0186', 'HIT@20': '0.0633', 'NDCG@20': '0.0242'}
{'Epoch': 10, 'HIT@5': '0.0275', 'NDCG@5': '0.0183', 'HIT@10': '0.0404', 'NDCG@10': '0.0223', 'HIT@20': '0.0651', 'NDCG@20': '0.0286'}
{'Epoch': 11, 'HIT@5': '0.0248', 'NDCG@5': '0.0180', 'HIT@10': '0.0367', 'NDCG@10': '0.0219', 'HIT@20': '0.0615', 'NDCG@20': '0.0281'}
{'Epoch': 12, 'HIT@5': '0.0239', 'NDCG@5': '0.0160', 'HIT@10': '0.0349', 'NDCG@10': '0.0195', 'HIT@20': '0.0596', 'NDCG@20': '0.0258'}
{'Epoch': 13, 'HIT@5': '0.0239', 'NDCG@5': '0.0146', 'HIT@10': '0.0367', 'NDCG@10': '0.0186', 'HIT@20': '0.0560', 'NDCG@20': '0.0233'}
{'Epoch': 14, 'HIT@5': '0.0193', 'NDCG@5': '0.0127', 'HIT@10': '0.0339', 'NDCG@10': '0.0174', 'HIT@20': '0.0569', 'NDCG@20': '0.0232'}
{'Epoch': 15, 'HIT@5': '0.0229', 'NDCG@5': '0.0140', 'HIT@10': '0.0330', 'NDCG@10': '0.0172', 'HIT@20': '0.0679', 'NDCG@20': '0.0257'}
{'Epoch': 16, 'HIT@5': '0.0229', 'NDCG@5': '0.0161', 'HIT@10': '0.0321', 'NDCG@10': '0.0191', 'HIT@20': '0.0505', 'NDCG@20': '0.0236'}
{'Epoch': 17, 'HIT@5': '0.0220', 'NDCG@5': '0.0158', 'HIT@10': '0.0294', 'NDCG@10': '0.0180', 'HIT@20': '0.0532', 'NDCG@20': '0.0238'}
{'Epoch': 18, 'HIT@5': '0.0202', 'NDCG@5': '0.0155', 'HIT@10': '0.0275', 'NDCG@10': '0.0179', 'HIT@20': '0.0532', 'NDCG@20': '0.0244'}
{'Epoch': 19, 'HIT@5': '0.0211', 'NDCG@5': '0.0160', 'HIT@10': '0.0312', 'NDCG@10': '0.0192', 'HIT@20': '0.0596', 'NDCG@20': '0.0262'}
{'Epoch': 20, 'HIT@5': '0.0193', 'NDCG@5': '0.0149', 'HIT@10': '0.0284', 'NDCG@10': '0.0179', 'HIT@20': '0.0569', 'NDCG@20': '0.0250'}
{'Epoch': 20, 'HIT@5': '0.0303', 'NDCG@5': '0.0204', 'HIT@10': '0.0459', 'NDCG@10': '0.0253', 'HIT@20': '0.0578', 'NDCG@20': '0.0281'}
SRGNN-LastFM-0-CCE
{'Epoch': 20, 'HIT@5': '0.0303', 'NDCG@5': '0.0204', 'HIT@10': '0.0459', 'NDCG@10': '0.0253', 'HIT@20': '0.0578', 'NDCG@20': '0.0281'}
