{'Epoch': 0, 'HIT@5': '0.0084', 'NDCG@5': '0.0055', 'HIT@10': '0.0129', 'NDCG@10': '0.0069', 'HIT@20': '0.0209', 'NDCG@20': '0.0090'}
{'Epoch': 1, 'HIT@5': '0.0090', 'NDCG@5': '0.0058', 'HIT@10': '0.0145', 'NDCG@10': '0.0075', 'HIT@20': '0.0243', 'NDCG@20': '0.0100'}
{'Epoch': 2, 'HIT@5': '0.0115', 'NDCG@5': '0.0074', 'HIT@10': '0.0210', 'NDCG@10': '0.0104', 'HIT@20': '0.0363', 'NDCG@20': '0.0143'}
{'Epoch': 3, 'HIT@5': '0.0137', 'NDCG@5': '0.0086', 'HIT@10': '0.0243', 'NDCG@10': '0.0120', 'HIT@20': '0.0395', 'NDCG@20': '0.0159'}
{'Epoch': 4, 'HIT@5': '0.0151', 'NDCG@5': '0.0097', 'HIT@10': '0.0249', 'NDCG@10': '0.0129', 'HIT@20': '0.0417', 'NDCG@20': '0.0171'}
{'Epoch': 5, 'HIT@5': '0.0168', 'NDCG@5': '0.0105', 'HIT@10': '0.0291', 'NDCG@10': '0.0145', 'HIT@20': '0.0473', 'NDCG@20': '0.0191'}
{'Epoch': 6, 'HIT@5': '0.0190', 'NDCG@5': '0.0121', 'HIT@10': '0.0321', 'NDCG@10': '0.0162', 'HIT@20': '0.0516', 'NDCG@20': '0.0211'}
{'Epoch': 7, 'HIT@5': '0.0207', 'NDCG@5': '0.0132', 'HIT@10': '0.0347', 'NDCG@10': '0.0176', 'HIT@20': '0.0570', 'NDCG@20': '0.0232'}
{'Epoch': 8, 'HIT@5': '0.0229', 'NDCG@5': '0.0146', 'HIT@10': '0.0383', 'NDCG@10': '0.0196', 'HIT@20': '0.0596', 'NDCG@20': '0.0249'}
{'Epoch': 9, 'HIT@5': '0.0232', 'NDCG@5': '0.0150', 'HIT@10': '0.0389', 'NDCG@10': '0.0200', 'HIT@20': '0.0614', 'NDCG@20': '0.0257'}
{'Epoch': 10, 'HIT@5': '0.0268', 'NDCG@5': '0.0174', 'HIT@10': '0.0420', 'NDCG@10': '0.0222', 'HIT@20': '0.0646', 'NDCG@20': '0.0279'}
{'Epoch': 11, 'HIT@5': '0.0262', 'NDCG@5': '0.0171', 'HIT@10': '0.0426', 'NDCG@10': '0.0224', 'HIT@20': '0.0660', 'NDCG@20': '0.0283'}
{'Epoch': 12, 'HIT@5': '0.0270', 'NDCG@5': '0.0179', 'HIT@10': '0.0422', 'NDCG@10': '0.0227', 'HIT@20': '0.0667', 'NDCG@20': '0.0289'}
{'Epoch': 13, 'HIT@5': '0.0282', 'NDCG@5': '0.0191', 'HIT@10': '0.0452', 'NDCG@10': '0.0245', 'HIT@20': '0.0682', 'NDCG@20': '0.0303'}
{'Epoch': 14, 'HIT@5': '0.0279', 'NDCG@5': '0.0187', 'HIT@10': '0.0444', 'NDCG@10': '0.0240', 'HIT@20': '0.0688', 'NDCG@20': '0.0301'}
{'Epoch': 15, 'HIT@5': '0.0291', 'NDCG@5': '0.0191', 'HIT@10': '0.0449', 'NDCG@10': '0.0242', 'HIT@20': '0.0686', 'NDCG@20': '0.0302'}
{'Epoch': 16, 'HIT@5': '0.0284', 'NDCG@5': '0.0188', 'HIT@10': '0.0446', 'NDCG@10': '0.0240', 'HIT@20': '0.0694', 'NDCG@20': '0.0302'}
{'Epoch': 17, 'HIT@5': '0.0298', 'NDCG@5': '0.0198', 'HIT@10': '0.0455', 'NDCG@10': '0.0248', 'HIT@20': '0.0698', 'NDCG@20': '0.0310'}
{'Epoch': 18, 'HIT@5': '0.0299', 'NDCG@5': '0.0201', 'HIT@10': '0.0463', 'NDCG@10': '0.0254', 'HIT@20': '0.0705', 'NDCG@20': '0.0314'}
