{'Epoch': 0, 'HIT@5': '0.0092', 'NDCG@5': '0.0058', 'HIT@10': '0.0158', 'NDCG@10': '0.0079', 'HIT@20': '0.0250', 'NDCG@20': '0.0102'}
{'Epoch': 1, 'HIT@5': '0.0085', 'NDCG@5': '0.0055', 'HIT@10': '0.0152', 'NDCG@10': '0.0077', 'HIT@20': '0.0245', 'NDCG@20': '0.0101'}
{'Epoch': 2, 'HIT@5': '0.0085', 'NDCG@5': '0.0056', 'HIT@10': '0.0146', 'NDCG@10': '0.0075', 'HIT@20': '0.0254', 'NDCG@20': '0.0102'}
{'Epoch': 3, 'HIT@5': '0.0096', 'NDCG@5': '0.0060', 'HIT@10': '0.0156', 'NDCG@10': '0.0079', 'HIT@20': '0.0261', 'NDCG@20': '0.0106'}
{'Epoch': 4, 'HIT@5': '0.0091', 'NDCG@5': '0.0057', 'HIT@10': '0.0151', 'NDCG@10': '0.0077', 'HIT@20': '0.0258', 'NDCG@20': '0.0103'}
{'Epoch': 5, 'HIT@5': '0.0090', 'NDCG@5': '0.0057', 'HIT@10': '0.0161', 'NDCG@10': '0.0079', 'HIT@20': '0.0279', 'NDCG@20': '0.0109'}
{'Epoch': 6, 'HIT@5': '0.0119', 'NDCG@5': '0.0073', 'HIT@10': '0.0206', 'NDCG@10': '0.0101', 'HIT@20': '0.0336', 'NDCG@20': '0.0134'}
{'Epoch': 7, 'HIT@5': '0.0125', 'NDCG@5': '0.0077', 'HIT@10': '0.0213', 'NDCG@10': '0.0106', 'HIT@20': '0.0348', 'NDCG@20': '0.0139'}
{'Epoch': 8, 'HIT@5': '0.0126', 'NDCG@5': '0.0077', 'HIT@10': '0.0218', 'NDCG@10': '0.0106', 'HIT@20': '0.0348', 'NDCG@20': '0.0139'}
{'Epoch': 9, 'HIT@5': '0.0123', 'NDCG@5': '0.0080', 'HIT@10': '0.0215', 'NDCG@10': '0.0109', 'HIT@20': '0.0345', 'NDCG@20': '0.0142'}
{'Epoch': 10, 'HIT@5': '0.0124', 'NDCG@5': '0.0080', 'HIT@10': '0.0210', 'NDCG@10': '0.0108', 'HIT@20': '0.0337', 'NDCG@20': '0.0140'}
{'Epoch': 11, 'HIT@5': '0.0127', 'NDCG@5': '0.0083', 'HIT@10': '0.0211', 'NDCG@10': '0.0110', 'HIT@20': '0.0329', 'NDCG@20': '0.0140'}
{'Epoch': 12, 'HIT@5': '0.0130', 'NDCG@5': '0.0087', 'HIT@10': '0.0202', 'NDCG@10': '0.0110', 'HIT@20': '0.0316', 'NDCG@20': '0.0139'}
{'Epoch': 13, 'HIT@5': '0.0122', 'NDCG@5': '0.0081', 'HIT@10': '0.0195', 'NDCG@10': '0.0105', 'HIT@20': '0.0307', 'NDCG@20': '0.0133'}
{'Epoch': 14, 'HIT@5': '0.0117', 'NDCG@5': '0.0078', 'HIT@10': '0.0186', 'NDCG@10': '0.0100', 'HIT@20': '0.0288', 'NDCG@20': '0.0126'}
{'Epoch': 15, 'HIT@5': '0.0106', 'NDCG@5': '0.0070', 'HIT@10': '0.0172', 'NDCG@10': '0.0091', 'HIT@20': '0.0278', 'NDCG@20': '0.0117'}
{'Epoch': 16, 'HIT@5': '0.0110', 'NDCG@5': '0.0075', 'HIT@10': '0.0176', 'NDCG@10': '0.0096', 'HIT@20': '0.0285', 'NDCG@20': '0.0123'}
{'Epoch': 17, 'HIT@5': '0.0105', 'NDCG@5': '0.0072', 'HIT@10': '0.0171', 'NDCG@10': '0.0093', 'HIT@20': '0.0270', 'NDCG@20': '0.0118'}
{'Epoch': 18, 'HIT@5': '0.0090', 'NDCG@5': '0.0059', 'HIT@10': '0.0151', 'NDCG@10': '0.0079', 'HIT@20': '0.0245', 'NDCG@20': '0.0102'}
{'Epoch': 19, 'HIT@5': '0.0100', 'NDCG@5': '0.0066', 'HIT@10': '0.0161', 'NDCG@10': '0.0085', 'HIT@20': '0.0263', 'NDCG@20': '0.0111'}
{'Epoch': 19, 'HIT@5': '0.0099', 'NDCG@5': '0.0066', 'HIT@10': '0.0157', 'NDCG@10': '0.0084', 'HIT@20': '0.0256', 'NDCG@20': '0.0109'}
GRU4Rec-Sports_and_Outdoors-0-CE
{'Epoch': 19, 'HIT@5': '0.0099', 'NDCG@5': '0.0066', 'HIT@10': '0.0157', 'NDCG@10': '0.0084', 'HIT@20': '0.0256', 'NDCG@20': '0.0109'}
