{'Epoch': 0, 'HIT@5': '0.0199', 'NDCG@5': '0.0132', 'HIT@10': '0.0318', 'NDCG@10': '0.0170', 'HIT@20': '0.0512', 'NDCG@20': '0.0219'}
{'Epoch': 1, 'HIT@5': '0.0223', 'NDCG@5': '0.0149', 'HIT@10': '0.0343', 'NDCG@10': '0.0188', 'HIT@20': '0.0568', 'NDCG@20': '0.0244'}
{'Epoch': 2, 'HIT@5': '0.0231', 'NDCG@5': '0.0153', 'HIT@10': '0.0366', 'NDCG@10': '0.0196', 'HIT@20': '0.0598', 'NDCG@20': '0.0254'}
{'Epoch': 3, 'HIT@5': '0.0235', 'NDCG@5': '0.0156', 'HIT@10': '0.0370', 'NDCG@10': '0.0199', 'HIT@20': '0.0610', 'NDCG@20': '0.0259'}
{'Epoch': 4, 'HIT@5': '0.0240', 'NDCG@5': '0.0156', 'HIT@10': '0.0380', 'NDCG@10': '0.0201', 'HIT@20': '0.0619', 'NDCG@20': '0.0261'}
{'Epoch': 5, 'HIT@5': '0.0238', 'NDCG@5': '0.0155', 'HIT@10': '0.0385', 'NDCG@10': '0.0202', 'HIT@20': '0.0621', 'NDCG@20': '0.0261'}
{'Epoch': 6, 'HIT@5': '0.0245', 'NDCG@5': '0.0159', 'HIT@10': '0.0396', 'NDCG@10': '0.0207', 'HIT@20': '0.0641', 'NDCG@20': '0.0268'}
{'Epoch': 7, 'HIT@5': '0.0241', 'NDCG@5': '0.0157', 'HIT@10': '0.0394', 'NDCG@10': '0.0207', 'HIT@20': '0.0642', 'NDCG@20': '0.0269'}
{'Epoch': 8, 'HIT@5': '0.0246', 'NDCG@5': '0.0162', 'HIT@10': '0.0402', 'NDCG@10': '0.0211', 'HIT@20': '0.0650', 'NDCG@20': '0.0274'}
{'Epoch': 9, 'HIT@5': '0.0236', 'NDCG@5': '0.0154', 'HIT@10': '0.0399', 'NDCG@10': '0.0207', 'HIT@20': '0.0652', 'NDCG@20': '0.0270'}
{'Epoch': 10, 'HIT@5': '0.0248', 'NDCG@5': '0.0162', 'HIT@10': '0.0406', 'NDCG@10': '0.0212', 'HIT@20': '0.0655', 'NDCG@20': '0.0275'}
{'Epoch': 11, 'HIT@5': '0.0251', 'NDCG@5': '0.0166', 'HIT@10': '0.0411', 'NDCG@10': '0.0217', 'HIT@20': '0.0671', 'NDCG@20': '0.0283'}
{'Epoch': 12, 'HIT@5': '0.0261', 'NDCG@5': '0.0169', 'HIT@10': '0.0421', 'NDCG@10': '0.0220', 'HIT@20': '0.0671', 'NDCG@20': '0.0283'}
{'Epoch': 13, 'HIT@5': '0.0259', 'NDCG@5': '0.0171', 'HIT@10': '0.0424', 'NDCG@10': '0.0224', 'HIT@20': '0.0684', 'NDCG@20': '0.0289'}
{'Epoch': 14, 'HIT@5': '0.0266', 'NDCG@5': '0.0174', 'HIT@10': '0.0421', 'NDCG@10': '0.0224', 'HIT@20': '0.0683', 'NDCG@20': '0.0289'}
{'Epoch': 15, 'HIT@5': '0.0262', 'NDCG@5': '0.0170', 'HIT@10': '0.0427', 'NDCG@10': '0.0223', 'HIT@20': '0.0678', 'NDCG@20': '0.0286'}
{'Epoch': 16, 'HIT@5': '0.0264', 'NDCG@5': '0.0173', 'HIT@10': '0.0430', 'NDCG@10': '0.0226', 'HIT@20': '0.0683', 'NDCG@20': '0.0289'}
{'Epoch': 17, 'HIT@5': '0.0263', 'NDCG@5': '0.0170', 'HIT@10': '0.0425', 'NDCG@10': '0.0222', 'HIT@20': '0.0686', 'NDCG@20': '0.0288'}
{'Epoch': 18, 'HIT@5': '0.0268', 'NDCG@5': '0.0174', 'HIT@10': '0.0431', 'NDCG@10': '0.0226', 'HIT@20': '0.0699', 'NDCG@20': '0.0293'}
{'Epoch': 19, 'HIT@5': '0.0273', 'NDCG@5': '0.0177', 'HIT@10': '0.0436', 'NDCG@10': '0.0229', 'HIT@20': '0.0689', 'NDCG@20': '0.0292'}
{'Epoch': 20, 'HIT@5': '0.0264', 'NDCG@5': '0.0172', 'HIT@10': '0.0433', 'NDCG@10': '0.0226', 'HIT@20': '0.0696', 'NDCG@20': '0.0292'}
{'Epoch': 21, 'HIT@5': '0.0275', 'NDCG@5': '0.0176', 'HIT@10': '0.0446', 'NDCG@10': '0.0230', 'HIT@20': '0.0703', 'NDCG@20': '0.0295'}
{'Epoch': 22, 'HIT@5': '0.0284', 'NDCG@5': '0.0182', 'HIT@10': '0.0462', 'NDCG@10': '0.0239', 'HIT@20': '0.0720', 'NDCG@20': '0.0304'}
{'Epoch': 23, 'HIT@5': '0.0277', 'NDCG@5': '0.0177', 'HIT@10': '0.0452', 'NDCG@10': '0.0233', 'HIT@20': '0.0717', 'NDCG@20': '0.0300'}
{'Epoch': 24, 'HIT@5': '0.0282', 'NDCG@5': '0.0179', 'HIT@10': '0.0461', 'NDCG@10': '0.0236', 'HIT@20': '0.0721', 'NDCG@20': '0.0302'}
{'Epoch': 25, 'HIT@5': '0.0279', 'NDCG@5': '0.0178', 'HIT@10': '0.0451', 'NDCG@10': '0.0233', 'HIT@20': '0.0726', 'NDCG@20': '0.0302'}
{'Epoch': 26, 'HIT@5': '0.0280', 'NDCG@5': '0.0179', 'HIT@10': '0.0451', 'NDCG@10': '0.0234', 'HIT@20': '0.0720', 'NDCG@20': '0.0302'}
{'Epoch': 27, 'HIT@5': '0.0276', 'NDCG@5': '0.0178', 'HIT@10': '0.0454', 'NDCG@10': '0.0235', 'HIT@20': '0.0721', 'NDCG@20': '0.0302'}
{'Epoch': 28, 'HIT@5': '0.0281', 'NDCG@5': '0.0180', 'HIT@10': '0.0456', 'NDCG@10': '0.0236', 'HIT@20': '0.0733', 'NDCG@20': '0.0305'}
{'Epoch': 29, 'HIT@5': '0.0283', 'NDCG@5': '0.0180', 'HIT@10': '0.0462', 'NDCG@10': '0.0237', 'HIT@20': '0.0728', 'NDCG@20': '0.0304'}
{'Epoch': 30, 'HIT@5': '0.0278', 'NDCG@5': '0.0177', 'HIT@10': '0.0466', 'NDCG@10': '0.0237', 'HIT@20': '0.0734', 'NDCG@20': '0.0304'}
{'Epoch': 31, 'HIT@5': '0.0280', 'NDCG@5': '0.0180', 'HIT@10': '0.0469', 'NDCG@10': '0.0240', 'HIT@20': '0.0744', 'NDCG@20': '0.0309'}
{'Epoch': 32, 'HIT@5': '0.0281', 'NDCG@5': '0.0179', 'HIT@10': '0.0474', 'NDCG@10': '0.0241', 'HIT@20': '0.0736', 'NDCG@20': '0.0307'}
{'Epoch': 33, 'HIT@5': '0.0279', 'NDCG@5': '0.0181', 'HIT@10': '0.0480', 'NDCG@10': '0.0245', 'HIT@20': '0.0737', 'NDCG@20': '0.0310'}
{'Epoch': 34, 'HIT@5': '0.0283', 'NDCG@5': '0.0180', 'HIT@10': '0.0476', 'NDCG@10': '0.0242', 'HIT@20': '0.0748', 'NDCG@20': '0.0311'}
{'Epoch': 35, 'HIT@5': '0.0279', 'NDCG@5': '0.0178', 'HIT@10': '0.0476', 'NDCG@10': '0.0241', 'HIT@20': '0.0731', 'NDCG@20': '0.0305'}
{'Epoch': 36, 'HIT@5': '0.0287', 'NDCG@5': '0.0182', 'HIT@10': '0.0476', 'NDCG@10': '0.0243', 'HIT@20': '0.0751', 'NDCG@20': '0.0312'}
{'Epoch': 37, 'HIT@5': '0.0290', 'NDCG@5': '0.0183', 'HIT@10': '0.0483', 'NDCG@10': '0.0245', 'HIT@20': '0.0741', 'NDCG@20': '0.0310'}
{'Epoch': 38, 'HIT@5': '0.0292', 'NDCG@5': '0.0184', 'HIT@10': '0.0478', 'NDCG@10': '0.0244', 'HIT@20': '0.0745', 'NDCG@20': '0.0311'}
{'Epoch': 39, 'HIT@5': '0.0292', 'NDCG@5': '0.0185', 'HIT@10': '0.0490', 'NDCG@10': '0.0248', 'HIT@20': '0.0752', 'NDCG@20': '0.0314'}
{'Epoch': 40, 'HIT@5': '0.0298', 'NDCG@5': '0.0191', 'HIT@10': '0.0489', 'NDCG@10': '0.0252', 'HIT@20': '0.0751', 'NDCG@20': '0.0318'}
{'Epoch': 41, 'HIT@5': '0.0294', 'NDCG@5': '0.0184', 'HIT@10': '0.0489', 'NDCG@10': '0.0247', 'HIT@20': '0.0748', 'NDCG@20': '0.0312'}
{'Epoch': 42, 'HIT@5': '0.0297', 'NDCG@5': '0.0186', 'HIT@10': '0.0487', 'NDCG@10': '0.0246', 'HIT@20': '0.0746', 'NDCG@20': '0.0312'}
{'Epoch': 43, 'HIT@5': '0.0304', 'NDCG@5': '0.0190', 'HIT@10': '0.0489', 'NDCG@10': '0.0249', 'HIT@20': '0.0756', 'NDCG@20': '0.0316'}
