{'Epoch': 0, 'HIT@5': '0.0256', 'NDCG@5': '0.0168', 'HIT@10': '0.0426', 'NDCG@10': '0.0222', 'HIT@20': '0.0664', 'NDCG@20': '0.0282'}
{'Epoch': 1, 'HIT@5': '0.0289', 'NDCG@5': '0.0188', 'HIT@10': '0.0477', 'NDCG@10': '0.0249', 'HIT@20': '0.0732', 'NDCG@20': '0.0313'}
{'Epoch': 2, 'HIT@5': '0.0314', 'NDCG@5': '0.0203', 'HIT@10': '0.0494', 'NDCG@10': '0.0261', 'HIT@20': '0.0746', 'NDCG@20': '0.0324'}
{'Epoch': 3, 'HIT@5': '0.0337', 'NDCG@5': '0.0215', 'HIT@10': '0.0506', 'NDCG@10': '0.0269', 'HIT@20': '0.0778', 'NDCG@20': '0.0338'}
{'Epoch': 4, 'HIT@5': '0.0339', 'NDCG@5': '0.0220', 'HIT@10': '0.0527', 'NDCG@10': '0.0280', 'HIT@20': '0.0797', 'NDCG@20': '0.0348'}
{'Epoch': 5, 'HIT@5': '0.0355', 'NDCG@5': '0.0232', 'HIT@10': '0.0541', 'NDCG@10': '0.0292', 'HIT@20': '0.0818', 'NDCG@20': '0.0361'}
{'Epoch': 6, 'HIT@5': '0.0360', 'NDCG@5': '0.0236', 'HIT@10': '0.0558', 'NDCG@10': '0.0299', 'HIT@20': '0.0844', 'NDCG@20': '0.0371'}
{'Epoch': 7, 'HIT@5': '0.0368', 'NDCG@5': '0.0239', 'HIT@10': '0.0571', 'NDCG@10': '0.0304', 'HIT@20': '0.0852', 'NDCG@20': '0.0375'}
{'Epoch': 8, 'HIT@5': '0.0380', 'NDCG@5': '0.0247', 'HIT@10': '0.0583', 'NDCG@10': '0.0312', 'HIT@20': '0.0872', 'NDCG@20': '0.0384'}
{'Epoch': 9, 'HIT@5': '0.0381', 'NDCG@5': '0.0249', 'HIT@10': '0.0589', 'NDCG@10': '0.0316', 'HIT@20': '0.0876', 'NDCG@20': '0.0388'}
{'Epoch': 10, 'HIT@5': '0.0392', 'NDCG@5': '0.0257', 'HIT@10': '0.0599', 'NDCG@10': '0.0324', 'HIT@20': '0.0890', 'NDCG@20': '0.0397'}
{'Epoch': 11, 'HIT@5': '0.0404', 'NDCG@5': '0.0266', 'HIT@10': '0.0613', 'NDCG@10': '0.0333', 'HIT@20': '0.0905', 'NDCG@20': '0.0407'}
{'Epoch': 12, 'HIT@5': '0.0411', 'NDCG@5': '0.0271', 'HIT@10': '0.0623', 'NDCG@10': '0.0339', 'HIT@20': '0.0917', 'NDCG@20': '0.0413'}
{'Epoch': 13, 'HIT@5': '0.0418', 'NDCG@5': '0.0271', 'HIT@10': '0.0629', 'NDCG@10': '0.0339', 'HIT@20': '0.0924', 'NDCG@20': '0.0412'}
{'Epoch': 14, 'HIT@5': '0.0426', 'NDCG@5': '0.0280', 'HIT@10': '0.0646', 'NDCG@10': '0.0351', 'HIT@20': '0.0934', 'NDCG@20': '0.0423'}
{'Epoch': 15, 'HIT@5': '0.0422', 'NDCG@5': '0.0281', 'HIT@10': '0.0644', 'NDCG@10': '0.0352', 'HIT@20': '0.0940', 'NDCG@20': '0.0427'}
{'Epoch': 16, 'HIT@5': '0.0434', 'NDCG@5': '0.0288', 'HIT@10': '0.0651', 'NDCG@10': '0.0358', 'HIT@20': '0.0946', 'NDCG@20': '0.0431'}
{'Epoch': 17, 'HIT@5': '0.0440', 'NDCG@5': '0.0292', 'HIT@10': '0.0659', 'NDCG@10': '0.0363', 'HIT@20': '0.0966', 'NDCG@20': '0.0440'}
{'Epoch': 18, 'HIT@5': '0.0440', 'NDCG@5': '0.0293', 'HIT@10': '0.0657', 'NDCG@10': '0.0364', 'HIT@20': '0.0966', 'NDCG@20': '0.0441'}
{'Epoch': 19, 'HIT@5': '0.0450', 'NDCG@5': '0.0296', 'HIT@10': '0.0675', 'NDCG@10': '0.0369', 'HIT@20': '0.0973', 'NDCG@20': '0.0444'}
{'Epoch': 20, 'HIT@5': '0.0453', 'NDCG@5': '0.0304', 'HIT@10': '0.0673', 'NDCG@10': '0.0375', 'HIT@20': '0.0980', 'NDCG@20': '0.0452'}
{'Epoch': 21, 'HIT@5': '0.0456', 'NDCG@5': '0.0304', 'HIT@10': '0.0683', 'NDCG@10': '0.0378', 'HIT@20': '0.0987', 'NDCG@20': '0.0454'}
{'Epoch': 22, 'HIT@5': '0.0472', 'NDCG@5': '0.0314', 'HIT@10': '0.0698', 'NDCG@10': '0.0387', 'HIT@20': '0.0990', 'NDCG@20': '0.0460'}
{'Epoch': 23, 'HIT@5': '0.0467', 'NDCG@5': '0.0316', 'HIT@10': '0.0700', 'NDCG@10': '0.0391', 'HIT@20': '0.0996', 'NDCG@20': '0.0465'}
{'Epoch': 24, 'HIT@5': '0.0474', 'NDCG@5': '0.0319', 'HIT@10': '0.0694', 'NDCG@10': '0.0390', 'HIT@20': '0.1008', 'NDCG@20': '0.0469'}
{'Epoch': 25, 'HIT@5': '0.0471', 'NDCG@5': '0.0318', 'HIT@10': '0.0694', 'NDCG@10': '0.0390', 'HIT@20': '0.0997', 'NDCG@20': '0.0466'}
{'Epoch': 26, 'HIT@5': '0.0478', 'NDCG@5': '0.0326', 'HIT@10': '0.0709', 'NDCG@10': '0.0401', 'HIT@20': '0.1016', 'NDCG@20': '0.0478'}
{'Epoch': 27, 'HIT@5': '0.0485', 'NDCG@5': '0.0328', 'HIT@10': '0.0711', 'NDCG@10': '0.0401', 'HIT@20': '0.1012', 'NDCG@20': '0.0477'}
{'Epoch': 28, 'HIT@5': '0.0488', 'NDCG@5': '0.0332', 'HIT@10': '0.0707', 'NDCG@10': '0.0403', 'HIT@20': '0.1026', 'NDCG@20': '0.0483'}
{'Epoch': 29, 'HIT@5': '0.0490', 'NDCG@5': '0.0336', 'HIT@10': '0.0718', 'NDCG@10': '0.0410', 'HIT@20': '0.1029', 'NDCG@20': '0.0488'}
{'Epoch': 30, 'HIT@5': '0.0492', 'NDCG@5': '0.0336', 'HIT@10': '0.0716', 'NDCG@10': '0.0409', 'HIT@20': '0.1032', 'NDCG@20': '0.0488'}
{'Epoch': 31, 'HIT@5': '0.0491', 'NDCG@5': '0.0337', 'HIT@10': '0.0713', 'NDCG@10': '0.0408', 'HIT@20': '0.1033', 'NDCG@20': '0.0489'}
{'Epoch': 32, 'HIT@5': '0.0497', 'NDCG@5': '0.0340', 'HIT@10': '0.0721', 'NDCG@10': '0.0412', 'HIT@20': '0.1034', 'NDCG@20': '0.0491'}
{'Epoch': 33, 'HIT@5': '0.0503', 'NDCG@5': '0.0343', 'HIT@10': '0.0717', 'NDCG@10': '0.0412', 'HIT@20': '0.1059', 'NDCG@20': '0.0498'}
{'Epoch': 34, 'HIT@5': '0.0501', 'NDCG@5': '0.0344', 'HIT@10': '0.0724', 'NDCG@10': '0.0416', 'HIT@20': '0.1046', 'NDCG@20': '0.0497'}
