{'Epoch': 0, 'HIT@5': '0.0086', 'NDCG@5': '0.0056', 'HIT@10': '0.0124', 'NDCG@10': '0.0068', 'HIT@20': '0.0201', 'NDCG@20': '0.0087'}
{'Epoch': 1, 'HIT@5': '0.0078', 'NDCG@5': '0.0053', 'HIT@10': '0.0122', 'NDCG@10': '0.0067', 'HIT@20': '0.0218', 'NDCG@20': '0.0091'}
{'Epoch': 2, 'HIT@5': '0.0088', 'NDCG@5': '0.0057', 'HIT@10': '0.0146', 'NDCG@10': '0.0076', 'HIT@20': '0.0240', 'NDCG@20': '0.0099'}
{'Epoch': 3, 'HIT@5': '0.0104', 'NDCG@5': '0.0067', 'HIT@10': '0.0192', 'NDCG@10': '0.0095', 'HIT@20': '0.0322', 'NDCG@20': '0.0128'}
{'Epoch': 4, 'HIT@5': '0.0122', 'NDCG@5': '0.0080', 'HIT@10': '0.0216', 'NDCG@10': '0.0110', 'HIT@20': '0.0362', 'NDCG@20': '0.0147'}
{'Epoch': 5, 'HIT@5': '0.0142', 'NDCG@5': '0.0089', 'HIT@10': '0.0239', 'NDCG@10': '0.0121', 'HIT@20': '0.0393', 'NDCG@20': '0.0159'}
{'Epoch': 6, 'HIT@5': '0.0152', 'NDCG@5': '0.0095', 'HIT@10': '0.0256', 'NDCG@10': '0.0129', 'HIT@20': '0.0410', 'NDCG@20': '0.0167'}
{'Epoch': 7, 'HIT@5': '0.0167', 'NDCG@5': '0.0104', 'HIT@10': '0.0273', 'NDCG@10': '0.0138', 'HIT@20': '0.0438', 'NDCG@20': '0.0179'}
{'Epoch': 8, 'HIT@5': '0.0171', 'NDCG@5': '0.0111', 'HIT@10': '0.0291', 'NDCG@10': '0.0149', 'HIT@20': '0.0471', 'NDCG@20': '0.0195'}
{'Epoch': 9, 'HIT@5': '0.0188', 'NDCG@5': '0.0117', 'HIT@10': '0.0316', 'NDCG@10': '0.0158', 'HIT@20': '0.0504', 'NDCG@20': '0.0205'}
{'Epoch': 10, 'HIT@5': '0.0208', 'NDCG@5': '0.0128', 'HIT@10': '0.0330', 'NDCG@10': '0.0167', 'HIT@20': '0.0512', 'NDCG@20': '0.0213'}
{'Epoch': 11, 'HIT@5': '0.0217', 'NDCG@5': '0.0137', 'HIT@10': '0.0350', 'NDCG@10': '0.0179', 'HIT@20': '0.0534', 'NDCG@20': '0.0226'}
{'Epoch': 12, 'HIT@5': '0.0219', 'NDCG@5': '0.0137', 'HIT@10': '0.0348', 'NDCG@10': '0.0178', 'HIT@20': '0.0534', 'NDCG@20': '0.0225'}
