{'Epoch': 0, 'HIT@5': '0.0080', 'NDCG@5': '0.0054', 'HIT@10': '0.0130', 'NDCG@10': '0.0070', 'HIT@20': '0.0246', 'NDCG@20': '0.0099'}
{'Epoch': 1, 'HIT@5': '0.0110', 'NDCG@5': '0.0069', 'HIT@10': '0.0188', 'NDCG@10': '0.0094', 'HIT@20': '0.0319', 'NDCG@20': '0.0127'}
{'Epoch': 2, 'HIT@5': '0.0155', 'NDCG@5': '0.0096', 'HIT@10': '0.0262', 'NDCG@10': '0.0130', 'HIT@20': '0.0405', 'NDCG@20': '0.0166'}
{'Epoch': 3, 'HIT@5': '0.0222', 'NDCG@5': '0.0146', 'HIT@10': '0.0357', 'NDCG@10': '0.0189', 'HIT@20': '0.0559', 'NDCG@20': '0.0240'}
{'Epoch': 4, 'HIT@5': '0.0279', 'NDCG@5': '0.0190', 'HIT@10': '0.0438', 'NDCG@10': '0.0241', 'HIT@20': '0.0666', 'NDCG@20': '0.0299'}
{'Epoch': 5, 'HIT@5': '0.0349', 'NDCG@5': '0.0238', 'HIT@10': '0.0523', 'NDCG@10': '0.0294', 'HIT@20': '0.0745', 'NDCG@20': '0.0349'}
{'Epoch': 6, 'HIT@5': '0.0386', 'NDCG@5': '0.0268', 'HIT@10': '0.0554', 'NDCG@10': '0.0322', 'HIT@20': '0.0801', 'NDCG@20': '0.0384'}
{'Epoch': 7, 'HIT@5': '0.0407', 'NDCG@5': '0.0287', 'HIT@10': '0.0585', 'NDCG@10': '0.0344', 'HIT@20': '0.0830', 'NDCG@20': '0.0405'}
{'Epoch': 8, 'HIT@5': '0.0439', 'NDCG@5': '0.0311', 'HIT@10': '0.0612', 'NDCG@10': '0.0367', 'HIT@20': '0.0854', 'NDCG@20': '0.0427'}
{'Epoch': 9, 'HIT@5': '0.0451', 'NDCG@5': '0.0318', 'HIT@10': '0.0617', 'NDCG@10': '0.0371', 'HIT@20': '0.0875', 'NDCG@20': '0.0436'}
{'Epoch': 10, 'HIT@5': '0.0454', 'NDCG@5': '0.0322', 'HIT@10': '0.0626', 'NDCG@10': '0.0377', 'HIT@20': '0.0890', 'NDCG@20': '0.0444'}
