{'Epoch': 0, 'HIT@5': '0.0091', 'NDCG@5': '0.0057', 'HIT@10': '0.0126', 'NDCG@10': '0.0069', 'HIT@20': '0.0195', 'NDCG@20': '0.0086'}
{'Epoch': 1, 'HIT@5': '0.0084', 'NDCG@5': '0.0056', 'HIT@10': '0.0129', 'NDCG@10': '0.0071', 'HIT@20': '0.0192', 'NDCG@20': '0.0086'}
{'Epoch': 2, 'HIT@5': '0.0100', 'NDCG@5': '0.0066', 'HIT@10': '0.0146', 'NDCG@10': '0.0080', 'HIT@20': '0.0232', 'NDCG@20': '0.0102'}
{'Epoch': 3, 'HIT@5': '0.0094', 'NDCG@5': '0.0063', 'HIT@10': '0.0151', 'NDCG@10': '0.0081', 'HIT@20': '0.0239', 'NDCG@20': '0.0103'}
{'Epoch': 4, 'HIT@5': '0.0101', 'NDCG@5': '0.0067', 'HIT@10': '0.0174', 'NDCG@10': '0.0090', 'HIT@20': '0.0288', 'NDCG@20': '0.0118'}
{'Epoch': 5, 'HIT@5': '0.0119', 'NDCG@5': '0.0074', 'HIT@10': '0.0207', 'NDCG@10': '0.0102', 'HIT@20': '0.0355', 'NDCG@20': '0.0139'}
{'Epoch': 6, 'HIT@5': '0.0144', 'NDCG@5': '0.0092', 'HIT@10': '0.0251', 'NDCG@10': '0.0127', 'HIT@20': '0.0410', 'NDCG@20': '0.0167'}
{'Epoch': 7, 'HIT@5': '0.0208', 'NDCG@5': '0.0137', 'HIT@10': '0.0330', 'NDCG@10': '0.0176', 'HIT@20': '0.0492', 'NDCG@20': '0.0217'}
{'Epoch': 8, 'HIT@5': '0.0232', 'NDCG@5': '0.0154', 'HIT@10': '0.0345', 'NDCG@10': '0.0190', 'HIT@20': '0.0551', 'NDCG@20': '0.0242'}
{'Epoch': 9, 'HIT@5': '0.0261', 'NDCG@5': '0.0179', 'HIT@10': '0.0392', 'NDCG@10': '0.0221', 'HIT@20': '0.0625', 'NDCG@20': '0.0279'}
{'Epoch': 10, 'HIT@5': '0.0271', 'NDCG@5': '0.0180', 'HIT@10': '0.0414', 'NDCG@10': '0.0226', 'HIT@20': '0.0646', 'NDCG@20': '0.0285'}
{'Epoch': 11, 'HIT@5': '0.0286', 'NDCG@5': '0.0192', 'HIT@10': '0.0441', 'NDCG@10': '0.0242', 'HIT@20': '0.0689', 'NDCG@20': '0.0304'}
{'Epoch': 12, 'HIT@5': '0.0308', 'NDCG@5': '0.0208', 'HIT@10': '0.0467', 'NDCG@10': '0.0259', 'HIT@20': '0.0736', 'NDCG@20': '0.0326'}
