{'Epoch': 0, 'HIT@5': '0.0078', 'NDCG@5': '0.0048', 'HIT@10': '0.0143', 'NDCG@10': '0.0068', 'HIT@20': '0.0231', 'NDCG@20': '0.0091'}
{'Epoch': 1, 'HIT@5': '0.0084', 'NDCG@5': '0.0056', 'HIT@10': '0.0145', 'NDCG@10': '0.0076', 'HIT@20': '0.0254', 'NDCG@20': '0.0103'}
{'Epoch': 2, 'HIT@5': '0.0088', 'NDCG@5': '0.0055', 'HIT@10': '0.0143', 'NDCG@10': '0.0073', 'HIT@20': '0.0248', 'NDCG@20': '0.0100'}
{'Epoch': 3, 'HIT@5': '0.0093', 'NDCG@5': '0.0066', 'HIT@10': '0.0149', 'NDCG@10': '0.0083', 'HIT@20': '0.0228', 'NDCG@20': '0.0103'}
{'Epoch': 4, 'HIT@5': '0.0103', 'NDCG@5': '0.0068', 'HIT@10': '0.0156', 'NDCG@10': '0.0085', 'HIT@20': '0.0237', 'NDCG@20': '0.0105'}
{'Epoch': 5, 'HIT@5': '0.0119', 'NDCG@5': '0.0079', 'HIT@10': '0.0180', 'NDCG@10': '0.0098', 'HIT@20': '0.0256', 'NDCG@20': '0.0117'}
{'Epoch': 6, 'HIT@5': '0.0115', 'NDCG@5': '0.0074', 'HIT@10': '0.0179', 'NDCG@10': '0.0095', 'HIT@20': '0.0268', 'NDCG@20': '0.0117'}
{'Epoch': 7, 'HIT@5': '0.0108', 'NDCG@5': '0.0074', 'HIT@10': '0.0177', 'NDCG@10': '0.0096', 'HIT@20': '0.0264', 'NDCG@20': '0.0118'}
{'Epoch': 8, 'HIT@5': '0.0115', 'NDCG@5': '0.0077', 'HIT@10': '0.0182', 'NDCG@10': '0.0099', 'HIT@20': '0.0281', 'NDCG@20': '0.0123'}
{'Epoch': 9, 'HIT@5': '0.0128', 'NDCG@5': '0.0087', 'HIT@10': '0.0175', 'NDCG@10': '0.0102', 'HIT@20': '0.0276', 'NDCG@20': '0.0127'}
{'Epoch': 10, 'HIT@5': '0.0114', 'NDCG@5': '0.0079', 'HIT@10': '0.0173', 'NDCG@10': '0.0098', 'HIT@20': '0.0273', 'NDCG@20': '0.0123'}
{'Epoch': 11, 'HIT@5': '0.0126', 'NDCG@5': '0.0085', 'HIT@10': '0.0175', 'NDCG@10': '0.0101', 'HIT@20': '0.0265', 'NDCG@20': '0.0123'}
{'Epoch': 12, 'HIT@5': '0.0117', 'NDCG@5': '0.0084', 'HIT@10': '0.0177', 'NDCG@10': '0.0102', 'HIT@20': '0.0283', 'NDCG@20': '0.0129'}
{'Epoch': 13, 'HIT@5': '0.0117', 'NDCG@5': '0.0081', 'HIT@10': '0.0188', 'NDCG@10': '0.0104', 'HIT@20': '0.0287', 'NDCG@20': '0.0128'}
{'Epoch': 14, 'HIT@5': '0.0110', 'NDCG@5': '0.0074', 'HIT@10': '0.0174', 'NDCG@10': '0.0094', 'HIT@20': '0.0273', 'NDCG@20': '0.0119'}
{'Epoch': 15, 'HIT@5': '0.0113', 'NDCG@5': '0.0082', 'HIT@10': '0.0163', 'NDCG@10': '0.0098', 'HIT@20': '0.0259', 'NDCG@20': '0.0122'}
{'Epoch': 16, 'HIT@5': '0.0104', 'NDCG@5': '0.0078', 'HIT@10': '0.0152', 'NDCG@10': '0.0094', 'HIT@20': '0.0241', 'NDCG@20': '0.0116'}
{'Epoch': 17, 'HIT@5': '0.0116', 'NDCG@5': '0.0085', 'HIT@10': '0.0172', 'NDCG@10': '0.0103', 'HIT@20': '0.0277', 'NDCG@20': '0.0129'}
{'Epoch': 18, 'HIT@5': '0.0122', 'NDCG@5': '0.0084', 'HIT@10': '0.0176', 'NDCG@10': '0.0101', 'HIT@20': '0.0265', 'NDCG@20': '0.0124'}
{'Epoch': 19, 'HIT@5': '0.0113', 'NDCG@5': '0.0081', 'HIT@10': '0.0158', 'NDCG@10': '0.0095', 'HIT@20': '0.0257', 'NDCG@20': '0.0120'}
{'Epoch': 20, 'HIT@5': '0.0118', 'NDCG@5': '0.0084', 'HIT@10': '0.0181', 'NDCG@10': '0.0104', 'HIT@20': '0.0269', 'NDCG@20': '0.0127'}
{'Epoch': 21, 'HIT@5': '0.0124', 'NDCG@5': '0.0088', 'HIT@10': '0.0184', 'NDCG@10': '0.0107', 'HIT@20': '0.0257', 'NDCG@20': '0.0126'}
{'Epoch': 22, 'HIT@5': '0.0120', 'NDCG@5': '0.0087', 'HIT@10': '0.0177', 'NDCG@10': '0.0105', 'HIT@20': '0.0263', 'NDCG@20': '0.0127'}
{'Epoch': 22, 'HIT@5': '0.0084', 'NDCG@5': '0.0055', 'HIT@10': '0.0143', 'NDCG@10': '0.0074', 'HIT@20': '0.0247', 'NDCG@20': '0.0100'}
GRU4Rec-Toys_and_Games-0-CE
{'Epoch': 22, 'HIT@5': '0.0084', 'NDCG@5': '0.0055', 'HIT@10': '0.0143', 'NDCG@10': '0.0074', 'HIT@20': '0.0247', 'NDCG@20': '0.0100'}
